name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
都会轩 实验学区 精装一居 黄金楼层 私产过2 大产权,单价59723元/平米,430,| 1室1厅 | 72平米 | 西北 | 精装,低楼层(共49层)  2012年建板楼  -,
诚基中心 稀有89平复式 可落户 过五年,单价37079元/平米,330,| 2室2厅 | 89平米 | 西北 | 简装,高楼层(共33层)  2008年建塔楼  -,
诚基中心  耀华学片 精装一室 居家落户首选,单价23334元/平米,140,| 1室0厅 | 60平米 | 北 | 精装,低楼层(共50层)  2008年建塔楼  -,
耀华学片 纯阳一室市中心 配套齐全,单价21240元/平米,172,| 1室1厅 | 80.98平米 | 西南 | 简装,低楼层(共33层)  2008年建塔楼  -,
都会轩 实验学区 双地铁 黄金地段 纯毛坯 私产过2,单价64930元/平米,466,| 1室1厅 | 71.77平米 | 东南 | 毛坯,中楼层(共57层)  2012年建板楼  -,
万全铁片 同方花园 全阳两室 临地铁 鸟瞰小区全景,单价57944元/平米,620,| 2室2厅 | 107平米 | 南 | 精装,中楼层(共26层)  2006年建板楼  -,
三乐里 1室0厅 142万,单价33412元/平米,142,| 1室0厅 | 42.5平米 | 西南 | 简装,低楼层(共24层)  1998年建板楼  -,
诚基中心 低价房 可落户 耀华学区 价格合适,单价19504元/平米,110,| 1室0厅 | 56.4平米 | 北 | 精装,低楼层(共50层)  2008年建塔楼  -,
观景房 津塔公寓 津门置地 生活便利,单价45046元/平米,400,| 2室0厅 | 88.8平米 | 南 | 精装,高楼层(共30层)  2010年建塔楼  -,
都会轩精装两室 私产可贷款 过五年无二套,单价67046元/平米,590,| 2室1厅 | 88平米 | 东北 | 精装,中楼层(共53层)  2012年建板楼  -,
观云里 周边设施齐全 交通便利 无遮挡 视野开阔,单价30000元/平米,150,| 1室1厅 | 50平米 | 东 北 | 精装,中楼层(共28层)  1990年建板楼  -,
都会轩 实验学片 小区环境好 周边配套齐全,单价50000元/平米,1000,| 3室1厅 | 200平米 | 南 西 北 | 精装,高楼层(共53层)  2012年建板楼  -,
振河里  户型方正  采光充足 楼层适中,单价42069元/平米,240,| 2室1厅 | 57.05平米 | 东 | 其他,低楼层(共7层)  1985年建板楼  -,
房子过五年看房方便交通便利无贷款,单价45037元/平米,480,| 1室1厅 | 106.58平米 | 东南 | 简装,中楼层(共16层)  2002年建板楼  -,
诚基中心 耀华学区 大产权 可落户,单价26667元/平米,160,| 1室1厅 | 60平米 | 南 | 精装,中楼层(共50层)  2008年建塔楼  -,
万全学区 新福方里  南北通透 全明户型 私产满二,单价52678元/平米,240,| 1室1厅 | 45.56平米 | 南 北 | 简装,中楼层(共7层)  1998年建板楼  -,
都会轩 实验学区 精装一居室 私产过2 后期税费低,单价71213元/平米,470,| 1室1厅 | 66平米 | 西北 | 精装,低楼层(共49层)  2012年建板楼  -,
新疆路三号公寓 满二 鞍山道学区 交通便利,单价37594元/平米,500,| 3室2厅 | 133平米 | 南 北 | 精装,低楼层(共9层)  1992年建板塔结合  -,
南市蓉芳里  万全学片  南北通透  黄金楼层  过五唯一,单价37856元/平米,550,| 3室2厅 | 145.29平米 | 南 北 | 精装,低楼层(共9层)  1998年建板楼  -,
安宁里 黄金三楼 无遮挡 采光好 交通便利 满五唯一,单价51074元/平米,390,| 2室1厅 | 76.36平米 | 东 | 精装,中楼层(共6层)  1995年建板楼  -,
新兴里  户型方正  采光好   私产过五年,单价33583元/平米,220,| 2室1厅 | 65.51平米 | 南 北 | 简装,高楼层(共6层)  1985年建板楼  -,
兴河里 大面积两室  中间楼层 采光好 改善首选,单价36278元/平米,320,| 2室1厅 | 88.21平米 | 东 西 | 简装,中楼层(共7层)  板楼  -,
兴河里 低楼层 南北通透 大面积商品房 改善首选,单价40373元/平米,360,| 2室1厅 | 89.17平米 | 南 北 | 精装,低楼层(共7层)  板楼  -,
福明里 哈密道学区房 黄金楼层 中心地带,单价34913元/平米,199,| 2室1厅 | 57平米 | 东北 | 简装,低楼层(共6层)  2009年建板楼  -,
金茂广场 黄金楼层 东照 精装修 配套齐全 有钥匙,单价18679元/平米,110,| 1室0厅 | 58.89平米 | 东 | 其他,高楼层(共46层)  1990年建板楼  -,
津门公寓 南北通透 看海河 过两年,单价49823元/平米,1400,| 4室2厅 | 281平米 | 南 北 | 精装,高楼层(共41层)  2009年建板塔结合  -,
泰安道五大院 德国装修 地采暖  南北通透,单价59000元/平米,1180,| 2室2厅 | 200平米 | 南 北 | 精装,中楼层(共9层)  2012年建板塔结合  -,
格普澜轩 全明通透 精装三室 地段好 采光无遮挡,单价51936元/平米,660,| 3室1厅 | 127.08平米 | 南 北 | 精装,中楼层(共19层)  1996年建板楼  -,
建设路小区 私产满五 东西通透格局 采光良好 交通方便,单价44706元/平米,380,| 2室2厅 | 85平米 | 东 西 | 简装,低楼层(共7层)  1994年建板楼  -,
复元里 中心小学 低楼层精装修 阳面两室,单价49269元/平米,310,| 2室1厅 | 62.92平米 | 南 | 精装,中楼层(共5层)  1980年建板楼  -,
诚基经贸中心 满五唯一  学区房  双地铁上盖,单价30883元/平米,210,| 2室1厅 | 68平米 | 北 | 简装,低楼层(共33层)  2008年建塔楼  -,
劝业场河南路  哈密道片  私产过五年唯一 双阳面户型,单价40966元/平米,275,| 2室1厅 | 67.13平米 | 东南 | 其他,高楼层(共6层)  板楼  -,
中环公寓 满五唯一 免增值税 不到顶 南北通透两室,单价40910元/平米,450,| 2室2厅 | 110平米 | 南 北 | 精装,高楼层(共6层)  1999年建板楼  -,
树德里 税费低 精装修 周边配套齐全,单价36933元/平米,210,| 2室1厅 | 56.86平米 | 西北 | 精装,高楼层(共5层)  1988年建板楼  -,
诚基中心 耀华学区房 交通方便 后期税费低,单价44118元/平米,300,| 3室1厅 | 68平米 | 北 | 精装,中楼层(共33层)  2008年建塔楼  -,
兴河里 中间楼层 精装修 拎包入住 投资落户首选,单价39562元/平米,155,| 1室1厅 | 39.18平米 | 西 | 其他,中楼层(共6层)  板楼  -,
吉利花园 私产满两年 楼层居中 视野开阔 采光充足,单价58169元/平米,308,| 1室1厅 | 52.95平米 | 东 | 精装,高楼层(共32层)  2002年建板楼  -,
银行里 精装独单 黄金楼层 私产可贷款,单价35368元/平米,142,| 1室1厅 | 40.15平米 | 东 | 其他,中楼层(共6层)  1997年建板楼  -,
耕余里 私产过两年 可扩小院 交通便利,单价60963元/平米,290,| 2室1厅 | 47.57平米 | 东 西 | 简装,低楼层(共7层)  1978年建板楼  -,
都会轩 实验学区 豪装4居 私产过2 独揽津门美景,单价60000元/平米,1200,| 4室2厅 | 200平米 | 南 | 精装,高楼层(共57层)  2012年建板楼  -,
河川大厦 大面积办公房 滨江道商圈交通方便,单价9893元/平米,220,| 4室1厅 | 222.39平米 | 东北 | 简装,中楼层(共39层)  1994年建塔楼  -,
此房是鞍山道学区房 周边配套齐全,单价43625元/平米,260,| 2室1厅 | 59.6平米 | 北 | 其他,高楼层(共6层)  1994年建板楼  -,
常德道 黄金地段 联排别墅 4层到顶送大露台,单价49796元/平米,1300,| 4室1厅 | 261.07平米 | 南 西 北 | 精装,低楼层(共1层)  1978年建  -,
诚基经贸中心 2室2厅 250万,单价36765元/平米,250,| 2室2厅 | 68平米 | 北 | 简装,高楼层(共33层)  2008年建塔楼  -,
鞍山道168号社区 户型方正 视野开阔 采光好,单价45772元/平米,230,| 2室1厅 | 50.25平米 | 南 北 | 其他,中楼层(共5层)  1991年建板楼  -,
此房私产过五，有二套，有户口可迁走,单价23056元/平米,115,| 1室1厅 | 49.88平米 | 南 | 精装,高楼层(共50层)  2008年建塔楼  -,
府上和平紧邻伊势丹双地铁 采光好 实验学片,单价71429元/平米,300,| 2室0厅 | 42平米 | 北 | 其他,中楼层(共33层)  2015年建板楼  -,
银凤里 2室1厅 320万,单价50079元/平米,320,| 2室1厅 | 63.9平米 | 东南 | 简装,高楼层(共6层)  1982年建板楼  -,
诚基经贸中心 纯阳面 精装修 学区房,单价22019元/平米,240,| 2室2厅 | 109平米 | 南 | 精装,中楼层(共50层)  2008年建塔楼  -,
新宜里 南北通透三室 私产 满五唯一 低楼层,单价44196元/平米,335,| 3室1厅 | 75.8平米 | 南 北 | 简装,低楼层(共5层)  1996年建板楼  -,
河南路 半底商 精装修偏单 繁华地段,单价54348元/平米,280,| 2室0厅 | 51.52平米 | 西 | 精装,低楼层(共4层)  板楼  -,
世昌里 阳面大两室 小区稀缺户型 总价低适宜居住,单价37718元/平米,228,| 2室1厅 | 60.45平米 | 南 | 简装,中楼层(共6层)  板楼  -,
香榭里 私产满五唯一 阳面采光好 户型方正,单价37038元/平米,200,| 1室0厅 | 54平米 | 东南 | 简装,低楼层(共18层)  1997年建板楼  -,
都会轩实验学区 少有大复式 采光视野杠杠的,单价54462元/平米,1830.9,| 5室3厅 | 336.18平米 | 南 北 | 毛坯,高楼层(共57层)  2012年建板楼  -,
和平时光 过两年 日照充足 精装修,单价47624元/平米,460,| 2室2厅 | 96.59平米 | 西 | 精装,高楼层(共31层)  2013年建板楼  -,
吉利花园 2室1厅 438万,单价54208元/平米,438,| 2室1厅 | 80.8平米 | 西 | 简装,中楼层(共32层)  2002年建板楼  -,
长寿公寓 临近地铁 学区房 临近地铁,单价29179元/平米,280,| 1室1厅 | 95.96平米 | 西 北 | 简装,高楼层(共18层)  1999年建板楼  -,
同方花园 格局方正 万全铁片 瞰海河风景,单价65218元/平米,1050,| 3室2厅 | 161平米 | 南 北 | 其他,高楼层(共28层)  2006年建板楼  -,
三育里   哈密道小学  交通便利   黄金地段,单价36220元/平米,210,| 2室1厅 | 57.98平米 | 西 | 其他,中楼层(共8层)  1997年建板楼  -,
景阳里 低楼层 全阳面 无遮挡 中心学区 配套齐全,单价53326元/平米,538,| 2室1厅 | 100.89平米 | 南 | 精装,低楼层(共12层)  1995年建板楼  -,
兴河里 私产大两室 交通便利 采光充足,单价42169元/平米,350,| 2室1厅 | 83平米 | 东 西 | 简装,中楼层(共7层)  板楼  -,
天津中心 投资首选 地铁沿线,单价20205元/平米,190,| 1室1厅 | 94.04平米 | 东南 | 精装,中楼层(共46层)  2009年建塔楼  -,
兴康里 私产满五唯一 南北通透 精装修两室,单价33103元/平米,220,| 2室1厅 | 66.46平米 | 南 北 | 精装,高楼层(共7层)  1998年建板楼  -,
诚基中心 耀华学片 59.47㎡ 生活交通便利,单价26905元/平米,160,| 1室0厅 | 59.47平米 | 南 | 其他,低楼层(共50层)  2008年建塔楼  -,
同安新里 付款灵活 黄金楼层 采光充裕,单价34559元/平米,235,| 2室1厅 | 68平米 | 东 西 | 其他,低楼层(共6层)  1995年建板楼  -,
诚基中心 阳面房 地铁沿线 70年产权,单价24510元/平米,125,| 1室1厅 | 51平米 | 南 | 精装,高楼层(共50层)  2008年建塔楼  -,
天汇雅苑 万全道小学 精装修 和平繁华地段,单价57349元/平米,700,| 2室1厅 | 122.06平米 | 南 | 精装,高楼层(共39层)  2013年建板楼  -,
同庆后 万全道小学学区房 有钥匙 随时看房,单价48373元/平米,260,| 2室0厅 | 53.75平米 | 南 西 | 简装,中楼层(共7层)  板楼  -,
香榭里 公产房 税费低 中间楼层 朝南 采光好,单价36957元/平米,340,| 3室1厅 | 92平米 | 南 | 其他,中楼层(共7层)  1997年建板楼  -,
兴河里 中间楼层 精装两室 户型方正 拎包入住,单价35387元/平米,185,| 2室1厅 | 52.28平米 | 东 南 | 精装,中楼层(共6层)  板楼  -,
成都道  历史文化悠久 交通便利 自带小院,单价52295元/平米,1600,| 5室2厅 | 305.96平米 | 南 北 | 其他,低楼层(共1层)  1998年建  -,
诚基经贸中心 低楼层 纯阳面 精装修,单价25202元/平米,150,| 1室1厅 | 59.52平米 | 南 | 精装,低楼层(共50层)  2008年建塔楼  -,
依仁新里  满五唯一  万全学区  交通便利,单价42451元/平米,255,| 1室1厅 | 60.07平米 | 南 北 | 精装,高楼层(共5层)  1996年建板楼  -,
瑞景眀郡 复式 电梯高层 视野宽阔 精装修,单价28856元/平米,125,| 1室1厅 | 43.32平米 | 北 | 其他,中楼层(共17层)  2012年建塔楼  -,
新世界花园 繁华地段 南北通透 交通便利,单价48410元/平米,1065,| 4室2厅 | 220平米 | 南 北 | 精装,高楼层(共17层)  2004年建板楼  -,
津门公寓  一层一户 南北通透 临近海河,单价42208元/平米,1300,| 4室2厅 | 308平米 | 南 北 | 其他,低楼层(共47层)  2009年建塔楼  -,
新文化新丽居 私产可贷款  万全道学区房,单价22420元/平米,630,| 6室1厅 | 281平米 | 南 北 | 其他,中楼层(共24层)  2005年建板楼  -,
河北路 西南银角户型采光充足 学区房离校较近,单价46624元/平米,350,| 3室1厅 | 75.07平米 | 西南 | 其他,中楼层(共6层)  1993年建板楼  -,
兴河里  黄金一楼 付款灵活 户型方正,单价43940元/平米,145,| 1室0厅 | 33平米 | 南 | 简装,低楼层(共6层)  板楼  -,
保疆里  私产 可以贷款 通透小户型三室 鞍山道学区房,单价46310元/平米,490,| 3室1厅 | 105.81平米 | 南 北 | 精装,中楼层(共6层)  1990年建板楼  -,
同方花园 通透户型 格局方正 万全学区,单价51080元/平米,710,| 3室2厅 | 139平米 | 西南 | 精装,高楼层(共29层)  2006年建板楼  -,
世昌里 精装修 大两居 采光好,单价62225元/平米,410,| 2室1厅 | 65.89平米 | 南 | 其他,中楼层(共6层)  板楼  -,
爱建公寓 格局两居两厅 采光极佳,单价36000元/平米,450,| 2室2厅 | 125平米 | 南 北 | 其他,高楼层(共16层)  2002年建板塔结合  -,
金茂公寓 中间楼层 采光好 民水民电,单价24478元/平米,150,| 1室0厅 | 61.28平米 | 南 | 精装,中楼层(共46层)  1990年建板楼  -,
爱建公寓 两居 格局好 采光佳,单价46269元/平米,310,| 2室0厅 | 67平米 | 西南 | 其他,中楼层(共16层)  2002年建板塔结合  -,
浮德里 中间楼层 地段繁华 哈密道学区,单价43750元/平米,350,| 3室1厅 | 80平米 | 东 西 | 其他,中楼层(共6层)  1985年建板楼  -,
贵都大厦 耀华学区 交通便利 私产房源,单价14952元/平米,308,| 2室1厅 | 206平米 | 南 | 简装,高楼层(共30层)  2001年建塔楼  -,
塞顿大厦 视野广阔 阳光充足 户型方正,单价60410元/平米,1450,| 4室2厅 | 240.03平米 | 南 北 | 精装,低楼层(共32层)  1990年建板楼  -,
蓉芳里 阳面独单 带电梯 万全道学区,单价49389元/平米,210,| 1室1厅 | 42.52平米 | 南 | 精装,高楼层(共9层)  1998年建板楼  -,
鞍山道学区 私产过两年 南北通透双阳台 随时看房,单价47703元/平米,300,| 2室0厅 | 62.89平米 | 南 北 | 其他,高楼层(共4层)  1985年建板楼  -,
诚基中心 耀华学片 采光好 精装修复式,单价34853元/平米,237,| 2室1厅 | 68平米 | 南 | 精装,低楼层(共33层)  2008年建塔楼  -,
诚基中心 70年产权 民水民电 耀华学片 市重点中学,单价22951元/平米,140,| 1室1厅 | 61平米 | 东 | 精装,中楼层(共50层)  2008年建塔楼  -,
电台道 东西通透 明厨明卫 非顶楼采光好,单价30076元/平米,160,| 2室1厅 | 53.2平米 | 东 西 | 精装,高楼层(共6层)  1980年建板楼  -,
世界里 耀华小学学区房 私产满五年 别墅,单价41920元/平米,830,| 6室2厅 | 198平米 | 南 | 精装,低楼层(共3层)  板楼  -,
犀地 昆明路小学片 户型方正 高楼层,单价52273元/平米,920,| 3室1厅 | 176平米 | 南 | 毛坯,高楼层(共32层)  2011年建板楼  -,
瑞景名郡 商住两用 交通便利 适宜投资,单价30304元/平米,140,| 2室1厅 | 46.2平米 | 北 | 精装,中楼层(共17层)  2012年建塔楼  -,
瑞景名郡 loft户型 带煤气 户型方正 采光好,单价32094元/平米,138,| 1室1厅 | 43平米 | 北 | 其他,高楼层(共18层)  2012年建塔楼  -,
同安新里 南北通透 非顶楼采光好 视野开阔,单价30121元/平米,180,| 2室1厅 | 59.76平米 | 南 北 | 其他,高楼层(共6层)  1995年建板楼  -,
新河里 2室1厅 280万,单价49983元/平米,280,| 2室1厅 | 56.02平米 | 南 北 | 其他,中楼层(共6层)  1989年建板楼  -,
金茂广场 南北通透 精装修  采光充足,单价48955元/平米,618,| 3室2厅 | 126.24平米 | 南 北 | 其他,低楼层(共30层)  2007年建塔楼  -,
福林里 岳阳道小学学区房 银角 私产可贷款,单价45730元/平米,310,| 2室1厅 | 67.79平米 | 西南 | 其他,中楼层(共11层)  1996年建板楼  -,
君隆广场 豪华装修 稀缺两室银角户型,单价27156元/平米,315,| 2室1厅 | 116平米 | 西南 | 其他,高楼层(共38层)  2009年建塔楼  -,
采光好 视野好  紧邻南京路 双地铁 学区房,单价59334元/平米,178,| 1室0厅 | 30平米 | 南 | 其他,高楼层(共6层)  1992年建板楼  -,
金茂广场 矮楼层 可落户可上学 采光好,单价18679元/平米,110,| 1室0厅 | 58.89平米 | 东 | 其他,低楼层(共46层)  1990年建板楼  -,
陵阳里 鞍山道小学片无遮挡 采光好私,单价59342元/平米,202,| 1室1厅 | 34.04平米 | 东 北 | 其他,高楼层(共5层)  1990年建板楼  -,
兴河里 采光充足 交通便利 投资落户首选,单价38285元/平米,150,| 1室1厅 | 39.18平米 | 西 | 简装,中楼层(共6层)  板楼  -,
新汇华庭 万全学区 精装两居 黄金楼层 视野好,单价68422元/平米,780,| 2室1厅 | 114平米 | 南 | 精装,高楼层(共33层)  2015年建板楼  -,
岳康园 采光充足 地理位置优 紧邻实验小学,单价43000元/平米,258,| 2室1厅 | 60平米 | 西 | 简装,高楼层(共7层)  2008年建板楼  -,
裕德里 2室1厅 260万,单价54167元/平米,260,| 2室1厅 | 48平米 | 西 北 | 其他,中楼层(共8层)  板楼  -,
荣庆园 万全铁片 精装 南北通透,单价57481元/平米,730,| 4室3厅 | 127平米 | 南 北 | 精装,高楼层(共30层)  2008年建塔楼  -,
新汇华庭 中间楼层 观景楼层 采光充足,单价58182元/平米,1280,| 4室2厅 | 220平米 | 南 西 北 | 精装,中楼层(共33层)  2015年建板楼  -,
惠嘉公寓  楼层适中 采光充足 交通便利,单价36821元/平米,346,| 2室1厅 | 93.97平米 | 南 | 精装,高楼层(共24层)  1998年建塔楼  -,
融创星美御 3室1厅 720万,单价55258元/平米,720,| 3室1厅 | 130.3平米 | 东南 | 其他,中楼层(共32层)  2012年建板塔结合  -,
府上和平，实验学区房，房龄短，小区环境好,单价70739元/平米,300,| 1室0厅 | 42.41平米 | 东 南 | 毛坯,高楼层(共33层)  2015年建板楼  -,
新汇华庭 南北通透 黄金楼层 万全学区 精装修 采光好,单价63676元/平米,745,| 2室2厅 | 117平米 | 南 北 | 精装,中楼层(共33层)  2015年建板楼  -,
复元里 2室0厅 330万,单价52381元/平米,330,| 2室0厅 | 63平米 | 南 | 其他,中楼层(共5层)  1980年建板楼  -,
卫华里 东西通透 采光好 交通方便,单价33358元/平米,185,| 2室0厅 | 55.46平米 | 东 西 | 其他,高楼层(共6层)  1988年建板楼  -,
君隆广场 精装修， 地标性建筑，可贷款，,单价25600元/平米,192,| 1室1厅 | 75平米 | 北 | 其他,高楼层(共38层)  2009年建塔楼  -,
荣庆园 精装修 万全道学区 临近地铁,单价71319元/平米,650,| 4室2厅 | 91.14平米 | 南 | 精装,高楼层(共30层)  2008年建塔楼  -,
光华巷 私产配合过两年 中心学区 低楼层,单价49565元/平米,290,| 1室0厅 | 58.51平米 | 南 | 简装,低楼层(共7层)  1990年建板楼  -,
庆有西里  万全学片 精装修 采光好,单价51112元/平米,230,| 1室1厅 | 45平米 | 南 | 其他,高楼层(共7层)  1997年建板楼  -,
新文化花园新景居 1室0厅 295万,单价47581元/平米,295,| 1室0厅 | 62平米 | 南 | 其他,高楼层(共30层)  2006年建板楼  -,
大生里  无遮挡 视野好  可贷款,单价46455元/平米,150,| 1室1厅 | 32.29平米 | 北 | 其他,高楼层(共6层)  1998年建板楼  -,
世昌里 交通便利 配套齐全 南营门商圈,单价42196元/平米,173,| 1室1厅 | 41平米 | 东北 | 其他,中楼层(共6层)  板楼  -,
卫华里 低楼层 全明户型 东西通透,单价46297元/平米,250,| 2室1厅 | 54平米 | 东 南 西 | 其他,低楼层(共6层)  1991年建板楼  -,
三育里 交通便利  周边配套齐全 哈密道学区,单价27161元/平米,220,| 2室2厅 | 81平米 | 东 西 | 其他,中楼层(共8层)  1997年建板楼  -,
滨江道诚基中心一居室采光视野好,单价26910元/平米,148,| 1室1厅 | 55平米 | 北 | 精装,低楼层(共33层)  2008年建塔楼  -,
卫津路129号 私产房 付款方式灵活 电梯房,单价22150元/平米,398,| 3室2厅 | 179.69平米 | 南 北 | 其他,高楼层(共8层)  板楼  -,
诚基中心 耀华学片 民水民电 双地铁覆盖,单价35956元/平米,320,| 2室2厅 | 89平米 | 西北 | 简装,中楼层(共33层)  2008年建塔楼  -,
同发里 2室1厅 285万,单价38046元/平米,285,| 2室1厅 | 74.91平米 | 南 北 | 其他,低楼层(共9层)  1999年建板楼  -,
瑞景名郡 2室1厅 170万,单价36725元/平米,170,| 2室1厅 | 46.29平米 | 南 | 其他,高楼层(共17层)  2012年建塔楼  -,
同方花园 万全学区 临地铁 格局方正,单价61195元/平米,820,| 3室1厅 | 134平米 | 南 | 其他,低楼层(共25层)  2006年建板楼  -,
新汇华庭 2室1厅 470万,单价36435元/平米,470,| 2室1厅 | 129平米 | 东南 | 其他,高楼层(共28层)  2015年建板楼  -,
保利大都会天汇雅苑 4室2厅 1200万,单价56325元/平米,1200,| 4室2厅 | 213.05平米 | 东南 | 其他,高楼层(共48层)  2013年建板楼  -,
湯臣津湾一品 1室1厅 750万,单价65218元/平米,750,| 1室1厅 | 115平米 | 西南 | 其他,中楼层(共57层)  2015年建板楼  -,
贵都大厦 学区房 繁华地段 临近地铁,单价14975元/平米,298,| 5室2厅 | 199平米 | 东北 | 简装,高楼层(共30层)  2001年建塔楼  -,
庆有西里 黄金楼层 中心地段 重点学区,单价59163元/平米,380,| 2室1厅 | 64.23平米 | 南 | 精装,低楼层(共7层)  1997年建板楼  -,
新汇华庭 精装两居 黄金楼层 出行方便 诚意出售,单价68422元/平米,780,| 2室1厅 | 114平米 | 南 | 精装,高楼层(共33层)  2015年建板楼  -,
庆有西里 精装修 重点学区配套成熟,单价53817元/平米,220,| 1室1厅 | 40.88平米 | 西 | 其他,高楼层(共7层)  1997年建板楼  -,
鼎成公寓 精装修 私产房 看房方便 带电梯,单价32891元/平米,250,| 3室2厅 | 76.01平米 | 西南 东北 | 其他,中楼层(共12层)  2000年建板楼  -,
河北路 2室1厅 320万,单价50024元/平米,320,| 2室1厅 | 63.97平米 | 东南 | 其他,中楼层(共6层)  1993年建板楼  -,
诚基经贸中心 1室0厅 300万,单价20271元/平米,300,| 1室0厅 | 148平米 | 北 | 简装,低楼层(共33层)  2008年建塔楼  -,
竞业里 2室1厅 265万,单价48182元/平米,265,| 2室1厅 | 55平米 | 北 南 | 其他,中楼层(共5层)  1990年建板楼  -,
诚基经贸中心 2室1厅 190万,单价31667元/平米,190,| 2室1厅 | 60平米 | 北 | 其他,高楼层(共50层)  2008年建塔楼  -,
乐余里 2室1厅 285万,单价50893元/平米,285,| 2室1厅 | 56平米 | 东南 | 其他,中楼层(共6层)  1999年建板楼  -,
四箴北里 2室1厅 327万,单价51659元/平米,327,| 2室1厅 | 63.3平米 | 南 北 | 其他,中楼层(共6层)  1994年建板楼  -,
万科都市花园雅典居 四室三厅 私产过五年 金角,单价32345元/平米,630,| 4室3厅 | 194.78平米 | 东南 | 其他,中楼层(共22层)  2000年建塔楼  -,
都会轩 实验学区 精装一居 东南金角 私产过2 黄金楼层,单价66418元/平米,445,| 1室1厅 | 67平米 | 东南 | 精装,中楼层(共49层)  2012年建板楼  -,
金德园 纯阳面一室二厅 楼层好采光无遮挡 随时能看房,单价56791元/平米,460,| 1室2厅 | 81平米 | 南 | 精装,高楼层(共30层)  2011年建板楼  -,
香榭里 2室1厅 285万,单价36469元/平米,285,| 2室1厅 | 78.15平米 | 东南 | 精装,中楼层(共18层)  1997年建板楼  -,
