name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
海珠半岛 东南向 保养很好 安静不吵,单价32521元/平米,400,| 3室2厅 | 123平米 | 东南 | 精装,低楼层(共42层)  2006年建塔楼  -,
瑞宝花园 地铁旁物业 实用两房 装修好,单价19000元/平米,95,| 2室1厅 | 50平米 | 北 | 其他,低楼层(共9层)  1997年建塔楼  -,
富泽园 高层两房出售 交通生活便利,单价22936元/平米,150,| 2室2厅 | 65.4平米 | 东 | 其他,高楼层(共9层)  1998年建塔楼  -,
逸景翠园 中区 罕见跃式 视野开阔,单价21650元/平米,420,| 5室2厅 | 194平米 | 北 | 其他,高楼层(共33层)  2002年建塔楼  -,
天鹅湾 一线江景 高档小区 稀缺房源,单价37500元/平米,600,| 5室2厅 | 160平米 | 东 | 精装,低楼层(共31层)  2006年建塔楼  -,
保利花园 东南大二房装修保养好,单价27500元/平米,220,| 2室2厅 | 80平米 | 东南 | 简装,低楼层(共6层)  2000年建塔楼  -,
南箕花苑 楼梯两房 间隔方正,单价15169元/平米,135,| 3室2厅 | 89平米 | 北 | 简装,高楼层(共9层)  2001年建塔楼  -,
江南新苑 豪华三房 住家首选,单价35000元/平米,350,| 3室2厅 | 100平米 | 东 | 精装,高楼层(共18层)  2002年建塔楼  -,
晓燕湾 正规两房 自带精装修 小区环境,单价20715元/平米,145,| 2室1厅 | 70平米 | 北 | 精装,中楼层(共9层)  1999年建塔楼  -,
保利红棉花园 中层一房一厅 间隔方正,单价20000元/平米,70,| 1室1厅 | 35平米 | 北 | 简装,中楼层(共9层)  1997年建塔楼  -,
英豪花园 南向电梯 双层复式五房,单价22728元/平米,450,| 5室2厅 | 198平米 | 北 | 精装,高楼层(共11层)  2005年建塔楼  -,
屋大厅正采光充足 高端时尚装修 温馨舒适,单价27858元/平米,195,| 2室2厅 | 70平米 | 南 | 其他,低楼层(共9层)  1992年建塔楼  -,
保利红棉花园 房改房 温馨实用,单价21918元/平米,160,| 2室2厅 | 73平米 | 北 | 简装,中楼层(共9层)  1997年建塔楼  -,
万华花园 方正实用两房 新婚居家首选,单价17461元/平米,110,| 2室1厅 | 63平米 | 南 | 简装,高楼层(共9层)  2005年建塔楼  -,
南北广场 少有大单间 投资潜力无限,单价25582元/平米,110,| 1室1厅 | 43平米 | 暂无数据 | 其他,高楼层(共29层)  2003年建塔楼  -,
保利花园 楼梯复式 南向 精装修 保养新,单价25887元/平米,365,| 3室2厅 | 141平米 | 南 | 精装,高楼层(共6层)  2000年建塔楼  -,
保利红棉花园 电梯三房 厅大阳台大修改房,单价23424元/平米,260,| 3室2厅 | 111平米 | 西南 | 精装,中楼层(共19层)  1997年建塔楼  -,
中信君庭 243方1000万 豪宅不豪价,单价41153元/平米,1000,| 4室2厅 | 243平米 | 南 | 精装,低楼层(共43层)  2004年建塔楼  -,
保利花园 一期复式楼王 送私人天台花园,单价23810元/平米,450,| 5室2厅 | 189平米 | 暂无数据 | 其他,高楼层(共6层)  2000年建塔楼  -,
鸿荣阁 地铁上盖 电梯两房 通风采光好,单价28768元/平米,210,| 2室2厅 | 73平米 | 北 | 简装,中楼层(共9层)  2000年建塔楼  -,
第三金碧花园 送大平台 南北对流,单价28920元/平米,230,| 2室2厅 | 79.53平米 | 北 | 简装,低楼层(共32层)  2000年建塔楼  -,
晓港湾  刚需两房  总价低  采光好,单价22587元/平米,80,| 2室2厅 | 35.42平米 | 北 | 简装,中楼层(共9层)  1999年建塔楼  -,
金碧花园一期 上车首选单位 精装两房,单价23334元/平米,140,| 2室1厅 | 60平米 | 西 | 精装,高楼层(共22层)  2000年建塔楼  -,
罗马家园三期3房 自住保养好 产权清晰,单价25607元/平米,338,| 3室2厅 | 132平米 | 东 | 简装,高楼层(共15层)  2007年建塔楼  -,
高层望江 罕有放盘 间隔方正 保养新净,单价38136元/平米,450,| 3室2厅 | 118平米 | 东北 | 简装,中楼层(共46层)  2000年建塔楼  -,
富景花园 少有三房带主套 视野景观好,单价24753元/平米,250,| 3室2厅 | 101平米 | 东北 | 简装,高楼层(共32层)  2003年建塔楼  -,
富力现代 北向两房交通方便,单价28750元/平米,230,| 2室1厅 | 80平米 | 北 | 精装,低楼层(共19层)  2005年建塔楼  -,
实用二房 好租好卖,单价32559元/平米,280,| 2室1厅 | 86平米 | 西 | 其他,低楼层(共31层)  2007年建塔楼  -,
双子星城 保养新净 总价低 地铁沿线,单价30000元/平米,102,| 1室1厅 | 34平米 | 北 | 简装,中楼层(共12层)  2005年建塔楼  -,
中顺领域公馆  实用三房 户型方正,单价27969元/平米,358,| 3室2厅 | 128平米 | 北 | 精装,中楼层(共21层)  1999年建塔楼  -,
瑞宝花园 地铁上盖 温馨两房 居家首选,单价17143元/平米,120,| 2室1厅 | 70平米 | 东 | 精装,高楼层(共9层)  1997年建塔楼  -,
鸣翠花园 一房一厅 豪华装修 地铁口上盖,单价21000元/平米,105,| 1室1厅 | 50平米 | 暂无数据 | 简装,高楼层(共6层)  2002年建塔楼  -,
江南西 嘉丽苑 厅出阳台 送全屋家私电器,单价19048元/平米,120,| 2室1厅 | 63平米 | 北 | 其他,高楼层(共9层)  1998年建塔楼  -,
海珠半岛 正规2房户型,单价27977元/平米,235,| 2室2厅 | 84平米 | 东南 | 简装,高楼层(共31层)  1997年建塔楼  -,
第三金碧 实用三房 保养新净 稀缺三房,单价30385元/平米,316,| 4室2厅 | 104平米 | 东北 | 简装,中楼层(共32层)  2000年建塔楼  -,
保利红棉花园 高层两房 采光通风一流,单价16852元/平米,91,| 2室1厅 | 54平米 | 南 | 简装,高楼层(共9层)  1997年建塔楼  -,
高层望江 视野开阔 少有放盘,单价30000元/平米,780,| 5室2厅 | 260平米 | 南 | 简装,高楼层(共46层)  2000年建塔楼  -,
保利百合花园 顶层复式直出天台花园,单价34375元/平米,550,| 3室1厅 | 160平米 | 西 | 精装,高楼层(共11层)  2004年建塔楼  -,
愉景雅苑 花园小区 电梯两房带大江苑学位,单价32895元/平米,250,| 2室2厅 | 76平米 | 东 | 精装,高楼层(共11层)  2000年建塔楼  -,
富力现代广场 间隔方正实用 四房带主套,单价34352元/平米,450,| 4室2厅 | 131平米 | 南 | 简装,中楼层(共19层)  2005年建塔楼  -,
晓阳街 低层两房 间隔方正 可改三房,单价18244元/平米,135,| 2室2厅 | 74平米 | 北 | 其他,低楼层(共7层)  塔楼  -,
保利花园 送阁楼 高层靓景 全新装修,单价30000元/平米,480,| 5室3厅 | 160平米 | 北 | 精装,高楼层(共6层)  2000年建塔楼  -,
保利花园 间隔方正 厅出花园,单价25000元/平米,385,| 5室2厅 | 154平米 | 南 | 精装,高楼层(共6层)  2000年建塔楼  -,
雅郡花园 中层四房 居家首选,单价29938元/平米,482,| 4室2厅 | 161平米 | 西南 | 其他,中楼层(共11层)  2003年建塔楼  -,
第一金碧 实用两房 户型方正 安静望花园,单价25000元/平米,175,| 2室2厅 | 70平米 | 南 | 简装,低楼层(共22层)  2000年建塔楼  -,
金碧花园二期 北向安静望花园 格局方正,单价25463元/平米,275,| 3室2厅 | 108平米 | 北 | 精装,高楼层(共32层)  2000年建塔楼  -,
保利花园 一期中层 装修保养新,单价29488元/平米,230,| 2室1厅 | 78平米 | 东北 | 简装,中楼层(共23层)  2000年建塔楼  -,
保利红棉花园 南向三房 间隔方正实用,单价18462元/平米,168,| 3室2厅 | 91平米 | 东南 | 精装,高楼层(共9层)  1997年建塔楼  -,
保利花园 三期室内装修保养新 通风对流,单价22728元/平米,200,| 4室2厅 | 88平米 | 东南 | 简装,高楼层(共6层)  2007年建塔楼  -,
保利花园 双主套复式单位 五房两厅三阳台,单价27363元/平米,498,| 4室2厅 | 182平米 | 南 | 简装,高楼层(共11层)  2000年建塔楼  -,
丽景湾 稀有东南四房 售,单价35385元/平米,460,| 4室2厅 | 130平米 | 东南 | 精装,低楼层(共30层)  2002年建塔楼  -,
东晓南 地铁上盖 超笋步梯两房 自主首选,单价15323元/平米,95,| 2室1厅 | 62平米 | 南 | 简装,高楼层(共9层)  1999年建塔楼  -,
金碧一期  厅侧出阳台 明厨明侧大一房,单价23149元/平米,125,| 1室1厅 | 54平米 | 北 | 精装,低楼层(共22层)  2000年建塔楼  -,
嘉仕花园 星月轩 大户型 够大够舒适,单价29886元/平米,780,| 5室2厅 | 261平米 | 北 | 精装,高楼层(共32层)  2003年建塔楼  -,
英豪花园 精致装修 南向,单价18888元/平米,129,| 2室2厅 | 68.3平米 | 南 | 简装,高楼层(共9层)  2005年建塔楼  -,
革新路 中层东南向小两房,单价18215元/平米,100,| 2室1厅 | 54.9平米 | 东南 | 其他,中楼层(共9层)  塔楼  -,
步梯高层 送大天台,单价16047元/平米,138,| 3室1厅 | 86平米 | 北 | 简装,高楼层(共9层)  2005年建塔楼  -,
南洲花苑 方正大两房 可改三房,单价12875元/平米,103,| 2室2厅 | 80平米 | 西北 | 简装,高楼层(共9层)  1993年建塔楼  -,
实用温馨单位 配套完善,单价27942元/平米,95,| 1室1厅 | 34平米 | 南 | 简装,低楼层(共15层)  2005年建塔楼  -,
晓港湾 方正两房 厅出阳台 地铁上盖,单价16167元/平米,105,| 2室1厅 | 64.95平米 | 南 | 精装,高楼层(共9层)  1999年建塔楼  -,
实用温馨单位 配套完善,单价29311元/平米,340,| 3室2厅 | 116平米 | 东南 | 其他,高楼层(共26层)  2000年建塔楼  -,
前进大街 二房单位 宜居单位 生活便捷,单价18937元/平米,89,| 2室1厅 | 47平米 | 东南 | 简装,高楼层(共8层)  塔楼  -,
罗马家园 南北对流 业主诚意放卖,单价24419元/平米,315,| 3室2厅 | 129平米 | 南 | 其他,低楼层(共12层)  2007年建塔楼  -,
保利花园 高层南向三房 间隔方正实用,单价31314元/平米,310,| 3室2厅 | 99平米 | 南 | 简装,高楼层(共18层)  2000年建塔楼  -,
保利红棉花园 装修保养新 楼梯中层,单价21160元/平米,146,| 2室1厅 | 69平米 | 东南 | 精装,中楼层(共9层)  1997年建塔楼  -,
侨诚花园 温馨两房 安静舒适 格局方正,单价19338元/平米,105,| 2室1厅 | 54.3平米 | 南 | 简装,低楼层(共10层)  1998年建塔楼  -,
锦绣星城 楼王单位 望游泳池 靓盘,单价36112元/平米,260,| 2室1厅 | 72平米 | 北 | 其他,中楼层(共27层)  1999年建塔楼  -,
南箕路小区 中层南向单位,单价17935元/平米,165,| 3室1厅 | 92平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
晓港湾 精装两居 采光极好 同区最好户型,单价20000元/平米,120,| 2室2厅 | 60平米 | 西北 | 精装,中楼层(共9层)  1999年建塔楼  -,
昌岗中路 南向两房 证过2年 有省级学位,单价20604元/平米,116,| 2室2厅 | 56.3平米 | 南 | 其他,中楼层(共8层)  塔楼  -,
银威花园 精致一房 安静望花园 环境优美,单价19444元/平米,95,| 1室1厅 | 48.86平米 | 东南 | 简装,低楼层(共9层)  1998年建塔楼  -,
敦和路 客村苑 精选三房 方正实用,单价17878元/平米,160,| 3室2厅 | 89.5平米 | 东北 | 其他,高楼层(共9层)  1995年建塔楼  -,
金碧一期厅出两房 自住单位,单价25000元/平米,180,| 2室2厅 | 72平米 | 西北 | 简装,中楼层(共17层)  2000年建塔楼  -,
刚需两房 稀缺房源 投资首选,单价22687元/平米,152,| 2室1厅 | 67平米 | 西 | 简装,高楼层(共22层)  2000年建塔楼  -,
逸景翠园 倚翠轩 高层南向 实用率高,单价27420元/平米,340,| 4室2厅 | 124平米 | 南 | 其他,中楼层(共28层)  2002年建塔楼  -,
保利花园 实用温馨单位 配套完善,单价28432元/平米,290,| 3室2厅 | 102平米 | 东北 | 其他,低楼层(共11层)  2000年建塔楼  -,
光大花园榕岸 一线江景 带省级学位,单价43903元/平米,540,| 3室2厅 | 123平米 | 西北 | 精装,低楼层(共33层)  2006年建塔楼  -,
顺景雅苑 电梯三房 安静望花园,单价29630元/平米,240,| 3室2厅 | 81平米 | 北 | 简装,低楼层(共13层)  2000年建塔楼  -,
金碧花园 安静两房 证过两年 免重税,单价23279元/平米,142,| 2室2厅 | 61平米 | 北 | 其他,中楼层(共33层)  2000年建塔楼  -,
豪华三房 花园中心 地铁上盖,单价30770元/平米,320,| 3室2厅 | 104平米 | 北 | 精装,高楼层(共32层)  2000年建塔楼  -,
荟翠楼 南向三房 附送40方天台花园,单价17244元/平米,160,| 3室2厅 | 92.79平米 | 南 | 其他,高楼层(共9层)  1998年建塔楼  -,
金碧花园第一金碧 2室2厅 170万,单价24286元/平米,170,| 2室2厅 | 70平米 | 北 | 其他,中楼层(共22层)  2000年建塔楼  -,
保利花园 环境清幽舒适 南北对流,单价27263元/平米,235,| 2室2厅 | 86.2平米 | 西南 | 简装,低楼层(共11层)  2000年建塔楼  -,
实用两房 业主诚意出售,单价28713元/平米,290,| 2室2厅 | 101平米 | 东北 | 简装,高楼层(共19层)  2008年建塔楼  -,
嘉仕花园 间隔方正实用 附赠天台大花园,单价36218元/平米,265,| 2室2厅 | 73.17平米 | 南 | 简装,高楼层(共16层)  2000年建塔楼  -,
天海庭 电梯中层 带精装修 实用率高,单价23272元/平米,205,| 2室2厅 | 88.09平米 | 北 | 精装,中楼层(共12层)  2001年建塔楼  -,
罗马家园 精致单身公寓 投资首选,单价25511元/平米,125,| 1室1厅 | 49平米 | 东 | 精装,高楼层(共25层)  2007年建塔楼  -,
安静望别墅 一手业主放卖免税 家私电全送,单价27815元/平米,338,| 3室2厅 | 121.52平米 | 南 | 其他,低楼层(共26层)  2000年建塔楼  -,
实用温馨2房单位 配套完善,单价19643元/平米,110,| 2室1厅 | 56平米 | 南 | 其他,中楼层(共9层)  1998年建塔楼  -,
工业大道南425号大院 南北通透实用两房,单价15385元/平米,100,| 2室2厅 | 65平米 | 东北 | 其他,低楼层(共9层)  1992年建塔楼  -,
第三金碧 实用两房 采光通风好,单价29851元/平米,200,| 2室2厅 | 67平米 | 东 | 简装,高楼层(共32层)  2000年建塔楼  -,
富力千禧花园 温馨两房 省级学位,单价36120元/平米,242,| 2室2厅 | 67平米 | 北 | 简装,低楼层(共24层)  2002年建塔楼  -,
金穗雅园 三期洋房 环境优美 电梯大两房,单价26137元/平米,230,| 2室2厅 | 88平米 | 北 | 其他,低楼层(共23层)  2006年建塔楼  -,
光大水岸榕城 实用两房,单价45122元/平米,370,| 2室1厅 | 82平米 | 东北 | 精装,低楼层(共17层)  2006年建塔楼  -,
保利花园 南向高层复式,单价25583元/平米,380,| 4室2厅 | 148.54平米 | 东南 | 简装,高楼层(共11层)  2000年建塔楼  -,
舒适单间,采光通套,保养新净,单价23215元/平米,65,| 1室0厅 | 28平米 | 东 | 其他,低楼层(共22层)  2000年建塔楼  -,
南田路 低层两房 间隔靓,单价13954元/平米,60,| 2室1厅 | 43平米 | 西 | 简装,低楼层(共7层)  塔楼  -,
翠城花园 地铁上盖 实用三房,单价33511元/平米,315,| 3室2厅 | 94平米 | 西南 | 简装,低楼层(共32层)  2009年建塔楼  -,
晓港湾 电梯三房 温馨家园 阳光充足,单价24211元/平米,230,| 3室2厅 | 95平米 | 西南 | 精装,高楼层(共32层)  1999年建塔楼  -,
金碧三期  安静实用 不可多得的好房,单价28788元/平米,190,| 2室2厅 | 66平米 | 东 | 精装,低楼层(共32层)  2000年建塔楼  -,
厅出阳台 交通方便,单价16394元/平米,110,| 3室1厅 | 67.1平米 | 北 | 其他,中楼层(共8层)  塔楼  -,
海珠半岛花园 市区临江南北对流,单价44056元/平米,630,| 3室2厅 | 143平米 | 北 | 精装,低楼层(共42层)  2006年建塔楼  -,
金碧花园   电梯三房  东南向望花园,单价25938元/平米,249,| 3室2厅 | 96平米 | 南 | 精装,低楼层(共22层)  2000年建塔楼  -,
第二金碧花园 高层南向两房 装修保养好,单价27050元/平米,165,| 2室1厅 | 61平米 | 西南 | 简装,高楼层(共32层)  2000年建塔楼  -,
珠江帝景苑 克莱公寓 五房两厅,单价35892元/平米,725,| 5室2厅 | 202平米 | 西 | 精装,高楼层(共35层)  2007年建塔楼  -,
户型方正 通风采光好,单价42958元/平米,305,| 2室1厅 | 71平米 | 东 | 精装,高楼层(共19层)  2004年建塔楼  -,
双子星城 中大布匹大商圈 电梯房,单价36364元/平米,200,| 2室1厅 | 55平米 | 东 | 其他,高楼层(共15层)  2005年建塔楼  -,
财智大厦 双地铁上盖 高层视野好,单价26112元/平米,188,| 3室1厅 | 72平米 | 东 | 其他,高楼层(共30层)  塔楼  -,
第一金碧花园 都市广场两房 户型方正,单价27905元/平米,220,| 2室2厅 | 78.84平米 | 南 | 简装,中楼层(共32层)  2000年建塔楼  -,
南洲花苑 交通方便 证过五年 望景花园,单价14674元/平米,92,| 2室1厅 | 62.7平米 | 北 | 简装,高楼层(共9层)  1993年建塔楼  -,
珠江御景湾 南北对流 保养新净,单价20150元/平米,270,| 3室2厅 | 134平米 | 南 | 精装,高楼层(共11层)  2008年建塔楼  -,
保利花园 精致三房 诚意出售,单价28572元/平米,240,| 3室2厅 | 84平米 | 西北 | 简装,中楼层(共11层)  2000年建塔楼  -,
采光通风一流 安静舒适 干净温馨,单价28473元/平米,205,| 2室1厅 | 72平米 | 东 | 简装,低楼层(共18层)  2005年建塔楼  -,
晓港湾二期 低层一房 临近地铁 新婚投资,单价17742元/平米,55,| 1室1厅 | 31平米 | 东南 | 简装,中楼层(共9层)  1999年建塔楼  -,
双子星城 南向两房 轻纺城旁 投资首选,单价33824元/平米,115,| 1室1厅 | 34平米 | 北 | 精装,中楼层(共12层)  2005年建塔楼  -,
东南向两房 干净舒适全新装修 过五免重税,单价26154元/平米,170,| 2室2厅 | 65平米 | 东 | 精装,高楼层(共33层)  2000年建塔楼  -,
金碧三期 厅大房大 精装 婚房首选,单价29231元/平米,228,| 2室2厅 | 78平米 | 东北 | 精装,中楼层(共32层)  2000年建塔楼  -,
西基东 实用两房一厅 间隔方正,单价17858元/平米,162,| 3室1厅 | 90.72平米 | 东南 | 其他,中楼层(共8层)  塔楼  -,
晓港中马路 南向 精装两房 框架结构,单价14180元/平米,95,| 2室1厅 | 67平米 | 东南 | 简装,高楼层(共9层)  塔楼  -,
晓港湾 过五年 唯一物业 送全屋家私电器,单价15124元/平米,145,| 3室1厅 | 95.88平米 | 西 | 简装,高楼层(共9层)  1999年建塔楼  -,
第二金碧花园 刚需两房 间隔方正 精装修,单价24627元/平米,165,| 2室2厅 | 67平米 | 北 | 简装,低楼层(共33层)  2000年建塔楼  -,
精致两房 装修新净 光线充足 小区管理,单价25715元/平米,180,| 2室2厅 | 70平米 | 东北 | 精装,低楼层(共30层)  2001年建塔楼  -,
