name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
新安苑 实用两房 地铁口物业 下沙学位,单价13514元/平米,100,| 3室1厅 | 74平米 | 北 | 简装,高楼层(共9层)  1998年建塔楼  -,
金逸雅居 实用小三房 未来地铁13号上盖,单价23883元/平米,203,| 3室2厅 | 85平米 | 北 | 简装,高楼层(共16层)  2006年建塔楼  -,
鹤林苑 框架三房 实用率高 交通便利,单价16380元/平米,95,| 2室1厅 | 58平米 | 西 | 简装,高楼层(共9层)  2000年建塔楼  -,
文船生活区 西区 证过五年 房改房,单价14584元/平米,105,| 2室2厅 | 72平米 | 东北 | 精装,中楼层(共8层)  1999年建塔楼  -,
荔园小区 省级学位房 精装两房,单价13750元/平米,110,| 2室2厅 | 80平米 | 南 | 精装,高楼层(共9层)  2006年建塔楼  -,
黄埔雅苑 刚需南向三房 精装修,单价22223元/平米,220,| 3室2厅 | 99平米 | 南 | 简装,高楼层(共11层)  1970年建塔楼  -,
金碧世纪花园 装修保养非常好,单价24616元/平米,160,| 2室1厅 | 65平米 | 南 | 精装,低楼层(共32层)  2004年建塔楼  -,
怡园小区 省一级学位 小学门口物业 南向,单价17059元/平米,145,| 3室1厅 | 85平米 | 南 | 简装,高楼层(共8层)  1992年建塔楼  -,
丰乐小区 实用两房 黄埔核心地段 配套成,单价16026元/平米,125,| 2室2厅 | 78平米 | 北 | 精装,高楼层(共7层)  1990年建塔楼  -,
莺岗 珠治小区 实用三房 格局方正,单价10675元/平米,95,| 3室2厅 | 89平米 | 南 | 简装,中楼层(共8层)  塔楼  -,
荔园小区 省级荔园学位 也改三房,单价15775元/平米,112,| 3室1厅 | 71平米 | 南 | 精装,高楼层(共9层)  1995年建塔楼  -,
鹤林苑 框架三房 实用率高,单价12500元/平米,100,| 3室2厅 | 80平米 | 东 | 简装,高楼层(共9层)  2000年建塔楼  -,
高层3房 怡园学位 业主诚售 南北对流,单价14025元/平米,115,| 3室1厅 | 82平米 | 南 | 简装,高楼层(共8层)  塔楼  -,
文冲商贸大厦 地铁上盖 交通方便 采光好,单价14118元/平米,120,| 3室2厅 | 85平米 | 北 | 其他,中楼层(共8层)  塔楼  -,
港湾路小区 精装实用南北向2房 老城区,单价14190元/平米,105,| 2室1厅 | 74平米 | 南 | 简装,高楼层(共8层)  1995年建塔楼  -,
金碧世纪花园 户型方正 精装修 望花园,单价21734元/平米,163,| 2室2厅 | 75平米 | 北 | 精装,低楼层(共17层)  2004年建塔楼  -,
新安苑 大两房 精装 下沙学位,单价15257元/平米,119,| 2室2厅 | 78平米 | 北 | 精装,高楼层(共9层)  1998年建塔楼  -,
金隆园 东南向望花园 大三房 交通便利,单价18680元/平米,198,| 3室2厅 | 106平米 | 东南 | 精装,低楼层(共18层)  塔楼  -,
荔香花园单价最低三房 省一级荔园学位,单价10957元/平米,126,| 3室2厅 | 115平米 | 南 | 精装,高楼层(共9层)  塔楼  -,
港湾西四街 近地铁口 生活设施齐全,单价13407元/平米,122,| 3室2厅 | 91平米 | 南 | 简装,高楼层(共8层)  1995年建塔楼  -,
文船生活区两房 适合老人小孩,单价12167元/平米,73,| 2室1厅 | 60平米 | 南 | 精装,中楼层(共6层)  1999年建塔楼  -,
怡港花园 南北对流 豪华装修,单价24359元/平米,190,| 2室2厅 | 78平米 | 北 | 精装,中楼层(共11层)  1999年建塔楼  -,
荔园小区 荔园学位 方正实用 南向两房,单价14750元/平米,118,| 2室1厅 | 80平米 | 南 | 其他,高楼层(共9层)  1995年建塔楼  -,
悦涛雅苑 地铁上盖 升值空间指日可待,单价19667元/平米,205,| 3室2厅 | 104.24平米 | 南 | 简装,低楼层(共13层)  2000年建塔楼  -,
万科城市花园 地铁口双学位 中高楼层,单价23014元/平米,168,| 2室2厅 | 73平米 | 西北 | 精装,高楼层(共11层)  2003年建塔楼  -,
丰乐小区 双地铁 馨两房修改 省级学位,单价15625元/平米,150,| 3室2厅 | 96平米 | 东北 | 简装,高楼层(共10层)  1990年建塔楼  -,
南向小三房 地铁上盖 下沙学位,单价15754元/平米,115,| 3室2厅 | 73平米 | 南 | 精装,中楼层(共9层)  1998年建塔楼  -,
入读名校 过5唯一 南向地铁上盖,单价15620元/平米,87,| 2室1厅 | 55.7平米 | 南 | 简装,中楼层(共6层)  塔楼  -,
荔园小区  带学位 交通便利,单价16495元/平米,160,| 3室2厅 | 97平米 | 南 | 简装,高楼层(共9层)  2006年建塔楼  -,
文船生活区 南北向 装修保养好 小区管理,单价12223元/平米,55,| 2室1厅 | 45平米 | 南 | 精装,高楼层(共5层)  1999年建塔楼  -,
【满堂红链家】鱼木小区 南向三房三个阳台,单价18519元/平米,150,| 3室2厅 | 81平米 | 北 | 简装,高楼层(共6层)  塔楼  -,
怡园小区 方正3房 南北对流,单价16854元/平米,150,| 3室2厅 | 89平米 | 南 | 简装,高楼层(共8层)  1992年建塔楼  -,
省一级怡园学区 全新装修南向小三房,单价17858元/平米,150,| 3室2厅 | 84平米 | 南 | 精装,高楼层(共8层)  1992年建塔楼  -,
靠近5号地铁 交通非常方便 实用三房,单价13474元/平米,128,| 3室2厅 | 95平米 | 东南 | 精装,高楼层(共9层)  1999年建塔楼  -,
新安苑 实用大三房 南北对流 地铁上盖,单价14834元/平米,178,| 3室2厅 | 120平米 | 南 | 精装,中楼层(共9层)  1998年建塔楼  -,
丰乐小区 东南向两房 安静不吵,单价18230元/平米,175,| 3室1厅 | 96平米 | 东南 | 其他,中楼层(共10层)  1990年建塔楼  -,
装修保养好 要求不高，无需装修即可入住,单价16884元/平米,130,| 3室1厅 | 77平米 | 南 | 精装,低楼层(共6层)  1999年建塔楼  -,
黄埔新村 北向大三房 安静不吵,单价12609元/平米,145,| 3室2厅 | 115平米 | 北 | 精装,高楼层(共9层)  1970年建塔楼  -,
未来地铁沿线,实用大三房,保养新净,单价27732元/平米,330,| 3室2厅 | 119平米 | 东南 | 精装,低楼层(共11层)  2006年建塔楼  -,
怡港花园 急卖带花园大三房 单价便宜,单价14564元/平米,150,| 3室2厅 | 103平米 | 东 | 简装,高楼层(共9层)  1999年建塔楼  -,
边检生活区 带荔园小学 简单装修,单价20455元/平米,180,| 3室2厅 | 88平米 | 南 | 精装,高楼层(共6层)  塔楼  -,
港湾一村 装修保养好 位置安静 近地铁,单价17008元/平米,108,| 2室1厅 | 63.5平米 | 南 | 其他,中楼层(共6层)  塔楼  -,
新世纪花园 高层南北向小三房 证满二年,单价11836元/平米,92,| 3室2厅 | 77.73平米 | 东 | 简装,高楼层(共9层)  塔楼  -,
省重点怡园学位，户型漂亮，单价低,单价15625元/平米,200,| 3室2厅 | 128平米 | 南 | 简装,高楼层(共8层)  1992年建塔楼  -,
黄埔花园 精装三房两厅 楼王单位,单价31819元/平米,280,| 3室2厅 | 88平米 | 东南 | 简装,高楼层(共20层)  2011年建塔楼  -,
金碧领秀国际 实用三房,单价26238元/平米,265,| 3室2厅 | 101平米 | 北 | 精装,高楼层(共33层)  2007年建塔楼  -,
黄埔花园 复式楼 格局精美 价格低,单价26137元/平米,230,| 4室2厅 | 88平米 | 南 | 精装,低楼层(共16层)  2011年建塔楼  -,
怡园小区 地铁口怡园学位房,单价19621元/平米,155,| 2室2厅 | 79平米 | 南 | 精装,中楼层(共8层)  1992年建塔楼  -,
石化生活区 地铁五号线 两房 可公积贷款,单价15556元/平米,95,| 2室1厅 | 61.07平米 | 南 | 简装,低楼层(共8层)  1987年建塔楼  -,
金港花园 金满楼3房 学位房 交通便利,单价17320元/平米,168,| 3室2厅 | 97平米 | 北 | 精装,高楼层(共24层)  1994年建塔楼  -,
荔园小区 带学位 交通便利,单价18731元/平米,118,| 2室1厅 | 63平米 | 东北 | 简装,中楼层(共9层)  1995年建塔楼  -,
采光通风  生活十分便利户型方正 楼层好,单价16293元/平米,145,| 2室2厅 | 89平米 | 南 | 简装,中楼层(共9层)  塔楼  -,
银丰花园 带省级学位 南北对流 交通便,单价13856元/平米,115,| 3室1厅 | 83平米 | 北 | 简装,低楼层(共9层)  1999年建塔楼  -,
金碧领秀国际别墅 省一级学位 独立花园,单价31361元/平米,530,| 4室2厅 | 169平米 | 南 | 精装,低楼层(共1层)  2007年建  -,
怡港花园精装两房 通风采光好 安静不吵,单价20239元/平米,170,| 2室2厅 | 84平米 | 北 | 精装,中楼层(共11层)  1999年建塔楼  -,
港湾路靓装两房 交通方便,单价15069元/平米,110,| 3室1厅 | 73平米 | 南 | 简装,高楼层(共6层)  塔楼  -,
荔园小区  带学位  交通便利,单价18621元/平米,108,| 2室1厅 | 58平米 | 北 | 简装,高楼层(共8层)  1995年建塔楼  -,
地铁上盖两房 证够两年 送省级学位,单价13750元/平米,110,| 2室2厅 | 80平米 | 东 | 简装,中楼层(共9层)  塔楼  -,
荔香花园 三房两厅 带荔园学位,单价12394元/平米,145,| 3室2厅 | 117平米 | 东 | 简装,高楼层(共9层)  塔楼  -,
荔园小区 荔园学位 方正实用 南向两房,单价16377元/平米,113,| 2室2厅 | 69平米 | 南 | 简装,高楼层(共9层)  1995年建塔楼  -,
精装两房 交通便利 南北对流  拎包入住,单价18750元/平米,150,| 2室1厅 | 80平米 | 南 | 简装,高楼层(共9层)  1992年建塔楼  -,
三村远洋宿舍 近地铁 全南向三房,单价14706元/平米,125,| 3室1厅 | 85平米 | 东南 | 简装,高楼层(共8层)  塔楼  -,
金港花园 电梯洋房 三房望花园 精致,单价23530元/平米,240,| 3室2厅 | 102平米 | 北 | 精装,低楼层(共24层)  1994年建塔楼  -,
黄埔花园 精装两房 学位房 户型方正,单价26512元/平米,228,| 2室1厅 | 86平米 | 北 | 精装,中楼层(共18层)  2011年建塔楼  -,
石化大院 实用两房 交通便利,单价11875元/平米,95,| 2室1厅 | 80平米 | 南 | 简装,中楼层(共5层)  1976年建塔楼  -,
黄埔雅苑 南向 精装三房 地铁五号线,单价21895元/平米,208,| 3室2厅 | 95平米 | 南 | 精装,中楼层(共17层)  1970年建塔楼  -,
悦涛雅苑 正规三房 厅出阳台精装修,单价18086元/平米,170,| 3室2厅 | 94平米 | 北 | 精装,中楼层(共6层)  2000年建塔楼  -,
金碧领秀 精装两房 产权清晰 怡园学位,单价25343元/平米,185,| 2室1厅 | 73平米 | 南 | 精装,中楼层(共33层)  2007年建塔楼  -,
丰乐小区 证过两年,单价14862元/平米,107,| 2室1厅 | 72平米 | 北 | 简装,低楼层(共8层)  1990年建塔楼  -,
鹤林苑 框架三房 实用率高 地铁五号线,单价14956元/平米,120,| 3室1厅 | 80.24平米 | 南 | 简装,高楼层(共9层)  2000年建塔楼  -,
少有户型  西南向三房 三阳台 新装修,单价26917元/平米,350,| 3室2厅 | 130.03平米 | 西南 | 精装,中楼层(共17层)  1999年建塔楼  -,
万科城市花园 证过五年 地铁口物业,单价22278元/平米,225,| 3室2厅 | 101平米 | 西北 | 精装,低楼层(共11层)  2003年建塔楼  -,
金碧世纪花园 2室2厅 155万,单价22464元/平米,155,| 2室2厅 | 69平米 | 南 | 其他,低楼层(共32层)  2004年建塔楼  -,
怡园小区 黄金楼层两房 户型方正,单价16637元/平米,127,| 2室2厅 | 76.34平米 | 东 | 毛坯,低楼层(共9层)  1992年建塔楼  -,
怡港花园 黄金楼层 南北对流 采光充足,单价18590元/平米,145,| 2室1厅 | 78平米 | 南 | 简装,中楼层(共9层)  1999年建塔楼  -,
金碧世纪花园 南向带主三房,单价26389元/平米,285,| 3室2厅 | 108平米 | 南 | 简装,低楼层(共32层)  2004年建塔楼  -,
怡港花园实用大2房可以完美改三房 园中园,单价22118元/平米,188,| 2室2厅 | 85平米 | 南 | 精装,低楼层(共11层)  1999年建塔楼  -,
金碧世纪花园 精装两房 单边 带平台,单价23334元/平米,168,| 2室1厅 | 72平米 | 北 | 精装,低楼层(共17层)  2004年建塔楼  -,
湾一村 实用两房 交通方便 省级学位,单价17742元/平米,110,| 2室1厅 | 62平米 | 东南 | 精装,高楼层(共6层)  塔楼  -,
怡港花园 璀璨豪装 精美四房 南北对流,单价23750元/平米,380,| 4室2厅 | 160平米 | 南 | 简装,高楼层(共11层)  1999年建塔楼  -,
粮食局宿舍 地铁口5分钟 精装两房,单价14902元/平米,76,| 2室1厅 | 51平米 | 北 | 简装,中楼层(共9层)  塔楼  -,
悦涛雅苑 电梯两房 省一级怡园学位,单价20162元/平米,125,| 2室2厅 | 62平米 | 东北 | 精装,高楼层(共13层)  2000年建塔楼  -,
天虹花园 二期电梯楼 精装修 大阳台,单价16429元/平米,92,| 2室1厅 | 56平米 | 北 | 简装,高楼层(共9层)  1998年建塔楼  -,
黄埔花园 格局方正，实用率高,单价27827元/平米,320,| 3室2厅 | 115平米 | 南 | 其他,高楼层(共18层)  2011年建塔楼  -,
煤气公司宿舍 东南两房 双阳台 荔园学位,单价16122元/平米,108,| 2室2厅 | 66.99平米 | 东南 | 其他,高楼层(共8层)  1993年建塔楼  -,
泰景花园 一链倾城 精致三房 社区好房,单价19031元/平米,183,| 3室2厅 | 96.16平米 | 北 | 精装,中楼层(共9层)  2004年建塔楼  -,
金碧世纪花园 时尚大三房 豪华装修,单价25767元/平米,420,| 3室2厅 | 163平米 | 南 | 简装,低楼层(共25层)  2005年建塔楼  -,
东苑小区 带怡园学位 唯一带公园小区,单价18500元/平米,185,| 3室2厅 | 100平米 | 北 | 简装,低楼层(共17层)  2000年建塔楼  -,
荔园小区 中层省级学位房,单价19842元/平米,125,| 2室1厅 | 63平米 | 南 | 精装,中楼层(共9层)  1995年建塔楼  -,
金碧领秀国际 南向两房 交通便利,单价25343元/平米,185,| 2室2厅 | 73平米 | 南 | 精装,中楼层(共33层)  2007年建塔楼  -,
怡港花园怡康楼 3室2厅 290万,单价22308元/平米,290,| 3室2厅 | 130平米 | 西 | 精装,低楼层(共17层)  1999年建塔楼  -,
乙烯大院 温馨二房 装修保养好,单价13847元/平米,108,| 2室2厅 | 78平米 | 南 | 简装,低楼层(共8层)  1998年建塔楼  -,
荔园小区 黄金中楼层 环境清静,单价18310元/平米,130,| 2室1厅 | 71平米 | 南 | 简装,中楼层(共9层)  1995年建塔楼  -,
东港花园 两房两厅 安静不吵,单价20992元/平米,155,| 2室2厅 | 73.84平米 | 北 | 精装,低楼层(共11层)  塔楼  -,
金碧世纪花园南向小两房，满五年，唯一,单价25782元/平米,165,| 2室1厅 | 64平米 | 南 | 其他,低楼层(共32层)  2004年建塔楼  -,
怡园小区 带省级学位 黄金楼层 近地铁,单价16497元/平米,128,| 2室2厅 | 77.59平米 | 东 | 简装,低楼层(共9层)  1992年建塔楼  -,
南向3房 黄金楼层 省一级学位 地铁旁边,单价17451元/平米,178,| 3室2厅 | 102平米 | 东南 | 精装,中楼层(共9层)  1999年建塔楼  -,
新世纪花园 精装修 安静不吵 省一级学位,单价13703元/平米,108,| 2室2厅 | 78.82平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
大沙地东 户型方正 近市场地铁,单价13750元/平米,88,| 2室1厅 | 64平米 | 南 | 简装,高楼层(共7层)  塔楼  -,
金丽园 精装三房 可改四房 房型正气,单价17731元/平米,175,| 3室2厅 | 98.7平米 | 北 | 精装,中楼层(共9层)  塔楼  -,
荔景园 入读荔园小学 南北对流 房大厅大,单价13762元/平米,150,| 3室1厅 | 109平米 | 东北 | 简装,高楼层(共9层)  塔楼  -,
稀缺房源 黄金楼层 经典户型 尊贵享受,单价33140元/平米,285,| 3室2厅 | 86平米 | 东北 | 精装,高楼层(共18层)  2003年建塔楼  -,
港湾路小区 南北通透 带省级怡园学位,单价17612元/平米,118,| 2室2厅 | 67平米 | 南 | 精装,中楼层(共8层)  塔楼  -,
石化生活区 地铁5号线 配套成熟,单价12500元/平米,45,| 1室1厅 | 36平米 | 南 | 简装,高楼层(共6层)  1976年建塔楼  -,
黄金地段 交通购物便利 精装修户型方正,单价13334元/平米,200,| 4室3厅 | 150平米 | 东南 | 简装,高楼层(共6层)  塔楼  -,
南向三房 格局方正 光线一流 赶快约看,单价15556元/平米,140,| 3室2厅 | 90平米 | 南 | 简装,中楼层(共8层)  塔楼  -,
旺中带静 楼层好 总价低 保养新,单价13791元/平米,88,| 2室2厅 | 63.81平米 | 南 | 简装,中楼层(共6层)  塔楼  -,
金隆园 电梯两房 带省级学位 交通生活,单价17188元/平米,110,| 2室1厅 | 64平米 | 北 | 简装,高楼层(共18层)  塔楼  -,
新安苑 大面积两房 实用率高 带学位,单价13372元/平米,125,| 2室1厅 | 93.48平米 | 南 | 简装,中楼层(共9层)  1998年建塔楼  -,
金丽园 南北对流 交通方便 采光好,单价15761元/平米,145,| 2室1厅 | 92平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
三村远洋宿舍 格局方正超笋价格 地铁上盖,单价11412元/平米,97,| 3室2厅 | 85平米 | 南 | 其他,高楼层(共7层)  塔楼  -,
房改房 南北对流 环境优美 装修保养靓,单价15379元/平米,118,| 2室2厅 | 76.73平米 | 南 | 简装,中楼层(共8层)  塔楼  -,
新景楼 地铁上盖 省级名校,单价14063元/平米,135,| 3室2厅 | 96平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
海关大院 精装南向大三房 省一级怡园学位,单价13441元/平米,125,| 3室2厅 | 93平米 | 东南 | 精装,高楼层(共9层)  塔楼  -,
笋盘急卖 采光好 过五唯一无按揭,单价19048元/平米,120,| 2室1厅 | 63平米 | 北 | 简装,低楼层(共9层)  塔楼  -,
金碧世纪花园 南向精装两房 送30方花园,单价22143元/平米,155,| 2室1厅 | 70平米 | 南 | 精装,低楼层(共17层)  2004年建塔楼  -,
榕景园,采光好,保养好,交通方便.,单价17722元/平米,280,| 4室2厅 | 158平米 | 东 | 精装,低楼层(共9层)  塔楼  -,
荔园小区 中楼层 实用小三房 户型方正,单价19853元/平米,135,| 3室1厅 | 68平米 | 南 | 简装,中楼层(共9层)  1995年建塔楼  -,
万科城市花园 精装三房 拎包入住,单价20374元/平米,218,| 3室2厅 | 107平米 | 东 | 简装,低楼层(共11层)  2003年建塔楼  -,
乙烯大院 实用大三房 安静看花园,单价15625元/平米,150,| 3室1厅 | 96平米 | 南 | 简装,中楼层(共8层)  1998年建塔楼  -,
泰景花园管理处楼 户型好 超舒适居住房,单价14085元/平米,200,| 4室2厅 | 142平米 | 东南 | 精装,高楼层(共9层)  1999年建塔楼  -,
万科城市花园 精装南向3房 双学位,单价22000元/平米,253,| 3室2厅 | 115平米 | 东南 | 精装,低楼层(共11层)  2003年建塔楼  -,
万科城市花园 精装修三房,单价22521元/平米,218,| 3室2厅 | 96.8平米 | 南 | 简装,中楼层(共11层)  2003年建塔楼  -,
荔香花园 无遮挡采光好，商品房过五年,单价12265元/平米,130,| 3室2厅 | 106平米 | 东 | 简装,高楼层(共9层)  塔楼  -,
乙烯超实用大三房 小区正中间 超好楼层,单价15417元/平米,148,| 3室2厅 | 96平米 | 南 | 精装,中楼层(共8层)  1998年建塔楼  -,
金碧世纪花园 北向三房 户型方正,单价24176元/平米,220,| 3室2厅 | 91平米 | 北 | 简装,高楼层(共32层)  2004年建塔楼  -,
荔园小区 精装两房 入读名校 交通方便,单价14474元/平米,110,| 2室1厅 | 76平米 | 南 | 精装,高楼层(共8层)  1995年建塔楼  -,
大两房 户型实用 南北对流 带荔园学位,单价17143元/平米,120,| 2室1厅 | 70平米 | 南 | 简装,高楼层(共9层)  1995年建塔楼  -,
地铁上盖 带学位 配套齐全 交通方便,单价10448元/平米,70,| 2室2厅 | 67平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
泰景花园 精装两房 地铁物业,单价22891元/平米,198,| 2室1厅 | 86.5平米 | 南 | 精装,中楼层(共9层)  2006年建塔楼  -,
东苑小区 带省一级学校 格局方正,单价20250元/平米,195,| 3室2厅 | 96.3平米 | 北 | 简装,中楼层(共17层)  2000年建塔楼  -,
怡港花园 精装复式 采光好 交通方便,单价24505元/平米,420,| 4室1厅 | 171.4平米 | 北 | 简装,高楼层(共11层)  1999年建塔楼  -,
骏鸿花园 怡园东小学交通便利 楼层低,单价19513元/平米,120,| 2室1厅 | 61.5平米 | 南 | 精装,低楼层(共6层)  塔楼  -,
全新婚房装修 2室1厅 格局方正 厅出阳,单价14149元/平米,112,| 2室1厅 | 79.16平米 | 北 | 简装,高楼层(共9层)  1999年建塔楼  -,
石化生活区 地铁口 配套完善 入读名校,单价12969元/平米,83,| 2室1厅 | 64平米 | 南 | 毛坯,高楼层(共8层)  1987年建塔楼  -,
黄埔新村 地铁上盖 生活设施齐全,单价16087元/平米,185,| 3室2厅 | 115平米 | 北 | 简装,中楼层(共9层)  1970年建塔楼  -,
乙烯处长楼 户型好 南北对流,单价12609元/平米,145,| 3室2厅 | 115平米 | 东南 | 简装,高楼层(共8层)  1998年建塔楼  -,
怡港花园 东南江景洋房 复室毛坯单位,单价23629元/平米,560,| 7室2厅 | 237平米 | 东南 | 简装,高楼层(共24层)  1999年建塔楼  -,
黄埔雅苑 南向通透 采光不错,单价19802元/平米,200,| 3室2厅 | 101平米 | 南 | 精装,中楼层(共11层)  1970年建塔楼  -,
地铁口南向靓装两房 拎包即可入住,单价16875元/平米,135,| 2室2厅 | 80平米 | 南 | 简装,中楼层(共9层)  1999年建塔楼  -,
天虹花园 户型方正 全新装修 采光充足,单价14943元/平米,130,| 3室2厅 | 87平米 | 南 | 简装,高楼层(共9层)  1998年建塔楼  -,
丰乐小区 安静不吵 黄金楼层,单价17147元/平米,134,| 2室1厅 | 78.15平米 | 东 | 简装,中楼层(共7层)  1990年建塔楼  -,
荔园小区荔香高层无遮挡,单价14697元/平米,97,| 2室1厅 | 66平米 | 南 | 简装,高楼层(共9层)  1995年建塔楼  -,
全明户型 双南设计 性价比高,单价17455元/平米,96,| 2室1厅 | 55平米 | 南 | 简装,中楼层(共6层)  1999年建塔楼  -,
鹤林苑 证过两年 小区配套齐全,单价14013元/平米,158,| 3室2厅 | 112.76平米 | 南 | 其他,低楼层(共9层)  2000年建塔楼  -,
悦涛雅苑，精装三房，地铁口省级怡园学位修,单价24676元/平米,190,| 4室1厅 | 77平米 | 东南 | 其他,高楼层(共13层)  2000年建塔楼  -,
荔香花园 大两房 家私电器齐全 拎包入住,单价17728元/平米,156,| 2室2厅 | 88平米 | 南 | 精装,中楼层(共9层)  塔楼  -,
银丰花园银丰一街 2室1厅 150万,单价22389元/平米,150,| 2室1厅 | 67平米 | 东南 | 简装,高楼层(共9层)  1999年建塔楼  -,
地铁沿线物业 中间楼层 生活配套齐,单价17568元/平米,65,| 1室1厅 | 37平米 | 西 | 简装,高楼层(共8层)  塔楼  -,
66号大院 地铁口 生活方便 精装修,单价15429元/平米,135,| 2室2厅 | 87.5平米 | 东 | 其他,中楼层(共8层)  1995年建塔楼  -,
石化大院 实用3房 格局实用 交通方便,单价14103元/平米,110,| 3室1厅 | 78平米 | 南 | 精装,低楼层(共6层)  1985年建塔楼  -,
泰景花园原处长楼 户型好  超舒适居住房,单价17254元/平米,245,| 4室2厅 | 142平米 | 南 | 精装,高楼层(共9层)  1999年建塔楼  -,
东城华庭 精装两房 保养好 五号线,单价20940元/平米,165,| 2室2厅 | 78.8平米 | 北 | 精装,低楼层(共27层)  2012年建塔楼  -,
金碧领秀 怡园学位 精致三房 产权清晰,单价22728元/平米,250,| 3室2厅 | 110平米 | 北 | 精装,中楼层(共33层)  2007年建塔楼  -,
怡港花园 实用大三房 装修包养靓,单价15687元/平米,160,| 3室2厅 | 102平米 | 东 | 简装,高楼层(共9层)  1999年建塔楼  -,
石化大院 实用精致单间 投资首选,单价11843元/平米,45,| 1室1厅 | 38平米 | 南 | 简装,中楼层(共5层)  1976年建塔楼  -,
万科城市花园 证过两年 地铁口物业,单价20071元/平米,285,| 4室2厅 | 142平米 | 东南 | 简装,低楼层(共18层)  2003年建塔楼  -,
新安苑 实用两改三房 南北对流 地铁上盖,单价14744元/平米,115,| 3室1厅 | 78平米 | 南 | 简装,高楼层(共9层)  1998年建塔楼  -,
榕景园 学位房 位置好 总价低 电梯房,单价16644元/平米,238,| 3室1厅 | 143平米 | 北 | 毛坯,高楼层(共9层)  塔楼  -,
大沙地东 三房两厅 黄金地带,单价11905元/平米,100,| 3室2厅 | 84平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
天虹花园 实用精装两房 电梯楼,单价16257元/平米,130,| 2室2厅 | 79.97平米 | 北 | 精装,中楼层(共9层)  1998年建塔楼  -,
双阳台南向大三房,单价14500元/平米,145,| 3室2厅 | 100平米 | 南 | 其他,中楼层(共8层)  塔楼  -,
