name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
浪琴屿花园，南二外学位，客厅高5.4米，7房5卫4阳台,单价63690元/平米,1800,| 7室2厅 | 282.62平米 | 南 北 | 精装,中楼层(共7层)  2001年建板塔结合  -,
桃源村三期三房，满5红本，南向客厅带阳台,单价54950元/平米,509,| 3室2厅 | 92.63平米 | 东南 | 精装,低楼层(共35层)  2008年建板楼  -,
桃源村二期 南北通精装3房 楼层适中使用率高 税费少,单价53750元/平米,430,| 3室2厅 | 80平米 | 南 北 | 精装,中楼层(共8层)  2000年建板楼  -,
前海自贸  鼎太风华 两居 满五年 唯一,单价76154元/平米,495,| 2室1厅 | 65平米 | 南 | 其他,中楼层(共10层)  2008年建板塔结合  -,
荔枝苑 精装三房 满五唯一 税费少,单价62972元/平米,568,| 3室2厅 | 90.2平米 | 南 北 | 精装,中楼层(共7层)  1990年建板塔结合  -,
花园城5期 精装大3房 学位房 业主诚售！,单价84746元/平米,750,| 3室1厅 | 88.5平米 | 南 | 精装,低楼层(共32层)  2010年建板塔结合  -,
南山外国语学位房，78平大两房,首付仅需120万！！！,单价52565元/平米,410,| 2室1厅 | 78平米 | 北 | 精装,中楼层(共31层)  2002年建板塔结合  -,
华彩花园精装复式 诚意出售 看房方便 税费少,单价50968元/平米,790,| 4室3厅 | 155平米 | 南 | 精装,中楼层(共30层)  1994年建板塔结合  -,
嘉南美地 南北三房 户型方正 通风好 本月必卖,单价53704元/平米,580,| 3室1厅 | 108平米 | 东南 | 简装,高楼层(共19层)  2005年建板塔结合  -,
桂园 南向三房 满五年唯一 看房方便,单价61112元/平米,495,| 3室1厅 | 81平米 | 南 | 简装,中楼层(共7层)  1994年建板塔结合  -,
万象新园  南山站地铁口总价低,单价68422元/平米,260,| 1室1厅 | 38平米 | 南 | 其他,高楼层(共32层)  2000年建板塔结合  -,
恒立心海湾花园花园   87平  三房一卫,单价77273元/平米,680,| 3室2厅 | 88平米 | 东南 | 精装,低楼层(共31层)  2009年建板塔结合  -,
南山前海星海名城三期  大三房  满五唯一 红本在手,单价61490元/平米,795,| 3室2厅 | 129.29平米 | 西北 | 精装,高楼层(共28层)  2004年建板塔结合  -,
星海名城五期两方 总价低 税费少，空间利用率高,单价61644元/平米,450,| 2室2厅 | 73平米 | 西北 | 精装,低楼层(共32层)  2006年建板塔结合  -,
信和自由广场满五年唯一 精装修三房 近地铁,单价63794元/平米,555,| 3室2厅 | 87平米 | 西南 | 精装,低楼层(共28层)  2006年建板塔结合  -,
龙都名园90平三房二厅二卫，中间楼层，精装修木地板,单价52223元/平米,470,| 3室2厅 | 90平米 | 东北 | 精装,低楼层(共17层)  2002年建板塔结合  -,
汇宾广场 3居室 满五唯一 红本在手 高楼层 视野宽阔,单价55000元/平米,550,| 3室2厅 | 100平米 | 南 | 精装,高楼层(共32层)  2002年建板塔结合  -,
阳光花地苑 正规三方，满五唯一，业主诚售！,单价73334元/平米,550,| 3室1厅 | 75平米 | 东南 | 其他,低楼层(共27层)  板塔结合  -,
心语雅园 前海路两房整体总价便宜 投资刚需首选,单价62849元/平米,395,| 2室1厅 | 62.85平米 | 东南 | 其他,中楼层(共18层)  2002年建板塔结合  -,
蓝漪花园约65平南向花园看全海景好漂亮好漂亮可以看房,单价75000元/平米,1050,| 3室2厅 | 140平米 | 南 | 精装,高楼层(共17层)  2002年建板塔结合  -,
前海华庭 学位房 满五唯一 红本在手 地铁口 朝南安静,单价87838元/平米,650,| 2室1厅 | 74平米 | 南 | 精装,高楼层(共11层)  2000年建板塔结合  -,
荔雅居 满五年唯一 红本在手 赠送60平顶楼复式,单价104000元/平米,780,| 3室3厅 | 75平米 | 西南 | 精装,高楼层(共11层)  2002年建板塔结合  -,
桃园地铁站附近  西海明珠花园  东南向2房 红本无税,单价69407元/平米,510,| 2室1厅 | 73.48平米 | 东南 | 简装,高楼层(共29层)  2004年建塔楼  -,
创世纪滨海花园精装两房带学位拎包入住。,单价66050元/平米,535,| 2室2厅 | 81平米 | 南 | 精装,中楼层(共15层)  2001年建板塔结合  -,
翠薇园南北通透两居室。满五年唯一,单价66383元/平米,468,| 2室2厅 | 70.5平米 | 南 北 | 其他,中楼层(共7层)  1991年建板楼  -,
愉康花园 一梯两户 南北通透 近荔香公园 临双地铁口,单价58955元/平米,345,| 2室2厅 | 58.52平米 | 南 | 简装,低楼层(共7层)  1996年建板塔结合  -,
地铁口花园社区，南北通透大三房 精装修满五年,单价59634元/平米,650,| 3室2厅 | 109平米 | 南 | 精装,中楼层(共11层)  2001年建板塔结合  -,
创世纪小三房，满五年，红本在手，带学府学位房。,单价65385元/平米,510,| 3室1厅 | 78平米 | 西 | 其他,中楼层(共14层)  2001年建板塔结合  -,
信和自由广场  满五年唯一 自住装修 客厅带阳台,单价64706元/平米,440,| 2室1厅 | 68平米 | 西南 | 精装,低楼层(共26层)  2006年建板塔结合  -,
桃源村三期 东南向三房 高楼层 满五唯一,单价59391元/平米,530,| 3室2厅 | 89.24平米 | 东南 | 精装,高楼层(共35层)  2008年建板楼  -,
星海名城五期  精装三房  满五唯一  赠送15㎡,单价75582元/平米,650,| 3室2厅 | 86平米 | 西北 | 其他,高楼层(共32层)  2006年建板塔结合  -,
海伴雅居，南向方正两居室，满五年唯一，刚需首选,单价63955元/平米,393,| 2室2厅 | 61.45平米 | 南 | 简装,低楼层(共18层)  2002年建板塔结合  -,
高山花园，层高3.3m，复式4房，红本在手满五唯一。,单价99010元/平米,2000,| 4室2厅 | 202平米 | 东南 | 精装,中楼层(共31层)  2006年建板塔结合  -,
花果山小区，两房，满五唯一无税，公园地铁物业,单价67154元/平米,460,| 2室2厅 | 68.5平米 | 南 北 | 简装,高楼层(共6层)  1996年建板塔结合  -,
东方新地大三房，满五唯一，南北通透！,单价61861元/平米,665,| 3室2厅 | 107.5平米 | 南 | 精装,中楼层(共25层)  2005年建板塔结合  -,
侨州花园绿景公寓 精装一房 合适住家,单价50811元/平米,188,| 1室1厅 | 37平米 | 南 | 简装,中楼层(共8层)  1993年建板楼  -,
太古城北区经典复式三房,单价134884元/平米,1160,| 3室1厅 | 86平米 | 西南 | 精装,高楼层(共32层)  2010年建板塔结合  -,
荔庭园精装2房，南山脚下，交通便利,单价67568元/平米,500,| 2室2厅 | 74平米 | 南 | 精装,中楼层(共8层)  1999年建板塔结合  -,
近地铁口，大陆庄园两房出售，安静，满五年,单价59423元/平米,350,| 2室2厅 | 58.9平米 | 南 | 精装,中楼层(共16层)  2001年建板塔结合  -,
向南海德大厦精装三房 紧凑户型 刚需投资首选 有赠送,单价71161元/平米,455,| 3室2厅 | 63.94平米 | 东 | 其他,中楼层(共26层)  2008年建板塔结合  -,
明舍御园名校学位 高档社区一梯一户私密高,单价96822元/平米,1450,| 3室2厅 | 149.76平米 | 东 西 | 精装,高楼层(共17层)  2004年建板塔结合  -,
景园大厦  海景房  靠近公园和学校,单价58120元/平米,680,| 3室2厅 | 117平米 | 南 | 简装,高楼层(共32层)  1996年建板塔结合  -,
钜建大厦 标准两房可以改三房 满五唯一 红本在手,单价49316元/平米,360,| 2室2厅 | 73平米 | 东北 | 精装,中楼层(共24层)  1996年建塔楼  -,
青春家园满五唯一 精装大两房 自住装修海岸城海雅商圈,单价65042元/平米,435,| 2室2厅 | 66.88平米 | 西北 | 其他,低楼层(共25层)  2002年建板塔结合  -,
花园城三期 南北通透 户型方正,单价99928元/平米,1100,| 3室2厅 | 110.08平米 | 南 北 | 其他,中楼层(共11层)  2005年建板塔结合  -,
宝珠花园，精装3房，满五年唯一，电梯房,单价52048元/平米,530,| 3室2厅 | 101.83平米 | 南 北 | 精装,中楼层(共11层)  2000年建塔楼  -,
星海名城3+1户型  精装修  高楼层无遮挡,单价63810元/平米,670,| 3室2厅 | 105平米 | 南 北 | 简装,高楼层(共9层)  2001年建板塔结合  -,
天骄华庭大复式 精装修 育才学区,单价95455元/平米,2100,| 5室1厅 | 220平米 | 东南 | 精装,中楼层(共15层)  板塔结合  -,
雍华府 花园式小区朝南大户型学位房,单价78788元/平米,1300,| 4室2厅 | 165平米 | 南 | 简装,低楼层(共17层)  板楼  -,
广博星海华庭 南北三房 户型正规 可观花园 满五唯一,单价77193元/平米,880,| 3室2厅 | 114平米 | 东南 | 精装,高楼层(共17层)  2004年建板塔结合  -,
泰福苑 南北大三房  精装修 满两年 可看海景,单价67269元/平米,589,| 3室2厅 | 87.56平米 | 南 北 | 精装,高楼层(共31层)  2012年建板塔结合  -,
荔园新村低总价两房 投资刚需首选,单价64541元/平米,510,| 3室2厅 | 79.02平米 | 南 | 简装,低楼层(共8层)  1997年建板塔结合  -,
招东小区，温馨三居室，居住舒适。,单价57208元/平米,635,| 3室2厅 | 111平米 | 东南 | 精装,中楼层(共7层)  1987年建板塔结合  -,
蔚蓝海岸3期 大3房 看小区中心花园 满5唯一  楼层佳,单价84213元/平米,1070,| 3室2厅 | 127.06平米 | 南 西北 | 精装,中楼层(共11层)  2003年建板塔结合  -,
康乐大厦三房，近地铁口，朝东，安静，高层,单价50000元/平米,385,| 3室1厅 | 77平米 | 东北 | 精装,中楼层(共28层)  板塔结合  -,
海景花园 低楼层看花园 看房方便 诚心出售,单价61947元/平米,700,| 3室2厅 | 113平米 | 西南 | 简装,低楼层(共32层)  2000年建板塔结合  -,
房子满五年唯一红本在手，房子目前空置看房方便。,单价90124元/平米,730,| 3室2厅 | 81平米 | 东南 | 简装,高楼层(共18层)  2001年建板塔结合  -,
房子满五年红本在手无抵押，看房方便业主诚意出售,单价91550元/平米,650,| 2室1厅 | 71平米 | 东南 | 简装,高楼层(共18层)  2001年建板塔结合  -,
新上170平米大四房 高层 南向 视野开阔 私密性好,单价108824元/平米,1850,| 4室2厅 | 170平米 | 南 | 精装,高楼层(共32层)  2003年建板塔结合  -,
阳关棕榈园满五年唯一正规1房 地铁房 64%高绿化率,单价75000元/平米,300,| 1室1厅 | 40平米 | 西南 | 精装,中楼层(共11层)  2004年建塔楼  -,
佳嘉豪苑  精装两房 红本在手 满五唯一,单价70000元/平米,560,| 2室2厅 | 80平米 | 西北 | 精装,低楼层(共23层)  2003年建塔楼  -,
首地一期 稀缺电梯小高层  精装3室 南北通透 满五唯一,单价78361元/平米,960,| 3室2厅 | 122.51平米 | 北 | 精装,高楼层(共8层)  1997年建板塔结合  -,
后海名苑居南区 精装修送70平花园 南向安静,单价60440元/平米,550,| 3室2厅 | 91平米 | 南 | 精装,低楼层(共8层)  2003年建板塔结合  -,
世纪村一期南向3房诚心出售,单价73718元/平米,1150,| 3室2厅 | 156平米 | 南 | 简装,低楼层(共17层)  2001年建塔楼  -,
深圳湾畔花园顶楼复式满五唯一住房红本在手,单价80451元/平米,1600,| 5室2厅 | 198.88平米 | 南 | 简装,高楼层(共33层)  2003年建塔楼  -,
前海片区 鼎太风华 稀缺大户型 双学位房,单价76215元/平米,1200,| 4室2厅 | 157.45平米 | 南 | 精装,低楼层(共11层)  2004年建板塔结合  -,
瑞河耶纳稀缺小高层，厅出阳台大视野全景观,单价138555元/平米,2300,| 4室2厅 | 166平米 | 南 | 简装,中楼层(共11层)  2005年建板楼  -,
天鹅堡 豪装复式 全湖景  稀缺户型 诚意放售,单价191405元/平米,5300,| 4室3厅 | 276.9平米 | 南 | 精装,中楼层(共11层)  2002年建板塔结合  -,
城市山林南北两房 学位房 满五唯一,单价80000元/平米,560,| 2室2厅 | 70平米 | 南 北 | 精装,中楼层(共19层)  2009年建板塔结合  -,
蔚蓝海岸3期，原始户型为4+1房3卫，精装修自住,单价94944元/平米,1690,| 3室2厅 | 178平米 | 西北 | 精装,高楼层(共31层)  2003年建板塔结合  -,
星海五期 精装两房 满五唯一  免增值税 视野好,单价61780元/平米,450,| 2室2厅 | 72.84平米 | 西北 | 精装,高楼层(共32层)  2006年建板塔结合  -,
龙城花园低楼层南向小两房 精致装修对中庭 可直接入住,单价59321元/平米,330,| 2室1厅 | 55.63平米 | 南 | 精装,中楼层(共6层)  1986年建板楼  -,
鼎太风华七期 满五且唯一 红本在手 学位没用过,单价77612元/平米,520,| 2室1厅 | 67平米 | 北 | 其他,低楼层(共11层)  2008年建板塔结合  -,
地铁口物业现代城精装两房红本在手。,单价56270元/平米,460,| 3室2厅 | 81.75平米 | 东南 | 精装,低楼层(共33层)  2004年建板塔结合  -,
中信红树湾 极少放卖2居室19栋公寓一本证,单价90218元/平米,830,| 2室2厅 | 92平米 | 东南 | 精装,低楼层(共28层)  2008年建板楼  -,
阳光带海滨城二期，南北通透 南山外国语,单价100000元/平米,830,| 2室2厅 | 83平米 | 东 西 | 精装,低楼层(共23层)  2003年建板塔结合  -,
滨海之窗优质房源，精装三房，南二外双学位,单价87726元/平米,1300,| 3室2厅 | 148.19平米 | 南 | 精装,高楼层(共31层)  2004年建塔楼  -,
东南金角大三房，紧邻在建地铁11号线,单价59899元/平米,508,| 3室2厅 | 84.81平米 | 东南 | 简装,中楼层(共20层)  2002年建板塔结合  -,
海怡东方花园 南北通透大三房 学位未用,单价103449元/平米,1200,| 3室2厅 | 116平米 | 南 | 精装,中楼层(共25层)  2003年建板塔结合  -,
满五唯一红本在手，中空复式结构，赠送露台,单价61765元/平米,850,| 4室3厅 | 137.62平米 | 南 北 | 简装,高楼层(共6层)  2002年建板塔结合  -,
此房楼栋位置安静，南北通透，采光视野很好,单价87543元/平米,1780,| 4室2厅 | 203.33平米 | 南 | 精装,高楼层(共11层)  2002年建板塔结合  -,
中新街芳华苑两房低总价无增值税,单价60000元/平米,456,| 3室2厅 | 76平米 | 南 | 简装,高楼层(共7层)  1991年建板塔结合  -,
君汇新天 177平赠30平大4房 湾区学区房 私享定制装修,单价96046元/平米,1700,| 4室2厅 | 177平米 | 南 | 毛坯,低楼层(共23层)  2009年建板楼  -,
前海自贸 鼎太风华七期  双实验学位 满五年,单价77888元/平米,553,| 2室2厅 | 71平米 | 南 | 简装,中楼层(共11层)  2008年建板楼  -,
前海地铁口精装两房红本无税满五唯一,单价65715元/平米,460,| 2室2厅 | 70平米 | 南 北 | 精装,中楼层(共18层)  2004年建塔楼  -,
波托菲诺天鹅堡 3房满5年小区安静户型,单价93051元/平米,1450,| 3室2厅 | 155.83平米 | 南 北 | 简装,低楼层(共20层)  2002年建板塔结合  -,
中信红树湾北区四房四卫主卧带弧形大阳台,单价124359元/平米,3880,| 4室2厅 | 312平米 | 南 西南 | 精装,低楼层(共30层)  2010年建板楼  -,
金色海琴苑 精装三房 赠送大花园 业主诚售,单价70648元/平米,620,| 3室2厅 | 87.76平米 | 南 | 精装,低楼层(共18层)  2005年建塔楼  -,
百年荔林环绕的奢华顶楼三层小复式,单价89623元/平米,1900,| 6室2厅 | 212平米 | 南 | 精装,高楼层(共8层)  2002年建板塔结合  -,
鸿洲新都 1室1厅 270万,单价61364元/平米,270,| 1室1厅 | 44平米 | 西 北 | 其他,高楼层(共18层)  2002年建板塔结合  -,
南海玫瑰花园三期 楼王单位 228平4房 高楼层 看海景,单价109650元/平米,2500,| 4室2厅 | 228平米 | 南 | 其他,高楼层(共33层)  2006年建塔楼  -,
蓝月湾畔 南北通透三居室 满五年唯一,单价78364元/平米,900,| 3室2厅 | 114.85平米 | 南 北 | 其他,中楼层(共9层)  2001年建板塔结合  -,
育德佳园 带电梯 绿化率58% 北师大学位 全南朝向,单价82243元/平米,880,| 2室3厅 | 107平米 | 南 | 简装,中楼层(共18层)  2002年建板塔结合  -,
西湖林语 满五唯一无税 学区房 南向看花园复式,单价79994元/平米,1060,| 4室2厅 | 132.51平米 | 南 | 简装,中楼层(共18层)  2006年建板楼  -,
澳城花园一期 主打户型4房 业主诚意出售,单价87649元/平米,1200,| 5室2厅 | 136.91平米 | 南 | 精装,低楼层(共18层)  2007年建板塔结合  -,
1号线 大新站 高层复式 免增值税 东西通透,单价72455元/平米,580,| 2室2厅 | 80.05平米 | 东 西 | 精装,高楼层(共32层)  2010年建塔楼  -,
卓越维港端头叠加别墅红本满5年使用面积350平可加建,单价137690元/平米,3300,| 4室2厅 | 239.67平米 | 南 | 毛坯,高楼层(共7层)  2009年建  -,
滨海之窗 户型方正朝南三房 稀缺放卖,单价95412元/平米,1100,| 3室2厅 | 115.29平米 | 东南 | 精装,中楼层(共30层)  2004年建塔楼  -,
星海名城 南北通透4房 满2年 地铁口物业,单价61984元/平米,750,| 4室2厅 | 121平米 | 南 | 精装,高楼层(共9层)  2000年建板塔结合  -,
景园大厦 户型方正 满五唯一 红本在手,单价56051元/平米,660,| 4室2厅 | 117.75平米 | 东北 | 其他,低楼层(共32层)  1996年建板塔结合  -,
后海海洋之心，满五年家庭唯一住宅，视野开阔大户型！,单价74417元/平米,1400,| 5室2厅 | 188.13平米 | 东南 | 精装,高楼层(共32层)  2002年建塔楼  -,
万象新新园  户型方正  朝南  采光好,单价65877元/平米,250,| 1室1厅 | 37.95平米 | 南 | 精装,中楼层(共32层)  2000年建板塔结合  -,
深华园  朝南通透户型  采光好,单价45589元/平米,155,| 1室1厅 | 34平米 | 南 | 其他,中楼层(共8层)  1994年建板塔结合  -,
绿海名都70+110平使用面积  赠送110平大露台  南北向,单价75715元/平米,530,| 2室1厅 | 70平米 | 南 北 | 简装,低楼层(共18层)  2004年建塔楼  -,
星海名城二期3+1，可改5居室，满五年唯一红本在手,单价58926元/平米,750,| 3室2厅 | 127.28平米 | 北 | 简装,低楼层(共11层)  2009年建板塔结合  -,
滨海之窗 南二外重点 西南2房 看房有钥匙 诚意出售,单价95082元/平米,810,| 2室2厅 | 85.19平米 | 西南 | 精装,中楼层(共33层)  2004年建板塔结合  -,
雍景湾 南北通透正规两室两厅双阳台 双学位 采光好,单价101344元/平米,860,| 2室2厅 | 84.86平米 | 南 北 | 精装,低楼层(共30层)  2012年建板塔结合  -,
创世纪滨海花园优质小三房，三层复式楼,单价64103元/平米,500,| 3室2厅 | 78平米 | 西 | 精装,中楼层(共14层)  2001年建板塔结合  -,
三湘海尚业主移民 高区精装修 海景南北通 户型方正,单价105715元/平米,1850,| 4室2厅 | 175平米 | 南 北 | 精装,高楼层(共30层)  2010年建板楼  -,
投资好选择，海岸时代复式公寓。,单价50000元/平米,430,| 2室2厅 | 86平米 | 南 | 其他,中楼层(共31层)  2007年建板塔结合  -,
南山科技园 南外本部学区 低总价 投资自住,单价92308元/平米,480,| 1室1厅 | 52平米 | 南 北 | 其他,低楼层(共7层)  1998年建板塔结合  -,
中爱花园 东南向看花园 安静舒适一房,单价60229元/平米,300,| 1室1厅 | 49.81平米 | 东南 | 精装,高楼层(共15层)  2004年建板塔结合  -,
东滨华苑。两房，户型好，有小区。,单价53572元/平米,375,| 2室1厅 | 70平米 | 南 | 其他,中楼层(共20层)  2000年建板塔结合  -,
深云村 楼王位置 东南向 两房可扩建三房,单价75715元/平米,530,| 2室2厅 | 70平米 | 东南 | 简装,低楼层(共34层)  板塔结合  -,
天鹅堡一期高楼层 欢乐谷景  海景,单价75000元/平米,1650,| 4室2厅 | 220平米 | 东南 西南 | 精装,高楼层(共34层)  2002年建板塔结合  -,
桃源村71平 满五年无税  安静楼层好,单价50705元/平米,360,| 3室2厅 | 71平米 | 北 | 简装,中楼层(共7层)  1997年建塔楼  -,
金海岸 满五唯一 红本在手 海岸城商圈 来福士旁边,单价67660元/平米,318,| 2室1厅 | 47平米 | 东 | 其他,高楼层(共30层)  2000年建板塔结合  -,
滨海之窗南向三房，满五唯一，红本在手，学位可用。,单价99190元/平米,1040,| 3室2厅 | 104.85平米 | 南 | 精装,中楼层(共18层)  2004年建板塔结合  -,
鸿洲新都 婚房装修  满5年唯一 低于市场价,单价60318元/平米,380,| 2室2厅 | 63平米 | 北 | 精装,中楼层(共18层)  2002年建板塔结合  -,
南国丽城 满五年 红本在手 楼层佳,单价57953元/平米,638,| 3室2厅 | 110.09平米 | 东北 | 简装,中楼层(共22层)  2003年建板塔结合  -,
桃源村一期 精装3房，采光好，视野开阔，无遮挡，税低,单价49889元/平米,358,| 3室2厅 | 71.76平米 | 北 | 精装,中楼层(共7层)  1997年建板楼  -,
麒麟花园三期楼王精装三房 满五少税 带学位,单价84906元/平米,900,| 3室2厅 | 106平米 | 南 | 精装,中楼层(共24层)  板塔结合  -,
前海自贸区 实验学位 厅出阳台 端头位置,单价77000元/平米,385,| 2室1厅 | 50平米 | 西北 | 精装,低楼层(共29层)  2009年建板塔结合  -,
康乐大厦东南向正规三房，满五年业主唯一，业主诚售,单价50575元/平米,440,| 3室2厅 | 87平米 | 东南 | 简装,低楼层(共28层)  板塔结合  -,
七期 笋盘！低市场价1万一平！满五唯一，学位可用,单价67568元/平米,500,| 2室1厅 | 74平米 | 南 | 其他,高楼层(共10层)  2008年建板塔结合  -,
天鹅堡上下三层顶楼复式豪华装修视野开阔无遮挡,单价113896元/平米,4800,| 7室4厅 | 421.44平米 | 南 | 精装,高楼层(共20层)  2002年建板塔结合  -,
花园城三期  精装6房 满五年唯一 红本在手！！！,单价104348元/平米,1200,| 6室2厅 | 115平米 | 东 | 其他,中楼层(共9层)  2005年建板塔结合  -,
蔚蓝海岸三期精装四居，双套房，红本满五年且唯一,单价94563元/平米,1800,| 4室2厅 | 190.35平米 | 西南 | 精装,中楼层(共17层)  2003年建板塔结合  -,
南光城市花园 高层复式4房 品质小区 豪华装修 满五,单价87273元/平米,768,| 4室2厅 | 88平米 | 东 | 精装,高楼层(共32层)  2009年建板塔结合  -,
