name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
珠江新城 星汇雅苑 近地铁 保养好,48平米,4000,星汇雅苑,1室1厅,
一房一厅 家私家电齐全 视野开阔,32平米,1500,棠德花园H区,1室1厅,
星汇园 温馨两房,60平米,6600,星汇园A区,2室2厅,
丽晶华庭 两房两厅 住家装修 家私家电齐,78平米,6000,丽晶华庭,2室2厅,
地铁上盖 交通方便 住家首选,103平米,9000,星辰财富港,3室1厅,
星汇云锦 正宗大两房 保养新净 拎包入住,98平米,13000,星汇云锦,2室2厅,
双城国际 家电齐全 独立单身公寓 双地铁,38平米,4499,双城国际公寓,1室0厅,
地铁上盖，吉屋出租，可办公可住家。,149平米,8000,名门大厦,3室2厅,
首次出租 春江花园两房 豪华地板家私齐全,58平米,3400,春江花园,2室1厅,
棠德花园新装修两房 家私家电齐全,57平米,2700,棠德花园G区,2室1厅,
上景园 家私齐全 装修好,45平米,1800,上景园E栋,1室1厅,
马赛国际公寓 精装修单间 东向采光好,61平米,4000,马赛国际公寓,1室1厅,
铂林国际 简单明亮大单间 家电齐全,28平米,3600,铂林国际公寓,1室0厅,
华景里 理想地 精装两房一厅 放租,48平米,5200,华景新城信华花园,2室1厅,
芳满庭园一房 稀有放盘  家私家电齐全,39平米,3200,华景新城芳满庭园,1室1厅,
金燕花园 电梯4房 东北向 简单装修修改,122平米,5000,金燕花园,4室1厅,
泽晖苑 安静舒适四房 望花园,141平米,7000,华景新城泽晖苑,4室2厅,
2房1厅 全明屋  家电齐全,58平米,2700,棠德花园G区,2室2厅,
芳满庭园 精装三房 保养很好 家私齐全,97平米,5800,华景新城芳满庭园,3室2厅,
皓瀚华轩 双地铁上盖 办公住家都可以,100平米,10000,皓瀚华轩,8室1厅,
皓瀚华轩 双地铁上盖 办公住家都可以,100平米,10000,皓瀚华轩,8室1厅,
马赛国际公寓 西南向望花园 拎包入住,61平米,4500,马赛国际公寓,1室1厅,
棠德花园一房一厅 低楼层 采光一流,28平米,1800,棠德花园A区,1室1厅,
齐全家电 交通便利 新装修周围配套设施齐,39平米,3500,鸿翔大厦,1室0厅,
珠江都荟 厅出阳台 光线充足 户型方正,78平米,8000,珠江都荟华庭,2室2厅,
铂林国际 地铁上盖复式公寓 拎包入住,45平米,5000,铂林国际公寓,1室1厅,
美好居 精装两房 地铁上盖 户型方正,58平米,3800,美好居,2室1厅,
双城国际 装修保养好 独立厨房 双地铁,41平米,4200,双城国际公寓,1室0厅,
美好居 精装两房 地铁上盖 户型方正,60平米,3500,美好居,2室1厅,
荟雅苑 双地铁 三房望东南向 安静舒适,95平米,6500,荟雅苑,3室2厅,
历德雅舍 精装修 家电齐全 温馨三房,98平米,5500,历德雅舍,3室2厅,
双城国际公寓 家具齐全 拎包即住,45平米,4100,双城国际公寓,1室0厅,
双城国际公寓 精装修家私齐全 拎包入住,38平米,4200,双城国际公寓,1室0厅,
铂林国际 地铁上盖复式公寓 拎包入住,45平米,5000,铂林国际公寓,1室1厅,
铂林国际 地铁上盖复式公寓 拎包入住,38平米,4600,铂林国际公寓,1室1厅,
富力天朗明居 温馨两房 安静望花园,64平米,3900,富力天朗明居N区,2室2厅,
翠湖山庄 少有两房 家私家电齐全,85平米,4500,翠湖山庄,2室2厅,
佳润上品菁园 精致二房 配齐全新家电家私,51平米,3100,佳润上品菁园,1室1厅,
棠德花园 黄金楼层 光线充足,56平米,2600,棠德花园E区,2室1厅,
铂林国际 简单明亮大单间 家电齐全,32平米,3800,铂林国际公寓,1室0厅,
铂林国际公寓大单间地铁口保养好拎包入住,33平米,3900,铂林国际公寓,1室0厅,
天逸名都 1房出租,47平米,4300,天逸名都,1室1厅,
东方都会广场 南向复式房 时尚装修,44平米,4300,东方都会广场,2室2厅,
双城国际珠江新城 一房南向安静保养好,38平米,4800,铂林国际公寓,1室1厅,
星汇园 方正两房 保养新 随时入住,94平米,6500,星汇园A区,2室2厅,
保利心语 舒适三房 中高层稀缺南向,105平米,8000,保利心语花园,3室2厅,
侨怡苑 电梯两房 交通便利 出行好,75平米,4500,侨怡苑,2室1厅,
地铁上盖 交通方便 住家首选,94平米,8500,星辰财富港,3室2厅,
保利心语 南向两房 温馨舒适,74平米,6500,保利心语花园,2室2厅,
芳满庭园 精装三房 保养很好 家私齐全,97平米,5800,华景新城芳满庭园,3室2厅,
尚东君御雅苑 豪华舒适大单间,39平米,6000,尚东君御雅苑,1室1厅,
富力公园28 宜商家居 可注册 近地铁,273平米,24000,富力公园28,4室2厅,
美林湖畔花园 精装大三房 拎包入住,110平米,5100,美林湖畔花园,3室2厅,
龙口东路 天诚广场 单身公寓 交通方便,29平米,3100,天诚广场世纪华都,1室0厅,
盈彩美居三期 户型方正 楼龄新,99平米,4600,盈彩美居菁玥轩,3室2厅,
中海花城湾,交通方便,保养好,139平米,14000,中海花城湾,3室2厅,
广氮新村 正规两室 新房出租 装修保养好,75平米,3000,广氮新村,2室2厅,
地铁口 天朗明居 精装两房 急租,70平米,3800,富力天朗明居S区,2室1厅,
华景新城 陶然庭园 温馨两房 拎包入住,78平米,4300,华景新城陶然庭园,2室2厅,
东圃豪华装修 豪华装修,52平米,3300,远洋明苑,2室2厅,
天朗明居 两房放租,65平米,3600,富力天朗明居S区,2室2厅,
荟雅苑 双地铁 三房 安静舒适,95平米,6500,荟雅苑,3室1厅,
恒康阁3房两厅 高楼层无遮挡,107平米,6000,恒康阁,3室2厅,
华景新城 公安宿舍 电梯二房,63平米,3299,华景公安宿舍,2室1厅,
采光很好 周边配套齐全 交通方便 户型很,58平米,3200,汇友苑,2室1厅,
富力天朗明居 南向三房 望花园泳池,95平米,5000,富力天朗明居S区,3室2厅,
金建苑 全新装修 精装两房,45平米,2800,金建苑9栋,1室1厅,
铂林国际公寓 复式 保养好 家电齐全,38平米,5000,铂林国际公寓,1室1厅,
美林湖畔 豪装三房风格厚重 采光好,132平米,6000,美林湖畔花园,3室2厅,
景安花园 温馨四方 家电齐全,180平米,6800,景安花园,4室2厅,
历德雅舍 方正两方 通风采光好,71平米,4500,历德雅舍,2室1厅,
盈彩美居 东向三房 装修保养新学位房,101平米,4500,盈彩美居碧彩轩,3室2厅,
东方新世界 精装两房 家私家电齐,86平米,5499,东方新世界,2室1厅,
铂林国际 一房一厅 实用复式,36平米,4800,铂林国际公寓,1室1厅,
棠德花园 视野开阔 房型佳,62平米,3000,棠德花园H区,2室1厅,
协和新世界 精致两房 南向花园 安静舒适,77平米,7000,协和新世界,2室2厅,
阳光大厦 两房两厅 采光好,70平米,1800,阳光大厦,2室2厅,
三房精装修，保养好,105平米,5500,骏景花园南苑骏霖轩,3室2厅,
南向大三房 温馨出租 带主套,120平米,8600,石牌西路武警大院,3室2厅,
骏景花园南苑 南北通透好3房,77平米,4300,骏景花园南苑骏仁轩,3室2厅,
保利心语花园 南向三房 全新家具出租,103平米,8800,保利心语花园,3室2厅,
隽峰苑精致三房豪华装修 地铁上盖拎包入住,137平米,12000,隽峰苑,3室2厅,
边检宿舍 装修豪华 合适住家 出行方便修,112平米,4100,边检宿舍,3室1厅,
龙口中路 天逸名都,41平米,4600,天逸名都,1室1厅,
德荣小区 电梯3房 全新装修 配套,92平米,6000,德荣小区,3室1厅,
喜洋居稀缺一居室诚意出租,40平米,3400,喜洋居,1室1厅,
中兴花园 低价精装两房 随时可入住,75平米,3500,中兴花园,2室2厅,
天朗明居 南向一房 家私电齐 保养好,40平米,3000,富力天朗明居S区,1室1厅,
铂林国际公寓 东南靓向 少有放盘,55平米,6000,铂林国际公寓,2室1厅,
华景新城逸晖居 3室2厅 4500元,80平米,4500,华景新城逸晖居,3室2厅,
珠江新城商圈地段办公首选 可注册 近地铁,52平米,4800,富力盈丰大厦,1室1厅,
店长推荐 南向2房 望花园 安静舒适修改,74平米,5000,金海花园,2室2厅,
太阳广场 阳光阁2房全家私电出租,73平米,4500,太阳广场,2室2厅,
星汇云锦 高档住宅 舒适大三房,243平米,23000,星汇云锦,3室2厅,
丽晶华庭 两房两厅 办公住家均可,77平米,7000,丽晶华庭,2室2厅,
珠江新城 马赛国际公寓 户型方正,46平米,3400,马赛国际公寓,1室0厅,
嘉裕丹顿阳光 精装三房 稀有房源,125平米,12000,嘉裕丹顿阳光,3室2厅,
骏景花园北苑 大四房  办公首选,144平米,6400,骏景花园北苑骏翔轩,4室2厅,
华景新城 陶然庭苑 精装两房 稀缺两房,78平米,4500,华景新城陶然庭园,2室2厅,
穗园小区 机关房改，安静小区,100平米,6000,穗园小区,3室2厅,
华景新城 陶然庭园实用两房 通风好采光好,76平米,4500,华景新城陶然庭园,2室1厅,
金田花苑 居家首选一房 温馨舒适,50平米,3500,金田花苑,1室1厅,
铂林国际 罕有户型 保养新 拎包入住,32平米,4600,铂林国际公寓,1室1厅,
华景五期 漂亮两房 家私齐全 拎包入住,75平米,4380,华景新城怡华台,2室2厅,
利雅湾 全新放租 家电齐全 业主诚心放租,125平米,9000,利雅湾,3室2厅,
东方新世界 精装修 三房两厅 家电齐全,98平米,6000,东方新世界,3室2厅,
铂林国际 高层明亮大单间 家电齐全,28平米,3800,铂林国际公寓,1室0厅,
朱美拉公寓 温馨一房 保养好 诚心放租,64平米,6800,朱美拉公寓,1室1厅,
华景新城建宇轩 大单间 家私家电齐全,119平米,1500,华景新城建宇轩,1室0厅,
珠江新城 双城国际 家私家电齐 装修豪华,37平米,4100,双城国际公寓,1室1厅,
铂林国际 一房一厅 实用复式,38平米,4900,铂林国际公寓,1室1厅,
骏景花园 南向三房 高层 家私电器齐全,136平米,7000,骏景花园南苑骏灏轩,3室2厅,
龙怡苑温馨一房、居家首选,50平米,2300,龙怡苑,1室1厅,
暨大教工宿舍干净两房 有家私有家电,92平米,3500,暨大教工宿舍华景路,2室2厅,
员村华江花园4房1厅南向精装4房南北对流,117平米,4500,华江花园,4室1厅,
东方新世界 精致一房 装修保养好,70平米,4300,东方新世界,1室2厅,
暨大宿舍 明湖苑 出租主卧 独立阳台,18平米,2300,暨南大学宿舍明湖苑,2室1厅,
骏景花园南苑 南北通透好3房,105平米,5500,骏景花园南苑骏仁轩,3室2厅,
海景花园 精装修三房 家电齐全 看房方便,162平米,8000,海景花园,3室2厅,
车陂天朗明居 交通便利 安静大三房 采光,89平米,4499,富力天朗明居S区,3室2厅,
南粤阁 精装一房 拎包可入住 交通便利,47平米,3500,南粤阁,1室1厅,
华景新城 邮通小区 景观三房,80平米,3600,邮通小区,3室2厅,
华景新城 逸晖居 温馨三房 全新装修家电,80平米,4500,华景新城逸晖居,3室1厅,
铂林国际公寓 1室0厅 3900元,28平米,3900,铂林国际公寓,1室0厅,
星汇云锦 豪装3房 知名豪宅,195平米,20000,星汇云锦,3室2厅,
跑马地花园 精装两房 看房方便,80平米,5000,跑马地花园,2室1厅,
新达城商务公寓 商住俩用 通风采光好,40平米,3000,新达城广场,1室1厅,
骏景花园 实用3房 采光非常好,78平米,4200,骏景花园南苑骏仁轩,3室2厅,
业主诚心放租 豪华三房 拎包入住,145平米,13500,嘉裕君玥公馆,4室2厅,
新庆花园 大三房出租,160平米,8500,新庆花园,5室2厅,
赛拉维 三房两厅 拎包入住,106平米,6000,赛拉维,3室2厅,
朱美拉 全新装修 高楼层 拎包入住,68平米,7300,朱美拉公寓,1室1厅,
隽峰苑 园景两房 简约舒适 拎包入住,73平米,7500,隽峰苑,2室1厅,
马赛国际公寓 交通便利,48平米,3100,马赛国际公寓,1室0厅,
南天广场 稀缺户型 户型方正,77平米,4600,南天广场,2室2厅,
龙怡苑 精装温馨一房 家私齐全,53平米,2500,龙怡苑,1室1厅,
天诚广场 诚意放租 装修保养好 出行便利,138平米,6500,天诚广场,3室2厅,
棠德花园 电梯2房 家私家电齐,70平米,3200,棠德花园C区,2室1厅,
羊城花园 南向看花园 复式三房  户型好,89平米,3600,羊城花园康苑,3室2厅,
南天广场2居室出租 便宜 随时入住,75平米,5500,南天广场,2室2厅,
龙怡苑 家电齐全 精美一房 拎包入住,45平米,2300,龙怡苑,1室1厅,
精装2房，厅出阳台，采光好 家私电齐全,65平米,4000,富力天朗明居S区,2室2厅,
铂林国际 一房一厅 实用复式,38平米,5000,铂林国际公寓,1室1厅,
龙怡苑 实用一房 采光好修改房评,40平米,2400,龙怡苑,1室1厅,
侨翠苑 环境好 户型方正 交通方便,50平米,3000,侨翠苑,2室1厅,
华景新城 泽晖苑 安静两房 温馨舒适,78平米,4200,华景新城泽晖苑,2室2厅,
车陂地铁口附近 逸安阁 商住两用 可注册,86平米,3900,逸安阁,2室2厅,
棠德花园H区 1室1厅 2000元,57平米,2000,棠德花园H区,1室1厅,
保利中达广场 南向主卧阳台,64平米,11000,保利中达,1室1厅,
华苑大厦 封闭小区,36平米,2800,华苑大厦,1室1厅,
天河南六运小区 稀缺南向学位房 实用3房,80平米,6800,六运小区六运二街,3室1厅,
铂林国际 一房一厅 小复式设计,39平米,4300,铂林国际公寓,1室1厅,
华景新城逸晖居 温馨三房 景观楼层,85平米,4300,华景新城逸晖居,2室2厅,
海滨花园 3房放租,105平米,8500,新城海滨花园S区,3室2厅,
华景新城 户型方正 装修保养好,79平米,3700,华景新城晓景楼,3室2厅,
舒适单间 时尚家私配套 拎包即住,41平米,5500,广弘天琪,1室0厅,
2房1厅 全明屋 家电齐全修改房评,58平米,2800,棠德花园G区,2室1厅,
荟雅苑 中信附近双地铁 三房安静,95平米,6500,荟雅苑,3室2厅,
富力院士庭 温馨婚房 家电齐全,80平米,4500,富力院士庭B1区,2室1厅,
嘉尚国际公寓 省级学位 西南靓向,106平米,9000,嘉尚国际公寓,3室2厅,
盈彩美居 格局方正 采光好 南北对流,88平米,4100,盈彩美居菁玥轩,3室2厅,
实用单间 一房一厅,28平米,2200,祥兴大厦,1室0厅,
美林海岸花园 户型方正 刚需一房,45平米,4500,佳润临江上品,1室1厅,
加拿大花园 家私家电齐全 采光通风好修改,53平米,3599,加拿大花园,1室1厅,
地铁上盖 交通方便 住家首选,54平米,5000,星辰财富港,1室1厅,
华景新城 户型方正 装修保养好,69平米,3300,华景新城晓景楼,2室2厅,
文化大院 低层两房 居住舒适,70平米,3800,文化大院,2室1厅,
东方都会广场 家私电器齐全 温馨复式,39平米,3500,东方都会广场,1室1厅,
车陂智景花园 稀缺一房 近地铁 交通方便,43平米,2300,智景花园,1室1厅,
富力天朗明居 温馨两房 安静望花园,66平米,4200,富力天朗明居N区,2室2厅,
碧海湾 稀缺一房 配置靓 望花园 看房有,60平米,5799,碧海湾,1室1厅,
地铁口 天朗明居 精装两房 急租,65平米,4000,富力天朗明居S区,2室2厅,
铂林国际，带学位，配套成熟修改房评,43平米,5300,铂林国际公寓,1室1厅,
车陂天朗明居 交通便利 新装修 家电齐,75平米,4100,富力天朗明居S区,3室1厅,
天河北苑 黄金楼层 正规三房,85平米,3500,天河北苑C栋鸿图阁,3室2厅,
星汇云锦 绝版好房源 装修保养超好,87平米,9500,星汇云锦,1室1厅,
盈彩美居 看花园 靠地铁 新装,95平米,4000,盈彩美居御彩轩,3室2厅,
广海花园 精装两房 拎包入住,60平米,3300,广海花园一期,2室1厅,
文化大院 精装修 三房 家私家电齐全,102平米,5000,文化大院,3室2厅,
骏景花园78方 家电全齐 温馨舒适,136平米,6000,骏景花园南苑骏灏轩,3室2厅,
中海康城一楼带花园三房 地理位置优越,113平米,6500,中海康城风信街,3室2厅,
华景新城 翡翠居 精致三房,76平米,4600,华景新城翡翠居,3室2厅,
祥兴大厦 户型方正 交通方便 学位房,23平米,2500,祥兴大厦,1室1厅,
领汇国际公寓 单间新装修 家电齐全,42平米,2600,领汇国际公寓,1室0厅,
华康小区 安静2房 交通方便,92平米,3700,华康小区华升街,2室2厅,
龙怡苑 BRT旁 小单间 家私家电齐全,30平米,1600,龙怡苑,1室0厅,
环宇花园 家电全齐 即看,35平米,1800,环宇花园文景阁,1室1厅,
耀星华庭 精装大三房 南向 户型方正,122平米,6000,耀星华庭,3室2厅,
天河北苑  独立阳台大单间  家电齐全,31平米,1250,天河北苑C栋鸿图阁,1室1厅,
隽峰苑 地铁上盖 生活配套完善 拎包即住,73平米,7500,隽峰苑,2室2厅,
朝晖苑 黄金地段 温馨二房 拎包入住,86平米,4100,朝晖苑,2室1厅,
中海璟晖华庭 新净两房 靓丽家私 望花园,86平米,7500,中海璟晖华庭二期,2室1厅,
美景花园 即约即看 拎包直接入住,98平米,4200,美景花园怡景阁,3室2厅,
汇峰苑 私密小区 高层采光好,135平米,13000,汇峰,3室2厅,
中怡城市花园 正宗一房一厅 保养好,54平米,5500,中怡城市花园,1室1厅,
聚侨苑 近地铁 厅出阳台 家私家电齐全,86平米,5000,聚侨苑,2室2厅,
中海花城湾 地铁口上盖 稀缺超奢华大五房,285平米,28000,中海花城湾,5室2厅,
格局简洁干净，采光通风好，家电家具齐全,80平米,4500,嘉怡苑,2室2厅,
美好居 办公两房 光线好 位置安静 格局,60平米,3600,美好居,2室1厅,
天誉花园 宽敞舒适三房 华阳学位,113平米,8000,天誉花园,3室2厅,
珠江新城CBD 星汇国际大厦 精装两房,97平米,7300,星汇国际大厦,2室2厅,
利雅湾 方正实用3房 家私齐全 拎包入住,91平米,8000,利雅湾,3室2厅,
协和新世界 实用两房 家电齐全 交通方便,78平米,6499,协和新世界,2室2厅,
尚东美御 户型方正 东望花园 高层望花园,128平米,8500,尚东美御,3室2厅,
陶然庭园  方正两房 难得有货,78平米,4000,华景新城陶然庭园,3室1厅,
富力天禧花园 大三房 采光通风好修,97平米,6500,富力天禧花园,3室2厅,
天誉一期 稀缺户型 地铁上盖 保养好,140平米,10000,天誉花园,3室2厅,
华标广场 交通生活便利 户型方正,165平米,8500,华标广场,4室2厅,
天朗明居 温馨两房 拎包入住,65平米,3800,富力天朗明居S区,2室1厅,
后天河北 燕岭宿舍家私电齐全 单间带阳台,25平米,1500,燕岭大厦宿舍,1室0厅,
【满堂红链家】东御苑高层精装修全齐四房,183平米,8500,骏景花园东苑东御苑,4室2厅,
侨怡苑 近地铁 两房 超笋,62平米,3599,侨怡苑,2室1厅,
天河北 嘉尚国际精装两房 随时约看,54平米,5300,嘉尚国际公寓,2室1厅,
水利电力学院 两房两厅 采光好,54平米,3500,水利电力学院教师宿舍,2室2厅,
诚居花园 实用两房 安静南向 采光通风好,60平米,3000,诚居花园,2室1厅,
珠光新城国际 全新未入住 高层瞰珠江公园,49平米,7000,珠光新城国际中心,1室1厅,
正佳万豪金殿 复式公寓 商住两用,65平米,9750,正佳万豪金殿,1室2厅,
隽封苑 地铁上盖 温馨两房,64平米,6500,隽峰苑,2室1厅,
珠光新城国际复式两房 商住两用,81平米,12000,珠光新城国际中心,2室2厅,
天誉华庭 温馨两房 可拎包入住,75平米,5800,天誉华庭,2室2厅,
翠湖山庄 方正三房 东南向 家私齐全,98平米,5200,翠湖山庄,3室1厅,
