name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
环市中路 两房一厅 低楼层 有家私,55平米,2400,环市中路,2室1厅,
梓元岗 两房 格局方正实用 实用面积大,81平米,3000,梓元岗路,2室2厅,
粤康阁 地铁上盖 实用两房,99平米,5500,粤康阁,2室1厅,
君汇世家 住家首选 豪华靓装家私电器齐全,139平米,13000,君汇世家,3室1厅,
东风广场 住家精装修 家电全齐 拎包入住,97平米,6500,东风广场,3室1厅,
桂花岗小区 实用两房,50平米,1800,解放北路桂花岗,2室1厅,
富力东山新天地 豪华装修 地铁上盖,104平米,7700,富力东山新天地,3室2厅,
三元里大道 粮油宿舍精装两房 家电齐全,76平米,2800,粮油宿舍,2室1厅,
盘福路百灵路口首层实用三房 复式2层使用,27平米,2800,盘福路,3室1厅,
濠畔街 经典户型实用三房 通风采光好,81平米,3500,大德路濠畔街,5室1厅,
富力东山新天地 全新住宅 花园小区,118平米,9000,富力东山新天地,3室2厅,
富力东山新天地 全新豪华装修 从未入住,36平米,4000,富力东山新天地,1室1厅,
富力东山新天地 新装修 地铁上盖,150平米,8500,富力东山新天地,4室1厅,
地铁上盖 全新一手 标准两房,55平米,5000,富力东山新天地,2室1厅,
2房2厅 精装修 保养干净 业主自住,77平米,4000,东兴小区东兴南路,2室2厅,
富力东山新天地 新房首租,78平米,5000,富力东山新天地,2室1厅,
建设新村 高层远景 时尚一房一厅,35平米,2500,建设三马路,1室1厅,
富力新天地 全新装修楼盘 生活便利,118平米,9000,富力东山新天地,4室2厅,
东风广场三房 通风采光好 住家首选,97平米,5800,东风广场,3室2厅,
辉煌大厦 电梯中层 商住两用 有匙即睇,80平米,4200,辉煌大厦,1室1厅,
地铁上盖 全新一手 标准两房,64平米,5500,富力东山新天地,2室1厅,
北京路 府前铭泰 精装一房,40平米,3800,府前铭泰,1室1厅,
小东园 3室1厅 5500元,78平米,5500,小东园,3室1厅,
间隔方正 采光好,97平米,7500,富力东山新天地,3室2厅,
低楼层大单间 新装修,19平米,1200,解放北路桂花岗,1室0厅,
农林华府 新楼盘 新装新 新配套 双地铁,65平米,5500,农林华府,2室2厅,
富力东山新天地 刚收楼 全新小区楼盘,118平米,10000,富力东山新天地,4室2厅,
纸行路 正规实用一房 间隔方正通风采光好,38平米,2000,纸行路同工新街,1室1厅,
富力东山新天地 新房出租,52平米,4500,富力东山新天地,2室1厅,
东风广场 精装两房带阳台 低层舒适,70平米,5200,东风广场,2室1厅,
火车站 三元里 实用方正两房 电梯高层,70平米,3000,梓元岗路梓元南街,2室1厅,
五羊小区H区 两房一厅 环境清静,40平米,2800,五羊小区H区,2室1厅,
家私齐全 提包入住,40平米,3200,嘉诚国际公寓,1室0厅,
富力东山新天地 两房 全新未住 大型小区,50平米,4700,富力东山新天地,2室1厅,
富力东山新天地 全新楼盘,150平米,10000,富力东山新天地,4室1厅,
富力东山新天地 新楼两房 首租,62平米,5500,富力东山新天地,2室1厅,
实用温馨单位 配套完善,65平米,6500,富力东山新天地,2室1厅,
富力东山新天地 两房 全新未住 大型小区,53平米,4800,富力东山新天地,2室2厅,
富力东山新天地 两房 全新未住 大型小区,50平米,4500,富力东山新天地,2室2厅,
富力新天地 全新精装修楼盘 生活便利,75平米,5500,富力东山新天地,2室2厅,
富力新天地 全新精装修楼盘 生活便利,92平米,7500,富力东山新天地,3室2厅,
小东园，小三房出租 大型小区管理,80平米,4800,小东园,3室1厅,
保利中环广场 2室2厅 9300元,97平米,9300,保利中环广场,2室2厅,
中曦大厦 少有东向单位放租 精装修,66平米,4300,中曦大厦,2室1厅,
富力东山新天地 刚收楼 全新小区楼盘,55平米,4000,富力东山新天地,1室1厅,
五羊华轩 精装修保养良好 家私家电齐全,43平米,3600,五羊华轩,1室1厅,
富力东山新天地 刚收楼 全新小区楼盘,150平米,9000,富力东山新天地,4室1厅,
嘉和苑 精选两房 家电齐全,85平米,5000,嘉和苑,2室1厅,
均益大厦 极少放盘,32平米,3000,均益大厦,1室1厅,
国际大厦   新装修两房  商住两用,88平米,5000,广东国际大厦,2室1厅,
花果山社区 温馨两房,78平米,2500,花果山社区,2室1厅,
大南路三房出租齐家电,78平米,3200,北京路仙湖街,3室2厅,
家电齐全 地铁上盖 标准三房,96平米,4600,福莱花园,3室1厅,
富力东山新天地 全新豪华装修 从未入住,81平米,8000,富力东山新天地,3室2厅,
富力东山新天地 近珠江新城 新房出租修改,62平米,5200,富力东山新天地,2室2厅,
富力新天地 全新精装修楼盘 生活便利,107平米,8000,富力东山新天地,3室2厅,
全新精装修楼盘，间隔方正，采光通风一流，,55平米,4800,富力东山新天地,2室1厅,
富力东山新天地 全新装修楼盘 两房一厅,67平米,5500,富力东山新天地,2室1厅,
富力回迁房 温馨两房 近地铁 配置齐全,118平米,10000,富力东山新天地,4室2厅,
拥翠小区 繁华地段 临街商铺,36平米,8000,拥翠小区西九街,1室0厅,
西门口 南向大两房 厅大房大近地铁,80平米,3500,房建大厦,2室1厅,
富力新天地 豪华装修 地铁上盖,76平米,6200,富力东山新天地,3室2厅,
建设新村实用2房生活方便租金低,78平米,3000,建设二马路1号,2室2厅,
粤康阁 地铁上盖 配套齐全 居家生活方便,78平米,4500,粤康阁,2室1厅,
西门口 方正两房 全屋有窗 临近地铁修改,57平米,2500,海珠中路牛头巷,2室1厅,
环市东路 南坑东 两房一厅 南北对流,64平米,2600,环市中路,2室1厅,
实用标准两房 全新未入住 小区管理,63平米,5300,富力东山新天地,2室1厅,
富力东山 全新收楼 四房出租 看房方便,118平米,8500,富力东山新天地,4室2厅,
富力东山新天地 近珠江新城 新房出租,118平米,8000,富力东山新天地,4室2厅,
富力新天地 全新精装修楼盘 生活便利,67平米,5000,富力东山新天地,2室1厅,
富力东山新天地 一手楼盘 全新精装修修改,49平米,4500,富力东山新天地,2室1厅,
地铁上盖 全新一手装修  标准三房,81平米,6500,富力东山新天地,3室2厅,
富力东山新天地 全新三房 家电齐全 急租,118平米,9000,富力东山新天地,3室2厅,
富力东山新天地 全新一手楼盘 家电齐全,63平米,5000,富力东山新天地,2室1厅,
富力东山新天地 刚收楼 全新小区楼盘,63平米,5000,富力东山新天地,2室1厅,
交通便利，保安管理，安全舒适,107平米,4200,东方花苑,2室1厅,
辉煌大厦 电梯中层 商住两用 有匙即睇,90平米,4200,辉煌大厦,1室1厅,
解放中路 低层四楼 一房一厅,47平米,2300,解放中路魁巷,1室1厅,
东湖铭泰 精致一房一厅 少有放租,50平米,3500,东湖铭泰公馆,1室1厅,
东风广场 两房一厅 安静舒适,94平米,6000,东风广场,2室2厅,
越秀南路 中层两房 全明屋,58平米,3000,康丽居,2室1厅,
东华市场 低层一房,40平米,2800,东华市场北街,1室1厅,
东风广场 实用两房,70平米,5500,东风广场,2室1厅,
五羊小区 精装两房 家私齐全 拎包入住,70平米,3500,五羊小区H区,2室1厅,
富力东山新天地 新装四房出租,118平米,11999,富力东山新天地,4室2厅,
富力东山新天地 全新楼宇 精致装修,140平米,9000,富力东山新天地,4室2厅,
水荫路 租赁笋盘 间隔方正 交通便利,50平米,2800,水荫路,2室1厅,
犀牛北街 广工大院 二房一厅 低楼层,68平米,3800,广工大院,2室1厅,
东华东路小区 低层两房 吉屋出租,43平米,2500,东华东路德安新街,2室1厅,
东山口 低层两房 近地铁,60平米,3800,竹丝岗四马路,2室1厅,
富力东山新天地 花园小区 近地铁,92平米,9300,富力东山新天地,3室2厅,
富力东山新天地 精装三房一厅一卫一阳台,86平米,6800,富力东山新天地,3室2厅,
建设三马路 温馨一房一厅,28平米,2500,建设三马路,1室1厅,
司马街 温馨单间 低楼层,35平米,2100,西华路司马街,1室1厅,
富力东山新天地 三房 全新未住 大型小区,104平米,9500,富力东山新天地,3室2厅,
富力新天地 全新二房 全新装修,67平米,5500,富力东山新天地,2室2厅,
富力东山新天地 豪华装修 地铁上盖,118平米,9500,富力东山新天地,4室2厅,
富力新天地 全新装修楼盘 生活.交通便利,63平米,4800,富力东山新天地,2室1厅,
富力东山新天地 花园小区 近地铁,92平米,8000,富力东山新天地,3室2厅,
富力东山新天地 南向三房 花园小区,92平米,8000,富力东山新天地,3室2厅,
实用温馨单位 配套完善,63平米,3500,文德路,2室1厅,
东风广场 格局方正 采光好 拎包入住,97平米,6500,东风广场,3室2厅,
深华大厦 地铁上盖 东南两房 家私电齐,80平米,4800,深华大厦,2室2厅,
海中宝大厦 实用电梯两房,70平米,4300,海中宝大厦,2室1厅,
米市路 单间出租,18平米,1300,米市路,1室0厅,
东源东街 中层一房一厅 部分家电,30平米,2200,东华东路东源东街,1室1厅,
普宁里 实用2房1厅带储物间 通风采光好,55平米,3000,朝天路,2室1厅,
海运小区 户型方正 安静小区,76平米,4800,海运小区,2室1厅,
共和西小区 精装修 家私电器齐 拎包入住,95平米,5000,共和西小区,3室2厅,
水荫路 中高层单位 家私齐全,40平米,2600,水荫路,2室1厅,
大新路 实用二房一厅 家具齐全 近地铁,55平米,2800,大新路,2室1厅,
青菜岗 出门方便，房型好。,68平米,3500,建设六马路青菜岗,3室1厅,
楼梯中层 简单装修 安静舒适,51平米,3000,东兴小区东兴南路,2室1厅,
大德路濠畔街 2室1厅 2500元,83平米,2500,大德路濠畔街,2室1厅,
正佳东方国际 1室0厅 10000元,118平米,10000,正佳东方国际,1室0厅,
富力新天地 高层二房 全新装修,63平米,5000,富力东山新天地,2室1厅,
富力东山新天地 近珠江新城 新房出租,49平米,4999,富力东山新天地,2室1厅,
嘉颐居南向小三房方正实用,96平米,8500,嘉颐居,3室1厅,
富力新天地 全新精装修楼盘 全新家私,85平米,5599,富力东山新天地,2室1厅,
东湖铭泰 单房,26平米,2500,东湖铭泰公馆,1室1厅,
富力新天地 全新装修楼盘 随时入住,81平米,6500,富力东山新天地,3室1厅,
富力东山新天地 地铁上盖 生活配套齐全,104平米,9000,富力东山新天地,3室2厅,
地铁上盖 全新一手 标准大四房,118平米,9000,富力东山新天地,4室2厅,
麓景路 方正两房,46平米,2700,麓景路村前街,2室1厅,
桂花岗东街实用两居室,50平米,2500,解放北路桂花岗,2室1厅,
东园新村 南北对流 实用三房 近地铁,73平米,4500,东园新村,3室1厅,
富力东山新天地 新房出租,71平米,5499,富力东山新天地,2室1厅,
温馨两房 新装修,65平米,5500,富力东山新天地,2室1厅,
嘉诚国际公寓 正规大单间 全新家私,40平米,3200,嘉诚国际公寓,1室1厅,
华顺大厦 电梯一房 独立厨卫 可短租,22平米,2000,华顺大厦,1室0厅,
地铁上盖 格局方正,29平米,2700,五羊小区K区,1室1厅,
保利中环广场 1室0厅 5500元,51平米,5500,保利中环广场,1室0厅,
龙腾里 实用2房 新装修,50平米,3500,德政中路,2室1厅,
新净舒适两房 家私电器齐全,72平米,4000,淘金路淘金坑,2室1厅,
应元路 实用三房 交通便利,75平米,4800,应元路,3室1厅,
海珠中路 东南北三面单边 电梯楼性价比高,84平米,4500,房建大厦,3室1厅,
海印苑 电梯中层三房,103平米,6000,海印苑,3室2厅,
富力东山新天地 近珠江新城 新房出租,63平米,4800,富力东山新天地,2室1厅,
五羊小区 精致两房一厅 格局方正,71平米,4500,五羊小区E区,2室1厅,
银山大厦 方正实用三房 有k即看,72平米,4300,银山大厦,3室1厅,
富力新天地 全新装修楼盘 生活便利,68平米,4500,富力东山新天地,2室2厅,
建设二马路楼梯楼二房一厅出租,47平米,3000,建设二马路东一街,2室1厅,
富力回迁房 温馨两房 近地铁 配置齐全,63平米,5000,富力东山新天地,2室1厅,
富力东山新天地 近珠江新城 新房出租,49平米,4300,富力东山新天地,2室1厅,
城区旺地 核心保值 交通便利,58平米,3300,共和苑共和三巷,2室1厅,
东兴北路 豪华装修大三房 家私电齐,95平米,5000,东兴小区东兴北路,3室1厅,
东风西路 甲级写字楼 可注册,110平米,6000,南油大厦,1室1厅,
惠雅阁 电梯小两房,45平米,3000,惠雅阁,2室1厅,
嘉和苑 大三房 家电齐全,107平米,6000,嘉和苑,3室2厅,
梓元东商圈核心 低层精致实用两房,60平米,3000,解放北路,2室1厅,
富力东山新天地 全新装修收楼物业首次放租,63平米,5500,富力东山新天地,2室1厅,
区庄村 光亮两房 南北对流,60平米,3200,先烈中路区庄村,2室1厅,
富力东山新天地 全新一手楼盘 家电齐全,80平米,5500,富力东山新天地,2室1厅,
富力新天地 全新装修楼盘 生活.方便便利,83平米,7499,富力东山新天地,3室1厅,
实用方正 两房一厅 阳台大 采光好,60平米,2500,梓元岗路梓元东三街,2室1厅,
德安大厦 三房两厅出租,92平米,6500,德安大厦,3室2厅,
三元里大道中 花园酒店宿舍 家电齐全,74平米,1800,花园酒店宿舍,2室2厅,
地铁上盖 全新一手 标准两房 家电齐全,46平米,4300,富力东山新天地,2室1厅,
地铁上盖 全新一手 标准三房,104平米,7000,富力东山新天地,3室2厅,
富力东山新天地 近珠江新城 新房出租,46平米,4500,富力东山新天地,2室1厅,
家电齐全 地铁上盖 电梯两房,68平米,4500,冠城大厦,2室2厅,
大新路 白米巷 精装一房一厅,42平米,2800,大新路白米巷,1室1厅,
富力东山新天地 新房出租,52平米,4500,富力东山新天地,2室1厅,
五羊商住中心 2室2厅 3800元,83平米,3800,五羊商住中心,2室2厅,
富力东山新天地 近珠江新城 新房出租,63平米,5500,富力东山新天地,2室1厅,
东风广场 住家两房 家电全齐 看房都方便,70平米,5500,东风广场,2室1厅,
五羊小区 地铁上盖 出行便利 标准两房,60平米,4500,五羊小区A区,2室2厅,
小区三房 方正实用 通风采光好,60平米,4000,宜安小区,3室1厅,
璟泰大厦 精装一房一厅 中高楼层,71平米,4499,璟泰大厦,1室1厅,
五羊商住中心 配套完善环境舒适 交通方便,20平米,2450,五羊商住中心,1室0厅,
水荫直街舒适三房笋价出租,85平米,5800,水荫路水荫直街,3室2厅,
五羊华轩 一房一厅 家私电器齐全,55平米,4000,五羊华轩,1室1厅,
实用一房，采光通风好，间隔方正实用,35平米,2600,先烈南路青菜东街,1室1厅,
第一津街 舒适两房 家私家电齐全,48平米,2700,西华路第一津街,2室1厅,
东风广场 两房一厅,71平米,5500,东风广场,2室1厅,
高层两房出租,71平米,4500,利福大厦,2室1厅,
庙前西街 中层三房 配套齐全 交通便利,80平米,4300,署前路庙前西街,3室2厅,
西门口海珠中房建大厦 精装大两房 双阳台,98平米,5000,房建大厦,2室2厅,
低层实用二房出租 生活方便,36平米,3000,寺贝楼,2室1厅,
淘金坑小区 低层楼梯两房 出行方便,55平米,3200,淘金路淘金坑,2室1厅,
电梯楼 家私家电齐全,93平米,4000,省社会科学培训中心宿舍,3室2厅,
金麓山庄家私全齐 少有放租,52平米,3000,金麓山庄,2室1厅,
幸福小区 安静小区 采光通风好 出行方便,70平米,3900,幸福小区寺右一巷,2室1厅,
精装修两房  通风采光一流,58平米,3000,共和苑共和大街,2室1厅,
时代you公寓 商住两用,47平米,4800,时代YOU公寓,1室0厅,
富力东山新天地 豪华装修 地铁上盖,92平米,8000,富力东山新天地,3室2厅,
翰林阁精装两房 家电齐 可提行李入住,86平米,5000,翰林阁,2室1厅,
均益大厦 原两房改一房 电梯房,60平米,3500,均益大厦,1室1厅,
高层实用两房 近地铁,52平米,3500,东园新村,2室1厅,
富力东山新天地 全新精装修，采光通风良好,49平米,4000,富力东山新天地,2室1厅,
东风广场  配套完善  住家首选,70平米,5000,东风广场,2室1厅,
东山雅筑 南向望花 独立阳台,73平米,7500,东山雅筑,2室2厅,
青菜岗 温馨大单间 中层单位,25平米,1800,建设六马路青菜岗,1室0厅,
东风广场 两房一厅 带阳台 家私电器齐全,70平米,5800,东风广场,2室1厅,
仓边路 东南向采光好两房待租,44平米,3000,中山四路旧仓巷,2室1厅,
水荫路 超靓装修两房 安静 热租,75平米,4000,水荫路水荫直街,2室2厅,
越富广场 正规两房 采光充足 生活便利,82平米,4000,越富广场,2室2厅,
地铁上盖 全新一手 标准两房,75平米,5500,富力东山新天地,2室1厅,
富力新天地 全新精装修楼盘 生活便利,63平米,6000,富力东山新天地,2室1厅,
富力东山新天地 全新两房 花园小区,49平米,4500,富力东山新天地,2室1厅,
富力东山新天地 全新一手 地铁上盖,49平米,4500,富力东山新天地,2室1厅,
富力新天地 全新精装修楼盘 生活便利,92平米,7000,富力东山新天地,3室2厅,
豪装 南向望江望湖1房,45平米,4000,东湖铭泰公馆,1室1厅,
装修新 电梯舒适四房,100平米,6500,华顺大厦,4室1厅,
富力东山新天地 新装修两房出租,55平米,5000,富力东山新天地,2室1厅,
实用温馨单位 配套完善,49平米,4000,富力东山新天地,2室2厅,
地铁覆盖 精致两房,53平米,5000,富力东山新天地,2室1厅,
东风西路 大院管理 正规一房,42平米,2199,商业新村,1室1厅,
金山阁 三房 小区管理 铁一中旁边修改,95平米,6000,金山阁,3室2厅,
富力东山新天地 近珠江新城 新房出租,63平米,4500,富力东山新天地,2室1厅,
富力东山新天地 近珠江新城 新房出租,81平米,6000,富力东山新天地,3室2厅,
富力新天地 全新精装修楼盘 生活便利,71平米,5000,富力东山新天地,2室2厅,
富力东山新天地 近珠江新城 新房出租,63平米,5500,富力东山新天地,2室1厅,
临近地铁 实用两房 采光一流修改房评,76平米,4000,金迪大厦,2室1厅,
高层楼房 安静舒适 地铁沿线,97平米,6500,东风广场,3室1厅,
富力东山新天地 全新两房 花园小区,81平米,6000,富力东山新天地,3室1厅,
采光极好 交通便利 标准2室 无遮挡,75平米,2499,下塘西路,2室1厅,
富力东山新天地 全新装修收楼物业,62平米,4800,富力东山新天地,2室1厅,
淘金家园两房 家私电器齐全,84平米,5000,淘金家园,2室2厅,
家电齐全 地铁上盖 全新一手,65平米,4600,富力东山新天地,2室2厅,
间隔方正，通风采光好，周边生活配套完善。,44平米,3800,广州民间金融大厦,1室1厅,
富力回迁房 温馨两房 近地铁 配置齐全,67平米,5999,富力东山新天地,2室1厅,
富力回迁房 温馨两房 近地铁 配置齐全,63平米,5499,富力东山新天地,2室1厅,
家电齐全 地铁上盖 全新一手,65平米,5000,富力东山新天地,2室1厅,
西门口朝天路 实用温馨单位 配套完善,48平米,2600,朝天路,2室1厅,
梓元岗路梓元东三街 1室1厅 1500元,34平米,1500,梓元岗路梓元东三街,1室1厅,
第一津街 舒适三房 住家首选,70平米,2500,西华路第一津街,3室1厅,
富力东山新天地 两房 全新未住,62平米,4500,富力东山新天地,2室1厅,
富力东山新天地 近珠江新城 新房出租,52平米,4500,富力东山新天地,2室1厅,
富力东山新天地回迁房 精装两房,63平米,3999,富力东山新天地,2室1厅,
富力东山新天地 全新未住 温馨二房,46平米,4600,富力东山新天地,2室1厅,
农林下路 新裕大厦 公寓精装出租,37平米,3800,新裕大厦,1室1厅,
富力东山新天地 全新楼盘首次放租,80平米,5000,富力东山新天地,2室1厅,
富力东山新天地 近珠江新城 新房出租,81平米,6500,富力东山新天地,3室2厅,
富力东山新天地  2房1厅  北向,55平米,4500,富力东山新天地,2室1厅,
惠福西路 方正实用两房 交通方便,59平米,3200,惠福西路,2室1厅,
富力电梯两房 家私家电齐全 交通便利,63平米,5500,富力东山新天地,2室1厅,
富力东山新天地 全新装修楼盘 家电配齐,81平米,6000,富力东山新天地,3室1厅,
东兴小区 地铁上盖 超大两房 园林小区,80平米,3800,东兴小区东兴三街,2室2厅,
一房一厅三楼 实用率高 低层三楼,30平米,1700,惠福西路,1室0厅,
山河后街。两房出租,57平米,4000,培正一横路山河后街,2室1厅,
富力东山新天地 刚收楼 全新小区,53平米,4500,富力东山新天地,2室1厅,
富力东山新天地 全新两房 首次出租,65平米,6000,富力东山新天地,2室2厅,
家电齐全 地铁上盖 全新一手,92平米,7000,富力东山新天地,3室1厅,
实用温馨三房 全新装修 地铁沿线,76平米,5500,富力东山新天地,3室1厅,
家电齐全 地铁上盖 全新一手,63平米,5000,富力东山新天地,2室2厅,
富力东山新天地 近珠江新城 新房出租,49平米,4500,富力东山新天地,2室2厅,
富力新天地 全新楼盘 三房靓租,95平米,6000,富力东山新天地,3室2厅,
富力新天地 全新精装修楼盘 生活便利,150平米,11000,富力东山新天地,4室2厅,
富力东山新天地 新楼首租,76平米,6000,富力东山新天地,3室1厅,
富力新天地 全新装修楼盘 生活便利,63平米,5000,富力东山新天地,2室1厅,
地铁上盖 全新一手 标准单房,32平米,3600,富力东山新天地,1室1厅,
富力东山新天地 全新装修未入住过,81平米,7499,富力东山新天地,3室1厅,
省委党校大院 电梯低层 望花园 环境优美,112平米,6500,省委党校大院,3室2厅,
富力东山新天地 全新装修楼盘 家电配齐,81平米,7000,富力东山新天地,3室1厅,
富力东山新天地 三房全新一手楼盘,77平米,6500,富力东山新天地,3室2厅,
新房出租 2房一厅 环境优美,80平米,5500,富力东山新天地,2室1厅,
家电齐全 地铁上盖 全新一手,52平米,4500,富力东山新天地,2室1厅,
小东园  地铁上盖  南北对流,57平米,3500,小东园,2室1厅,
豪华装修 家电齐全 地铁上盖,63平米,5000,富力东山新天地,2室2厅,
富力新天地 全新装修楼盘 生活便利,101平米,5500,富力东山新天地,3室1厅,
辉煌大厦 电梯中层 商住两用 有匙即睇,80平米,4200,辉煌大厦,1室1厅,
满堂红链家 时代you公寓 商住两用,61平米,4000,时代YOU公寓,1室1厅,
建设四马路 低层 大单间 家电齐全,32平米,1900,建设四马路,1室0厅,
水荫稀缺一房一厅 家私家电齐全 安静舒适,41平米,3000,水荫路水荫西约,1室1厅,
东兴南路 三房 豪华装修 电梯楼出租,92平米,5500,东兴小区东兴南路,3室2厅,
富力新天地 全新精装修楼盘 生活便利,86平米,6500,富力东山新天地,3室2厅,
富力东山新天地 刚收楼 全新小区楼盘修改,81平米,6500,富力东山新天地,3室2厅,
实用温馨2房 全新装修 地铁沿线,49平米,4800,富力东山新天地,2室1厅,
富力东山新天地 豪华装修 地铁上盖,59平米,4500,富力东山新天地,2室1厅,
富力东山新天地 新装修两房出租,49平米,4000,富力东山新天地,2室1厅,
富力东山新天地，一房一厅，适合上班贵族,36平米,4000,富力东山新天地,1室1厅,
