name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
金宇花园 南北对流 格局方正 低楼层,单价15493元/平米,110,| 2室1厅 | 71平米 | 南 | 简装,低楼层(共9层)  1996年建塔楼  -,
四季花园 三房两厅 精装修保养好 过五,单价24779元/平米,280,| 3室2厅 | 113平米 | 东南 | 精装,中楼层(共18层)  2005年建塔楼  -,
芳雅苑 小区安静 楼梯中层南向望中心花园,单价17000元/平米,102,| 2室1厅 | 60平米 | 南 | 简装,中楼层(共9层)  1992年建塔楼  -,
珠岛花园 二房二厅 双阳台 通风对流,单价16667元/平米,110,| 2室2厅 | 66平米 | 东 | 简装,中楼层(共9层)  1995年建塔楼  -,
恒荔湾畔 地铁1号线 省一级学位,单价29205元/平米,220,| 2室1厅 | 75.33平米 | 东北 | 精装,低楼层(共34层)  2008年建塔楼  -,
新世界逸彩庭园 地铁上盖 园林景观,单价25630元/平米,280,| 3室2厅 | 109.25平米 | 北 | 精装,低楼层(共20层)  2007年建塔楼  -,
证过五年 西南望花园,单价24895元/平米,195,| 2室1厅 | 78.33平米 | 西南 | 简装,低楼层(共19层)  2007年建塔楼  -,
金道花园 超大三房两厅 地铁沿线,单价16827元/平米,175,| 3室2厅 | 104平米 | 西南 | 毛坯,高楼层(共22层)  2000年建塔楼  -,
龙锦大厦 高端住宅区 陈家祠地铁上盖,单价29517元/平米,233,| 2室2厅 | 78.94平米 | 西 | 简装,高楼层(共31层)  2008年建塔楼  -,
乐怡居 地铁沿线 中层电梯 成熟配套修改,单价21250元/平米,170,| 2室2厅 | 80平米 | 西 | 精装,低楼层(共31层)  1996年建塔楼  -,
实用二层复式五房，东南靓向！,单价27907元/平米,240,| 5室2厅 | 86平米 | 南 | 简装,高楼层(共24层)  2007年建塔楼  -,
乐怡居  电梯两房  地铁上盖,单价19880元/平米,165,| 2室1厅 | 83平米 | 南 | 简装,高楼层(共33层)  1996年建塔楼  -,
珠岛花园 两房两厅 南向望江 双地铁,单价18586元/平米,118,| 2室2厅 | 63.49平米 | 南 | 精装,低楼层(共9层)  1995年建塔楼  -,
周门小区 一楼两房少有放盘,单价24000元/平米,132,| 2室1厅 | 55平米 | 北 | 简装,低楼层(共9层)  1998年建塔楼  -,
合兴苑 中层单位 重点学校 园景望花园,单价13247元/平米,98,| 2室1厅 | 73.98平米 | 南 | 简装,高楼层(共9层)  1997年建塔楼  -,
四季花园 东南向 过五年 高档住宅,单价26777元/平米,300,| 3室2厅 | 112.04平米 | 东南 | 简装,低楼层(共18层)  2006年建塔楼  -,
电梯4房2阳台 单边位东北向,单价25432元/平米,295,| 4室2厅 | 116平米 | 东北 | 精装,高楼层(共9层)  2000年建塔楼  -,
珠岛花园 精装三房两厅 南向望江复式,单价18296元/平米,173,| 3室2厅 | 94.56平米 | 南 | 其他,高楼层(共9层)  1995年建塔楼  -,
乐怡居 地铁上盖 电梯两房 精装修,单价21928元/平米,182,| 2室1厅 | 83平米 | 南 | 简装,中楼层(共33层)  1996年建塔楼  -,
怡芳苑 地铁沿线 入读名校 电梯单位,单价21637元/平米,238,| 3室1厅 | 110平米 | 南 | 简装,高楼层(共9层)  1998年建塔楼  -,
实用舒适单位 配套完善,单价30798元/平米,425,| 3室1厅 | 138平米 | 西北 | 其他,高楼层(共31层)  2003年建塔楼  -,
新光城市广场 豪华装修 大气三房,单价28077元/平米,365,| 3室2厅 | 130平米 | 西北 | 精装,高楼层(共31层)  2003年建塔楼  -,
红棉苑北区 配套成熟 精装三房 学位房,单价20000元/平米,204,| 3室2厅 | 102平米 | 南 | 精装,高楼层(共9层)  2000年建塔楼  -,
润盛花园 复式四房 带空中花园,单价18346元/平米,255,| 4室2厅 | 139平米 | 南 | 精装,高楼层(共6层)  1999年建塔楼  -,
沙涌地铁 新装修两房 新婚首选,单价18750元/平米,75,| 2室1厅 | 40平米 | 西 | 精装,高楼层(共7层)  1995年建塔楼  -,
红棉苑北 中层北向单位 成熟小区配套完美,单价19009元/平米,230,| 4室2厅 | 121平米 | 北 | 精装,中楼层(共9层)  2000年建塔楼  -,
鸿图苑 低层两房 地铁沿线 新婚首选单位,单价15681元/平米,106,| 2室1厅 | 67.6平米 | 南 | 简装,中楼层(共9层)  1995年建塔楼  -,
四季花园 靓楼层 望花园泳池 三房主套,单价26549元/平米,300,| 3室1厅 | 113平米 | 东南 | 精装,低楼层(共18层)  2006年建塔楼  -,
花地大道中 金道花园 双地铁,单价16596元/平米,78,| 1室1厅 | 47平米 | 南 | 简装,中楼层(共9层)  2000年建塔楼  -,
广船鹤园小区 稀缺低层两房 南北对流,单价18334元/平米,110,| 2室1厅 | 60平米 | 北 | 简装,中楼层(共9层)  1999年建塔楼  -,
红棉苑 近地铁 西南向园景单位 证够五年,单价19149元/平米,180,| 3室2厅 | 94平米 | 南 | 简装,中楼层(共9层)  2000年建塔楼  -,
珠岛花园 近邻地铁 精致靓向 方正四房,单价20662元/平米,225,| 4室2厅 | 108.9平米 | 南 | 精装,中楼层(共23层)  1999年建塔楼  -,
花地城广场 地铁上盖 满五年 唯一物业,单价25910元/平米,250,| 2室2厅 | 96.49平米 | 东南 | 精装,中楼层(共17层)  2002年建塔楼  -,
红棉苑 地铁上盖 南向望花园,单价15603元/平米,118,| 3室1厅 | 75.63平米 | 南 | 简装,高楼层(共9层)  2000年建塔楼  -,
翠竹苑 电梯南向望泳池 带省级学位,单价22223元/平米,160,| 2室1厅 | 72平米 | 南 | 简装,中楼层(共24层)  2007年建塔楼  -,
丰隆轩 全南向 双阳台 方正实用2房,单价30986元/平米,220,| 2室1厅 | 71平米 | 南 | 简装,中楼层(共18层)  2002年建塔楼  -,
电梯两房 过五年非唯一  地铁上盖,单价19513元/平米,160,| 2室1厅 | 82平米 | 南 | 简装,中楼层(共31层)  1996年建塔楼  -,
教师新村 中层两房 封闭社区 间隔方正,单价15129元/平米,118,| 2室2厅 | 78平米 | 东 | 其他,中楼层(共9层)  1998年建塔楼  -,
金道花园 电梯三房 豪华装修,单价19608元/平米,200,| 3室2厅 | 102平米 | 东南 | 精装,低楼层(共22层)  2000年建塔楼  -,
逸彩庭园 精装三房105方 环境安静,单价24258元/平米,245,| 3室2厅 | 101平米 | 北 | 其他,低楼层(共19层)  2007年建塔楼  -,
茶滘路 文苑楼 装修间隔方正 证够5年,单价15653元/平米,72,| 2室1厅 | 46平米 | 东南 | 简装,高楼层(共9层)  1995年建塔楼  -,
红棉苑北区 电梯三房两厅 东南向望花园,单价24794元/平米,300,| 3室2厅 | 121平米 | 东南 | 简装,高楼层(共11层)  2000年建塔楼  -,
逸翠湾中高层精装方正三房户型视野开阔通风,单价35972元/平米,500,| 3室2厅 | 139平米 | 西南 | 精装,中楼层(共27层)  2009年建塔楼  -,
芳村花园 地铁上盖 交通方便 带学位,单价20834元/平米,200,| 2室1厅 | 96平米 | 东 | 精装,低楼层(共28层)  1999年建塔楼  -,
电梯两房 过五年唯一 地铁上盖 实用两,单价21250元/平米,170,| 2室1厅 | 80平米 | 西南 | 精装,高楼层(共31层)  1996年建塔楼  -,
逸彩新世界 地铁上盖 小区管理,单价25642元/平米,200,| 3室1厅 | 78平米 | 东北 | 精装,中楼层(共7层)  2007年建塔楼  -,
沙涌新村 近邻地铁 精装2房免装修,单价16280元/平米,70,| 1室1厅 | 43平米 | 西南 | 简装,高楼层(共7层)  1995年建塔楼  -,
花地河湾 复式5房 通风采光一流,单价26507元/平米,220,| 5室2厅 | 83平米 | 西北 | 精装,高楼层(共22层)  2009年建塔楼  -,
珠岛花园 实用四室 西南靓向 通风对流,单价20000元/平米,220,| 4室2厅 | 110平米 | 西南 | 其他,中楼层(共23层)  1999年建塔楼  -,
江景实用一房，低价出售,单价14584元/平米,70,| 2室1厅 | 48平米 | 东北 | 简装,高楼层(共9层)  塔楼  -,
恒荔湾畔 开发商装修 带省一级学位,单价30000元/平米,225,| 2室2厅 | 75平米 | 西南 | 精装,低楼层(共31层)  2008年建塔楼  -,
金宇花园二期 低楼层 正规一房一厅 超值,单价16667元/平米,60,| 1室1厅 | 36平米 | 南 | 简装,中楼层(共9层)  1996年建塔楼  -,
合兴苑中层三室 成熟配套 交通便利,单价11875元/平米,95,| 3室1厅 | 80平米 | 东南 | 简装,高楼层(共9层)  1997年建塔楼  -,
新世界逸彩庭园 三房望花园 通风采光好,单价26563元/平米,255,| 3室2厅 | 96平米 | 西南 | 精装,高楼层(共25层)  2007年建塔楼  -,
恒利翠竹苑 电梯中层三室 地铁沿线,单价24762元/平米,260,| 3室2厅 | 105平米 | 西 | 简装,中楼层(共33层)  2007年建塔楼  -,
芳园居宁静小区楼梯3房南北向望花园,单价15278元/平米,110,| 3室1厅 | 72平米 | 南 | 精装,中楼层(共9层)  1998年建塔楼  -,
蓬莱花园 安静小区 方正实用,单价15136元/平米,168,| 4室2厅 | 111平米 | 南 | 精装,高楼层(共9层)  2001年建塔楼  -,
东南靓向 地铁上盖 高档小区 采光通风好,单价35484元/平米,330,| 3室2厅 | 93平米 | 东南 | 简装,低楼层(共31层)  2008年建塔楼  -,
金兰苑 中层小三房 光线充足 新婚首选,单价14532元/平米,93,| 3室1厅 | 64平米 | 南 | 简装,中楼层(共9层)  2001年建塔楼  -,
金宇花园 高层刚需2室 双阳台,单价12068元/平米,52,| 2室1厅 | 43.09平米 | 南 | 简装,高楼层(共9层)  1998年建塔楼  -,
珠岛花园 跃式四房 高档大方 保养新静,单价18847元/平米,245,| 4室2厅 | 130平米 | 北 | 精装,低楼层(共23层)  1999年建塔楼  -,
厚福苑 低层两房 投资自住两相宜,单价23959元/平米,115,| 2室1厅 | 48平米 | 南 | 其他,低楼层(共9层)  1998年建塔楼  -,
教师新村 楼龄新净 实用两室 成熟配套,单价13195元/平米,95,| 2室1厅 | 72平米 | 北 | 简装,高楼层(共9层)  1998年建塔楼  -,
金道花园 广钢新城旁 珍贵难求的好房,单价18667元/平米,140,| 2室1厅 | 75平米 | 西北 | 精装,高楼层(共22层)  2000年建塔楼  -,
西门口广场 少有两房看泳池,单价39394元/平米,260,| 2室1厅 | 66平米 | 南 | 简装,高楼层(共25层)  2005年建塔楼  -,
逸彩庭园 精装直厅三房 东南靓向,单价26064元/平米,245,| 4室1厅 | 94平米 | 东南 | 简装,高楼层(共23层)  2007年建塔楼  -,
盛大蓝庭 一号线4房 采光通风良好,单价18230元/平米,350,| 4室2厅 | 192平米 | 东南 | 毛坯,高楼层(共18层)  2003年建塔楼  -,
翠竹苑 小有复式带天台放卖,单价20099元/平米,410,| 4室1厅 | 204平米 | 南 | 精装,高楼层(共24层)  2007年建塔楼  -,
方正小户型 采光充足 带阳台,单价13104元/平米,38,| 1室0厅 | 29平米 | 西北 | 简装,高楼层(共9层)  1998年建塔楼  -,
珠岛花园 实用单间 可放户口 免营业税,单价18000元/平米,45,| 1室0厅 | 25平米 | 东 | 简装,中楼层(共9层)  1995年建塔楼  -,
平西小区 交通便利 精致小2房 可即看,单价15000元/平米,60,| 2室1厅 | 40平米 | 北 | 简装,中楼层(共5层)  1997年建塔楼  -,
世纪广场 中层电梯豪装两房 证过两年,单价31539元/平米,270,| 2室2厅 | 85.61平米 | 东 | 精装,中楼层(共33层)  1999年建塔楼  -,
金道花园 新装1房 地铁沿线 低总价,单价17500元/平米,70,| 1室1厅 | 40平米 | 暂无数据 | 简装,高楼层(共9层)  2000年建塔楼  -,
盛大蓝庭 地铁上盖 三房改两带主套送车位,单价28211元/平米,268,| 2室2厅 | 95平米 | 东南 | 精装,低楼层(共16层)  2003年建塔楼  -,
岭南湾畔 两房两厅 高层单位,单价32942元/平米,280,| 2室2厅 | 85平米 | 南 | 其他,高楼层(共32层)  2010年建塔楼  -,
金道花园 超值单位 低层一房 稀有放售,单价18125元/平米,87,| 1室1厅 | 48平米 | 南 | 简装,低楼层(共9层)  2000年建塔楼  -,
龙津大厦 电梯楼 大两房,单价29750元/平米,238,| 2室1厅 | 80平米 | 西北 | 其他,高楼层(共32层)  1997年建塔楼  -,
金宇花园 实用户型 可改两房,单价14824元/平米,67,| 1室1厅 | 45.2平米 | 东南 | 简装,高楼层(共9层)  1998年建塔楼  -,
龙津商贸大厦  入读西关实验小学,单价27679元/平米,155,| 1室1厅 | 56平米 | 北 | 简装,中楼层(共25层)  2000年建塔楼  -,
[满堂红链家]华福大厦 地铁沿线房源,单价25281元/平米,225,| 3室2厅 | 89平米 | 西南 | 简装,高楼层(共28层)  2002年建塔楼  -,
金道花园 地铁沿线 实用两房,单价17227元/平米,120,| 2室1厅 | 69.66平米 | 西北 | 简装,中楼层(共9层)  2000年建塔楼  -,
鹤平小区 广佛线鹤洞地铁上盖 交通方便,单价19028元/平米,90,| 2室1厅 | 47.3平米 | 南 | 其他,低楼层(共7层)  1997年建塔楼  -,
金道花园 地铁旁 电梯三房 精装,单价16154元/平米,168,| 3室2厅 | 104平米 | 西南 | 简装,低楼层(共22层)  2000年建塔楼  -,
逸翠湾四房单位 南北对流 适合置换型买家,单价38462元/平米,800,| 4室2厅 | 208平米 | 南 | 精装,中楼层(共49层)  2009年建塔楼  -,
金道花园 楼梯中层两房 紧邻地铁 配套齐,单价14913元/平米,85,| 2室1厅 | 57平米 | 北 | 其他,中楼层(共9层)  2000年建塔楼  -,
红棉苑 三房双阳台 地铁沿线 省级学位,单价17273元/平米,190,| 3室2厅 | 110平米 | 南 | 精装,高楼层(共9层)  2000年建塔楼  -,
合兴苑 间隔方正 交通方便 地铁上盖,单价15518元/平米,135,| 2室2厅 | 87平米 | 东 | 简装,中楼层(共8层)  1997年建塔楼  -,
钢管厂宿舍 框架一房 地铁10号线就快上,单价12245元/平米,60,| 1室1厅 | 49平米 | 南 | 简装,高楼层(共9层)  1992年建塔楼  -,
间隔四正 厅大房大 拎包即住 装修新净,单价18957元/平米,105,| 2室1厅 | 55.39平米 | 南 | 精装,高楼层(共10层)  塔楼  -,
龙津大厦 4室1厅 800万,单价28170元/平米,800,| 4室1厅 | 284平米 | 南 | 简装,低楼层(共32层)  1997年建塔楼  -,
珠岛花园 南北对流 方正三房 有匙即看,单价20926元/平米,198,| 3室2厅 | 94.62平米 | 北 | 简装,中楼层(共17层)  1995年建塔楼  -,
合兴苑 东向两房两厅 光线一流 学位房,单价16130元/平米,100,| 2室2厅 | 62平米 | 东 | 简装,高楼层(共8层)  1997年建塔楼  -,
金花苑 少有正规一房放盘 买少见少,单价31396元/平米,135,| 1室1厅 | 43平米 | 北 | 简装,中楼层(共25层)  1999年建塔楼  -,
桥东大厦 电梯房 高层住宅 间隔方正,单价10000元/平米,60,| 2室1厅 | 60平米 | 西 | 其他,高楼层(共23层)  1996年建塔楼  -,
蓬莱东约低层两房 地铁沿线 实用高,单价20732元/平米,85,| 2室1厅 | 41平米 | 南 | 其他,低楼层(共8层)  塔楼  -,
金宇花园 刚需一室 投资首选,单价13104元/平米,38,| 1室1厅 | 29平米 | 西 | 毛坯,高楼层(共9层)  1998年建塔楼  -,
金宇花园  低楼层 小区管理  交通方便,单价15030元/平米,127,| 3室2厅 | 84.5平米 | 北 | 简装,低楼层(共9层)  1998年建塔楼  -,
金宇花园 二期教师房改 实用2房单位,单价13572元/平米,95,| 2室1厅 | 70平米 | 南 | 简装,高楼层(共9层)  1998年建塔楼  -,
怡芳苑 底层四房 南北通透 采光好,单价20523元/平米,275,| 4室2厅 | 134平米 | 南 | 毛坯,低楼层(共9层)  1995年建塔楼  -,
地铁沿线 中层南向 交通便利,单价15000元/平米,75,| 2室1厅 | 50平米 | 南 | 简装,中楼层(共8层)  塔楼  -,
红棉苑北区 配套成熟 低层2房 学位房,单价21574元/平米,192,| 2室2厅 | 89平米 | 西南 | 简装,低楼层(共9层)  2000年建塔楼  -,
恒荔湾畔 临近地铁一号线 省级名校,单价31507元/平米,230,| 2室1厅 | 73平米 | 西北 | 其他,中楼层(共31层)  2008年建塔楼  -,
沙涌新村 低层两房 配套成熟  采光一流,单价15908元/平米,102,| 2室1厅 | 64.12平米 | 南 | 简装,中楼层(共7层)  1995年建塔楼  -,
芳雅苑 方正两房 小区安静舒适 自住首选,单价17143元/平米,120,| 2室1厅 | 70平米 | 南 | 简装,中楼层(共9层)  1992年建塔楼  -,
龙津大厦 正规一房一厅,单价26924元/平米,105,| 1室1厅 | 39平米 | 西 | 简装,低楼层(共32层)  1997年建塔楼  -,
标准二房二厅，格局分配合理，实用率高,单价17106元/平米,130,| 2室2厅 | 76平米 | 东 | 简装,中楼层(共25层)  1998年建塔楼  -,
怡芳苑 雍怡雅轩 地铁沿线,单价22901元/平米,180,| 2室1厅 | 78.6平米 | 东北 | 简装,中楼层(共11层)  1998年建塔楼  -,
合兴苑 中层单位 重点学校 园景望花园,单价16924元/平米,110,| 2室1厅 | 65平米 | 北 | 简装,中楼层(共8层)  1997年建塔楼  -,
小户型 新婚首购投资 小高层 更好运动,单价15758元/平米,52,| 1室1厅 | 33平米 | 北 | 简装,高楼层(共9层)  塔楼  -,
金宇花园 性价比高 户型好 新婚首选,单价14000元/平米,98,| 2室2厅 | 70平米 | 南 | 简装,高楼层(共9层)  1996年建塔楼  -,
乐怡居 花地湾地铁站旁边 精装电梯两,单价19327元/平米,148,| 2室1厅 | 76.58平米 | 东北 | 精装,高楼层(共31层)  1996年建塔楼  -,
水磨厂宿舍 一房一厅 采光好,单价12196元/平米,50,| 1室1厅 | 41平米 | 南 | 其他,高楼层(共6层)  1985年建塔楼  -,
添祥街 中层三房单位 南向望花园,单价12471元/平米,106,| 3室2厅 | 85平米 | 南 | 简装,高楼层(共9层)  1995年建塔楼  -,
红棉苑南区 原装一房可改两房 西向双阳台,单价20000元/平米,120,| 1室1厅 | 60平米 | 西 | 简装,低楼层(共9层)  2000年建塔楼  -,
金道花园 实用三房 证过五年,单价17308元/平米,180,| 3室2厅 | 104平米 | 东 | 简装,低楼层(共22层)  2000年建塔楼  -,
新光城市广场  精装电梯实用1房,单价29406元/平米,143,| 1室1厅 | 48.63平米 | 南 | 其他,中楼层(共25层)  2000年建塔楼  -,
四季花园 东南向 过五年 高档住宅,单价26107元/平米,295,| 3室2厅 | 113平米 | 东南 | 精装,高楼层(共18层)  2006年建塔楼  -,
珠岛花园 复式楼 四房二厅 东南向 望江,单价22223元/平米,300,| 4室2厅 | 135平米 | 东南 | 其他,中楼层(共17层)  1995年建塔楼  -,
荔湾广场 近地铁 近上下九 华林国际商圈,单价20000元/平米,190,| 3室2厅 | 95平米 | 东 | 简装,高楼层(共30层)  2000年建塔楼  -,
名汇商业大厦实用电梯两房 近华林寺商圈修,单价27942元/平米,190,| 2室1厅 | 68平米 | 北 | 其他,高楼层(共32层)  2002年建塔楼  -,
红棉苑南区 配套成熟 中层2房 学位房,单价20512元/平米,150,| 2室1厅 | 73.13平米 | 南 | 简装,中楼层(共9层)  2000年建塔楼  -,
周门小区周门西街小面积一房 户型方正,单价18182元/平米,80,| 1室1厅 | 44平米 | 南 | 简装,高楼层(共9层)  1998年建塔楼  -,
广船鹤园小区 楼梯两房 住家装修,单价11359元/平米,55,| 1室1厅 | 48.42平米 | 南 | 简装,高楼层(共6层)  1999年建塔楼  -,
公安小区 2房朝南 双阳台 证过5年,单价15218元/平米,105,| 2室2厅 | 69平米 | 南 | 精装,高楼层(共9层)  1999年建塔楼  -,
金道花园 该推荐物业是电梯楼望花园单位,单价17308元/平米,180,| 3室2厅 | 104平米 | 东 | 毛坯,低楼层(共22层)  2000年建塔楼  -,
逸彩庭园 地铁上盖 封闭小区 实用2房,单价23107元/平米,238,| 3室2厅 | 103平米 | 东 | 简装,中楼层(共18层)  2007年建塔楼  -,
珠岛花园 实用两室 户型方正实用,单价22059元/平米,150,| 2室2厅 | 68平米 | 北 | 简装,高楼层(共12层)  1995年建塔楼  -,
桥东小区 实用中层两房 带精装修 全免税,单价13415元/平米,110,| 2室2厅 | 82平米 | 东南 | 简装,高楼层(共9层)  1995年建塔楼  -,
合兴苑 方正两房 省级学位 证够两年,单价14493元/平米,100,| 2室2厅 | 69平米 | 东 | 简装,高楼层(共8层)  1997年建塔楼  -,
逸翠湾 精装大四房 双地铁上盖 一线望江,单价40000元/平米,912,| 4室3厅 | 228平米 | 南 | 精装,低楼层(共49层)  2009年建塔楼  -,
芳雅苑 交通方便 装修新净 精致两房,单价15556元/平米,70,| 2室1厅 | 45平米 | 南 | 简装,中楼层(共9层)  1992年建塔楼  -,
万盛街 配套完善 实用三房 方正实用,单价15731元/平米,140,| 3室1厅 | 89平米 | 西 | 简装,中楼层(共9层)  1995年建塔楼  -,
珠岛花园 少有六期电梯一房 正南靓向,单价22500元/平米,90,| 1室1厅 | 40平米 | 南 | 简装,低楼层(共25层)  1995年建塔楼  -,
合兴苑 精装修 重点学校 园景望花园,单价16965元/平米,135,| 3室1厅 | 79.58平米 | 南 | 简装,高楼层(共9层)  1997年建塔楼  -,
红棉苑 交通方便 间隔方正 地铁上盖,单价19334元/平米,145,| 2室2厅 | 75平米 | 北 | 简装,中楼层(共8层)  2000年建塔楼  -,
文昌雅居 最好两房 户型,单价31352元/平米,232,| 2室2厅 | 74平米 | 西北 | 简装,高楼层(共32层)  2006年建塔楼  -,
芳泰花园 安静小区 实用两房 环境优雅,单价15417元/平米,75,| 2室1厅 | 48.65平米 | 南 | 其他,中楼层(共9层)  1995年建塔楼  -,
金花街 实用一房一厅 地铁沿线上盖,单价19944元/平米,70,| 1室1厅 | 35.1平米 | 南 | 简装,中楼层(共9层)  2003年建塔楼  -,
鹤平小区 广佛线鹤洞地铁上盖 交通方便,单价14000元/平米,70,| 2室1厅 | 50平米 | 南 | 简装,高楼层(共6层)  1997年建塔楼  -,
四季花园 双地铁 电梯两房 证过五年唯一,单价23125元/平米,185,| 2室2厅 | 80平米 | 东北 | 精装,中楼层(共18层)  2005年建塔楼  -,
蓬莱花园 花园小区 地铁沿线 通风明亮,单价15946元/平米,177,| 3室2厅 | 111平米 | 东北 | 其他,中楼层(共9层)  2001年建塔楼  -,
恒荔湾畔 高层豪华复式 顶级江景房,单价37778元/平米,850,| 6室3厅 | 225平米 | 东北 | 精装,高楼层(共31层)  2008年建塔楼  -,
珠岛花园 三期 三房二厅 南向 一线江景,单价15836元/平米,120,| 3室2厅 | 75.78平米 | 南 | 简装,高楼层(共9层)  1995年建塔楼  -,
鹤平小区实用两房 近鹤洞地铁 交通便利,单价13954元/平米,60,| 2室1厅 | 43平米 | 东 | 简装,高楼层(共6层)  1997年建塔楼  -,
红棉苑 通风对流 装修新净,单价20339元/平米,120,| 1室1厅 | 59平米 | 北 | 简装,低楼层(共9层)  2000年建塔楼  -,
乐怡居 花地湾地铁口 电梯高层 精装修,单价22223元/平米,180,| 2室1厅 | 81平米 | 南 | 简装,中楼层(共31层)  1996年建塔楼  -,
金宇花园 楼梯楼2房 间隔实用,单价13969元/平米,88,| 2室1厅 | 63平米 | 南 | 简装,高楼层(共9层)  1996年建塔楼  -,
茶滘路 三房一厅普通装修家私家电齐全,单价13024元/平米,112,| 3室1厅 | 86平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
