name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
苏堤东里  私产满五唯一  南北通透  采光好,单价23826元/平米,173,| 2室1厅 | 72.61平米 | 南 北 | 简装,高楼层(共6层)  1996年建板楼  -,
新都花园 南开中心小学 楼层好 临近地铁,单价36506元/平米,290,| 2室1厅 | 79.44平米 | 东 | 简装,中楼层(共11层)  2002年建板楼  -,
云阳西里  黄金4楼 婚房装修 南江里学区房  私产过5年,单价29941元/平米,185,| 2室1厅 | 61.79平米 | 南 北 | 精装,中楼层(共6层)  1994年建板楼  -,
天华里 精装两居 45㎡露台 景观区 落户房,单价26025元/平米,235,| 2室2厅 | 90.3平米 | 南 北 | 精装,高楼层(共25层)  1998年建板楼  -,
兴云里 两室H户型 满五年 房主唯一住房,单价30944元/平米,328,| 2室2厅 | 106平米 | 南 北 | 精装,高楼层(共7层)  2001年建板楼  -,
莹华里 阴阳户型 总价比较低 诚心出售,单价27360元/平米,200,| 2室1厅 | 73.1平米 | 南 北 | 其他,高楼层(共6层)  1997年建板楼  -,
鹤园南里 南北通透 黄金3楼 采光无遮挡,单价27355元/平米,156,| 2室1厅 | 57.03平米 | 南 北 | 简装,中楼层(共6层)  1995年建板楼  -,
科海里 黄金二楼 南北通透 满五唯一 临地铁,单价31223元/平米,325,| 2室2厅 | 104.09平米 | 南 北 | 简装,低楼层(共6层)  1985年建板楼  -,
新都花园 精装修 学区房 交通便利 采光好,单价39025元/平米,640,| 4室1厅 | 164平米 | 南 北 | 精装,低楼层(共10层)  2002年建板楼  -,
昌宁南里  精装修 满五唯一 南北通透,单价22574元/平米,130,| 2室1厅 | 57.59平米 | 南 北 | 精装,高楼层(共6层)  1990年建板楼  -,
金合园 1室1厅 180万,单价23161元/平米,180,| 1室1厅 | 77.72平米 | 东 | 精装,高楼层(共9层)  1999年建板楼  -,
兴泰西里 繁华地段 大两室 可贷款,单价21850元/平米,198,| 2室1厅 | 90.62平米 | 东 西 | 精装,高楼层(共7层)  1990年建板楼  -,
欣居园 有学区名额 南北通透 交通便利,单价22481元/平米,290,| 3室2厅 | 129平米 | 南 北 | 精装,高楼层(共6层)  1999年建板楼  -,
怀安西里 采光充足  黄金一楼  视野开阔,单价41559元/平米,240,| 3室1厅 | 57.75平米 | 东 西 | 简装,低楼层(共6层)  1995年建板楼  -,
风湖里小学  经典小户型 南北通透 过五唯一,单价21857元/平米,130,| 2室1厅 | 59.48平米 | 南 北 | 简装,高楼层(共6层)  1993年建板楼  -,
云轩公寓 紧邻中环 改善3居室 可贷款,单价22741元/平米,275,| 3室1厅 | 120.93平米 | 南 北 | 简装,高楼层(共6层)  2003年建板楼  -,
华宁北里 钻石二楼 满五唯一 无遮挡 税低,单价24687元/平米,195,| 2室1厅 | 78.99平米 | 东 西 | 其他,低楼层(共6层)  1997年建板楼  -,
日华里 富贵居 金角位置 南北通透 黄金楼层 采光好,单价33757元/平米,439,| 4室1厅 | 130.05平米 | 南 北 | 精装,中楼层(共6层)  1999年建板楼  -,
煦园新居 配套齐全 交通便利 重点学区 采光通风较好,单价44355元/平米,550,| 3室2厅 | 124平米 | 西南 | 精装,高楼层(共23层)  2007年建板楼  -,
云龙里 临近中环线 交通便利 采光良好,单价17408元/平米,94,| 1室1厅 | 54平米 | 南 北 | 其他,高楼层(共7层)  1995年建板楼  -,
水轩大厦 经典跃层 南北通透 配套齐全,单价19777元/平米,530,| 3室3厅 | 268平米 | 南 北 | 其他,高楼层(共11层)  2000年建板楼  -,
地铁房 黄金4楼 通透户型 婚房首选,单价28923元/平米,240,| 2室1厅 | 82.98平米 | 南 北 | 简装,中楼层(共6层)  2005年建板楼  -,
台北花园 精装高层 视野宽阔 双地铁现房 诚意出售,单价36189元/平米,395,| 2室2厅 | 109.15平米 | 南 北 | 精装,高楼层(共18层)  2001年建板楼  -,
新都花园 高档社区 黄金地段 经典户型,单价40000元/平米,560,| 3室2厅 | 140平米 | 南 北 | 简装,高楼层(共10层)  2002年建板楼  -,
淦江东里 2室1厅 165万,单价30522元/平米,165,| 2室1厅 | 54.06平米 | 南 北 | 其他,中楼层(共5层)  1997年建板楼  -,
招商钻石山大面积毛坯房 临近体育中心 投资自住都合适,单价22626元/平米,595,| 3室2厅 | 262.98平米 | 南 北 | 其他,高楼层(共42层)  2014年建板楼  -,
兴盛里 两室 中间楼层 精装修 地铁学区房,单价25281元/平米,225,| 2室1厅 | 89平米 | 西 | 精装,中楼层(共8层)  1997年建板楼  -,
九州国际 银角户型  采光好 视野无遮挡,单价41195元/平米,400,| 2室1厅 | 97.1平米 | 西南 | 其他,高楼层(共34层)  2010年建板楼  -,
美丽心殿  豪华装修 南北通透 有赠送面积,单价26316元/平米,350,| 2室2厅 | 133平米 | 南 北 | 精装,高楼层(共6层)  2000年建板楼  -,
红磡公寓 中心学区 带车位 黄金楼层,单价21545元/平米,530,| 4室2厅 | 246平米 | 南 北 | 精装,中楼层(共18层)  2001年建板楼  -,
燕园里 2室0厅 190万,单价33241元/平米,190,| 2室0厅 | 57.16平米 | 南 北 | 简装,低楼层(共6层)  1997年建板楼  -,
艺术公寓 中营学区 采光无挡 交通便利,单价22969元/平米,145,| 1室1厅 | 63.13平米 | 东北 | 简装,低楼层(共32层)  2011年建塔楼  -,
久华里 无贷款 带阁楼 价格适中 小区环境好,单价29400元/平米,205,| 1室1厅 | 69.73平米 | 南 北 | 其他,高楼层(共6层)  2002年建板楼  -,
迎风里 一室 单价低 临近地铁 交通便利,单价12927元/平米,53,| 1室1厅 | 41平米 | 南 | 其他,高楼层(共6层)  1986年建板楼  -,
水乡花园 金角两室 采光充足 电梯房,单价37741元/平米,280,| 2室1厅 | 74.19平米 | 东 南 北 | 其他,低楼层(共9层)  2005年建板楼  -,
飞云东里 1室1厅 120万,单价24611元/平米,120,| 1室1厅 | 48.76平米 | 西 | 简装,低楼层(共6层)  1995年建板楼  -,
金冠里偏独 南北通透 采光充足 交通便利,单价30547元/平米,152,| 2室1厅 | 49.76平米 | 南 北 | 简装,高楼层(共6层)  1998年建板楼  -,
临江里 楼层低 带小院 金角 配套齐全,单价36417元/平米,200,| 2室2厅 | 54.92平米 | 东 南 | 简装,低楼层(共5层)  1985年建板楼  -,
五马路学片 广林园大三室 黄金楼层交通便利,单价29220元/平米,420,| 1室1厅 | 143.74平米 | 南 北 | 其他,中楼层(共11层)  1998年建板楼  -,
满五年唯一  带一个车位 南北通透的户型 房龄新,单价30596元/平米,670,| 3室2厅 | 218.99平米 | 东 南 北 | 精装,低楼层(共32层)  1990年建板楼  -,
荣迁西里 私产可贷款 南开小学片,单价27348元/平米,180,| 2室1厅 | 65.82平米 | 南 北 | 其他,中楼层(共6层)  1985年建板楼  -,
康达尚郡 地铁房 装修好 单价低  交通便利,单价11843元/平米,45,| 1室1厅 | 38平米 | 南 北 | 精装,高楼层(共17层)  2005年建板楼  -,
嘉陵南里 南北通透 黄金楼层 位置好,单价26441元/平米,156,| 2室1厅 | 59平米 | 南 北 | 其他,中楼层(共6层)  1985年建板楼  -,
眺园里小区  南北通透 采光好 交通便利,单价26810元/平米,210,| 2室1厅 | 78.33平米 | 南 北 | 其他,高楼层(共6层)  1990年建板楼  -,
荷兰墅 楼王位置 采光充足 南北通透,单价30031元/平米,1000,| 3室3厅 | 333平米 | 南 北 | 毛坯,低楼层(共3层)  2005年建  -,
鼓楼商业街  南北通透 带露台 户型好,单价24336元/平米,520,| 4室2厅 | 213.68平米 | 南 北 | 简装,中楼层(共4层)  2000年建板楼  -,
景湖里 四楼 东西通透 单价低 交通便利,单价28730元/平米,208,| 2室1厅 | 72.4平米 | 东 西 | 其他,中楼层(共6层)  1995年建板楼  -,
凤园北里 小三室 精装修 采光棒,单价17576元/平米,145,| 3室1厅 | 82.5平米 | 南 西 | 其他,高楼层(共8层)  198年建板楼  -,
飞云东里 采光良好 视野开阔 学区房,单价21359元/平米,128,| 1室1厅 | 59.93平米 | 东 北 | 精装,中楼层(共6层)  1995年建板楼  -,
红磡公寓 1室1厅 223万,单价34844元/平米,223,| 1室1厅 | 64平米 | 东 | 其他,中楼层(共7层)  2001年建板楼  -,
莲安里 2室1厅 200万,单价20642元/平米,200,| 2室1厅 | 96.89平米 | 南 北 | 其他,高楼层(共6层)  1999年建板楼  -,
燕园里 2室1厅 145万,单价24297元/平米,145,| 2室1厅 | 59.68平米 | 南 北 | 其他,高楼层(共6层)  1997年建板楼  -,
禧顺花园 南北通透 经典H户型  采光好,单价22907元/平米,430,| 4室2厅 | 187.72平米 | 南 北 | 简装,高楼层(共6层)  2001年建板楼  -,
保康里 低楼层 周边生活交通便利 南开中心小学,单价29349元/平米,163,| 2室1厅 | 55.54平米 | 西 北 | 其他,中楼层(共6层)  1990年建板楼  -,
婚房装修  采光充足  独立厨房 楼下地铁,单价32008元/平米,206,| 1室1厅 | 64.36平米 | 西北 | 其他,低楼层(共40层)  2007年建板楼  -,
交通便利 采光充足 周边配套齐全,单价21736元/平米,120,| 1室1厅 | 55.21平米 | 东 | 其他,高楼层(共6层)  1998年建板楼  -,
私产过二年 交通便利 配套齐全,单价24445元/平米,110,| 1室1厅 | 45平米 | 北 | 其他,中楼层(共7层)  1986年建板楼  -,
凤园南里 2室1厅 128万,单价21695元/平米,128,| 2室1厅 | 59平米 | 南 北 | 其他,高楼层(共6层)  1986年建板楼  -,
淦江东里 2室1厅 99万,单价20061元/平米,99,| 2室1厅 | 49.35平米 | 南 | 其他,高楼层(共5层)  1997年建板楼  -,
金厦里 经典三跃四 南北通透 紧邻花园,单价26112元/平米,470,| 3室2厅 | 180平米 | 南 北 | 精装,中楼层(共6层)  1995年建板楼  -,
凯立花园 精装修 中心小学学区房 地铁房,单价35115元/平米,460,| 2室2厅 | 131平米 | 南 | 其他,高楼层(共6层)  2007年建板楼  -,
煦园新居 1室1厅 260万,单价50000元/平米,260,| 1室1厅 | 52平米 | 西北 | 其他,中楼层(共23层)  2007年建板楼  -,
兴华公寓 五马路小学片 南北通透 黄金楼层,单价34322元/平米,360,| 2室1厅 | 104.89平米 | 南 北 | 其他,中楼层(共6层)  2006年建板楼  -,
禧顺花园 经典跃层 精装修 采光充足,单价23077元/平米,300,| 4室0厅 | 130平米 | 南 | 其他,高楼层(共6层)  2001年建板楼  -,
金研里 2室1厅 172万,单价16018元/平米,172,| 2室1厅 | 107.38平米 | 东北 | 精装,高楼层(共7层)  1998年建板楼  -,
宝龙湾家园，一楼底商，看房方便,单价21591元/平米,950,| 5室2厅 | 440平米 | 南 | 精装,低楼层(共1层)  2007年建板楼  -,
堤中里 钻石一楼 南北通透 小区中心位置,单价31976元/平米,245,| 2室2厅 | 76.62平米 | 南 北 | 精装,低楼层(共6层)  1997年建板楼  -,
久华里 精装修 三阳面卧室 带阁楼  诚心出售,单价34127元/平米,430,| 4室2厅 | 126平米 | 南 北 | 精装,高楼层(共6层)  2002年建板楼  -,
富力华庭 精装两室 紧邻地铁 中营学片,单价30836元/平米,235,| 2室1厅 | 76.21平米 | 西北 | 精装,高楼层(共30层)  2012年建板楼  -,
龙滨园  带阁楼  出门堆山公园  天然氧吧,单价31214元/平米,370,| 3室1厅 | 118.54平米 | 南 北 | 其他,高楼层(共6层)  1999年建板楼  -,
钻石山联排，可遇不可求,单价41119元/平米,1250,| 5室3厅 | 304平米 | 东 南 北 | 其他,低楼层(共3层)  2014年建板楼  -,
鞍山西道 风湖里 带电梯 阳面 方正客厅 有钥匙,单价22322元/平米,125,| 1室1厅 | 56平米 | 南 | 其他,中楼层(共24层)  1993年建板楼  -,
正南北向 大三室 过五年 税点低 楼间距大 看房有钥匙,单价30702元/平米,350,| 3室2厅 | 114平米 | 南 北 | 其他,高楼层(共8层)  1990年建板楼  -,
水上温泉花园 3室2厅 340万,单价18867元/平米,340,| 3室2厅 | 180.21平米 | 南 西 北 | 其他,低楼层(共6层)  2002年建板楼  -,
怀安西里 2室1厅 160万,单价27587元/平米,160,| 2室1厅 | 58平米 | 西北 | 简装,中楼层(共6层)  1995年建板楼  -,
九州国际 毛坯房 业主现在出售 保持的很好,单价45793元/平米,400,| 2室1厅 | 87.35平米 | 东北 | 毛坯,中楼层(共34层)  2010年建板楼  -,
富力城天越园 大四室 南北通透 重新装修,单价45674元/平米,950,| 4室2厅 | 208平米 | 南 北 | 其他,高楼层(共28层)  2007年建板楼  -,
九州国际  金角三室  黄金楼层  采光充足,单价39824元/平米,450,| 3室1厅 | 113平米 | 东南 | 精装,中楼层(共34层)  2010年建板楼  -,
此房为全阳面，视野宽阔，采光充足，周边配套齐全,单价29283元/平米,200,| 2室1厅 | 68.3平米 | 南 | 其他,高楼层(共6层)  1999年建板楼  -,
华智里 2室1厅 190万,单价26389元/平米,190,| 2室1厅 | 72平米 | 南 北 | 其他,中楼层(共6层)  1999年建板楼  -,
近园里，婚房装修，配套齐全，看房方便,单价23209元/平米,92,| 1室1厅 | 39.64平米 | 南 | 其他,高楼层(共6层)  1992年建板楼  -,
华苑 竹华里 电梯洋房 落地窗 全明户型,单价28104元/平米,326,| 2室1厅 | 116平米 | 南 北 | 其他,高楼层(共11层)  2003年建板楼  -,
天华里  电梯入户 采光好 诚心出售看房随时,单价28641元/平米,262,| 2室1厅 | 91.48平米 | 南 | 其他,中楼层(共25层)  1998年建板楼  -,
凤园南里 交通便利 带装修 拎包入住,单价15676元/平米,58,| 1室1厅 | 37平米 | 南 | 其他,高楼层(共6层)  1986年建板楼  -,
朝园里 户型朝南 看房方便 适合居家,单价31600元/平米,158,| 2室1厅 | 50平米 | 南 | 毛坯,低楼层(共6层)  1992年建板楼  -,
禧顺花园 黄金楼层 税费少 采光充足,单价23113元/平米,300,| 3室1厅 | 129.8平米 | 南 北 | 简装,高楼层(共6层)  2001年建板楼  -,
通透三室  黄金楼层  稀缺毛坯户型  带车位,单价40739元/平米,600,| 3室2厅 | 147.28平米 | 南 北 | 其他,中楼层(共27层)  2005年建板楼  -,
通透三室  黄金楼层 稀缺毛坯户型  带车位,单价40739元/平米,600,| 3室2厅 | 147.28平米 | 东南 | 其他,中楼层(共27层)  2005年建板楼  -,
奥城公寓 民水民电 观景投资房 急售,单价12800元/平米,96,| 2室1厅 | 75平米 | 东北 | 其他,低楼层(共29层)  2005年建塔楼  -,
龙川里 2室0厅 200万,单价33648元/平米,200,| 2室0厅 | 59.44平米 | 南 北 | 其他,中楼层(共6层)  1990年建板楼  -,
九州国际 东北朝向 两室一厅 精装修 诚售,单价38306元/平米,330,| 2室1厅 | 86.15平米 | 东北 | 精装,高楼层(共34层)  2010年建板楼  -,
天江格调花园改善四室 采光充足 视野开阔,单价41917元/平米,950,| 4室3厅 | 226.64平米 | 南 北 | 其他,高楼层(共11层)  2004年建板楼  -,
时代奥城唯一南北通透两居室，金角全明户型，诚心出售,单价43005元/平米,450,| 2室1厅 | 104.64平米 | 南 北 | 其他,低楼层(共27层)  2005年建板楼  -,
卫安北里 低楼层 采光好 私产房 临近地铁,单价35336元/平米,140,| 1室1厅 | 39.62平米 | 东 | 简装,低楼层(共7层)  1992年建板楼  -,
玉泉公寓 过五年 精装修大两室  采光好,单价23302元/平米,260,| 2室1厅 | 111.58平米 | 南 北 | 精装,高楼层(共6层)  2001年建板楼  -,
中海御湖翰苑 精装修 金角大独单 便宜出售,单价16418元/平米,110,| 1室1厅 | 67平米 | 南 | 精装,低楼层(共31层)  2010年建板楼  -,
阳光100西园 楼层好 位置佳 业主诚意出售,单价22782元/平米,385,| 3室2厅 | 169平米 | 东南 | 精装,低楼层(共22层)  2007年建板楼  -,
城厢嘉园 毛坯房未住过人 配套齐全 看房方便,单价34967元/平米,1200,| 5室3厅 | 343.19平米 | 南 北 | 其他,低楼层(共3层)  2010年建  -,
盈江里 单价合适 采光充足 仅此一套,单价19366元/平米,61,| 1室0厅 | 31.5平米 | 南 | 其他,高楼层(共6层)  1985年建板楼  -,
盈江里 2室0厅 140万,单价24579元/平米,140,| 2室0厅 | 56.96平米 | 南 | 其他,中楼层(共6层)  1985年建板楼  -,
安华里 1室2厅 190万,单价31041元/平米,190,| 1室2厅 | 61.21平米 | 东 西 | 其他,中楼层(共6层)  1997年建板楼  -,
阳光100 底商 小区门口 近外环 投资可选,单价37624元/平米,380,| 2室1厅 | 101平米 | 东 西 | 精装,低楼层(共11层)  2007年建板楼  -,
宁乐里一室 近地铁 双公园 过五年 诚心出售,单价25000元/平米,150,| 1室1厅 | 60平米 | 南 西 北 | 其他,中楼层(共6层)  1990年建板楼  -,
精装修拎包住 赠送露台 可做婚房 换房诚心出售,单价34884元/平米,240,| 1室1厅 | 68.8平米 | 南 北 | 精装,高楼层(共6层)  2000年建板楼  -,
凤园里  采光好 南北通透三室  交通便利,单价32246元/平米,240,| 3室0厅 | 74.43平米 | 南 北 | 其他,高楼层(共6层)  1987年建板楼  -,
中海御湖翰苑 满五唯一 采光霸道 交通方便,单价11957元/平米,55,| 1室0厅 | 46平米 | 东 | 其他,高楼层(共31层)  2010年建板楼  -,
永川里 2室1厅 210万,单价21875元/平米,210,| 2室1厅 | 96平米 | 南 北 | 简装,高楼层(共6层)  1999年建板楼  -,
桂荷园 采光好 宜宾里小学学区房 满五唯一,单价28449元/平米,660,| 9室2厅 | 232平米 | 东 南 北 | 简装,高楼层(共9层)  2005年建板楼  -,
欣居园 2室2厅 230万,单价21082元/平米,230,| 2室2厅 | 109.1平米 | 南 北 | 精装,高楼层(共14层)  1999年建板楼  -,
紫来花园 重点学区 两室带厅 采光好,单价28889元/平米,260,| 2室1厅 | 90平米 | 东 西 | 精装,高楼层(共25层)  2000年建板楼  -,
川北里 2室1厅 145万,单价19367元/平米,145,| 2室1厅 | 74.87平米 | 东南 | 简装,高楼层(共6层)  1996年建板楼  -,
博朗园 满二 交通便利 小区发展潜力大,单价22541元/平米,110,| 1室1厅 | 48.8平米 | 南 | 其他,高楼层(共27层)  2013年建板楼  -,
煦园新居 银角大两室  重点学区 采光充足,单价44944元/平米,460,| 2室2厅 | 102.35平米 | 西南 | 精装,中楼层(共25层)  2007年建板楼  -,
金环里 单价低 仅限一次性 可上华夏,单价18626元/平米,90,| 1室1厅 | 48.32平米 | 南 | 其他,中楼层(共6层)  1996年建板楼  -,
林苑北里 南北通透  采光好 交通便利,单价12882元/平米,76,| 2室1厅 | 59平米 | 南 北 | 其他,高楼层(共6层)  1986年建板楼  -,
园荫里 黄金楼层  随时能看 距离地铁近,单价29733元/平米,120,| 2室1厅 | 40.36平米 | 南 北 | 其他,中楼层(共7层)  1998年建板楼  -,
金环里  采光好  精装修  临近地铁交通便利,单价17899元/平米,62,| 1室1厅 | 34.64平米 | 南 | 精装,高楼层(共6层)  1996年建板楼  -,
龙亭家园 1室1厅 262万,单价49258元/平米,262,| 1室1厅 | 53.19平米 | 西 | 其他,低楼层(共30层)  2008年建板楼  -,
汇福华庭 南北通透 周边配套设施完善 交通便利,单价37802元/平米,780,| 5室3厅 | 206.34平米 | 南 北 | 其他,高楼层(共10层)    -,
立达公寓  经典二居室 临水上公园 邻地铁,单价28939元/平米,415,| 2室2厅 | 143.41平米 | 南 北 | 精装,低楼层(共24层)  1996年建板楼  -,
美湖里 私产过五年 精装修 南北通透,单价29873元/平米,145,| 1室0厅 | 48.54平米 | 南 | 精装,中楼层(共7层)  1993年建板楼  -,
中海御湖 满五唯一 舒适享受 交通便利,单价15152元/平米,69,| 1室0厅 | 45.54平米 | 南 | 精装,低楼层(共31层)  2010年建板楼  -,
俊城浅水湾 南北通透 全明户型  精装修 满五唯一,单价22929元/平米,285,| 3室2厅 | 124.3平米 | 南 北 | 精装,低楼层(共18层)  2004年建板楼  -,
竹华里 中心位置 南北通透 精装钥匙房,单价28858元/平米,288,| 2室1厅 | 99.8平米 | 南 北 | 精装,中楼层(共6层)  2003年建板楼  -,
凯立花园  满两年 跃层 地铁学区房 精装修,单价30516元/平米,400,| 2室2厅 | 131.08平米 | 东 西 | 精装,高楼层(共6层)  2007年建板楼  -,
昔阳南里 南北通透 私产过五年  送露台,单价15508元/平米,185,| 3室1厅 | 119.3平米 | 南 北 | 简装,高楼层(共6层)  1986年建板楼  -,
佳音里 1室1厅 197万,单价48131元/平米,197,| 1室1厅 | 40.93平米 | 南 | 其他,高楼层(共6层)  1997年建板楼  -,
金冠里 一楼带小院 私产能开门脸,单价38868元/平米,280,| 2室2厅 | 72.04平米 | 南 北 | 其他,低楼层(共6层)  1998年建板楼  -,
照湖里 南北通透 采光充足 私产可贷款,单价24424元/平米,145,| 2室1厅 | 59.37平米 | 南 北 | 精装,高楼层(共6层)  1990年建板楼  -,
群富里 1室1厅 165万,单价36765元/平米,165,| 1室1厅 | 44.88平米 | 南 | 简装,中楼层(共6层)  1989年建板楼  -,
嘉陵东里小两室 私产可贷款 精装修 距离地铁800米,单价24418元/平米,108,| 2室0厅 | 44.23平米 | 南 | 精装,高楼层(共5层)  1982年建板楼  -,
嘉泰全明户型 带大露台 过五年 可贷款,单价22929元/平米,210,| 2室1厅 | 91.59平米 | 南 北 | 简装,高楼层(共7层)  2000年建板楼  -,
明园里 真正的学区房 地铁无缝对接 商业街近在咫尺,单价21334元/平米,192,| 2室1厅 | 90平米 | 东 西 | 毛坯,高楼层(共6层)  1996年建板楼  -,
金环里 投资首选 临近地铁 次顶楼,单价13655元/平米,68,| 1室1厅 | 49.8平米 | 南 | 简装,高楼层(共6层)  1996年建板楼  -,
竹华里 六跃七 豪装四十万 钥匙房,单价17022元/平米,320,| 6室3厅 | 188平米 | 南 北 | 其他,高楼层(共6层)  2003年建板楼  -,
师北里 3室1厅 340万,单价40381元/平米,340,| 3室1厅 | 84.2平米 | 南 北 | 其他,低楼层(共6层)  1987年建板楼  -,
华苑长华里 南北通透  精装修两室 婚房首选,单价25751元/平米,199,| 2室1厅 | 77.28平米 | 南 北 | 精装,高楼层(共6层)  1999年建板楼  -,
立达公寓，私产，电梯房，房龄新,单价27949元/平米,360,| 2室1厅 | 128.81平米 | 西南 北 | 其他,低楼层(共24层)  1996年建板楼  -,
锋泛国际 1室1厅 115万,单价24930元/平米,115,| 1室1厅 | 46.13平米 | 北 | 其他,中楼层(共18层)  2006年建板楼  -,
日华里黄金三楼 南北通透地铁房 稀缺金角 全明户型,单价35901元/平米,310,| 2室1厅 | 86.35平米 | 南 北 | 精装,中楼层(共6层)  1999年建板楼  -,
南丰里 带小院 南北通透 精装修,单价36175元/平米,188,| 2室0厅 | 51.97平米 | 南 北 | 其他,低楼层(共5层)  1985年建板楼  -,
中海御湖翰苑 黄金楼层 采光充足 交通便利,单价10980元/平米,50,| 1室0厅 | 45.54平米 | 南 | 其他,高楼层(共31层)  2010年建板楼  -,
时代奥城 南北通透 领峰精装四室 观景豪宅！,单价27307元/平米,740,| 4室2厅 | 271平米 | 南 北 | 其他,高楼层(共24层)  2005年建板楼  -,
园川里 2室1厅 95万,单价20248元/平米,95,| 2室1厅 | 46.92平米 | 东南 南 北 | 其他,高楼层(共6层)  1990年建板楼  -,
园荫里 出行方便 配套完善 地铁房,单价29007元/平米,160,| 2室1厅 | 55.16平米 | 南 | 其他,中楼层(共7层)  1998年建板楼  -,
飞云里 2室1厅 195万,单价23083元/平米,195,| 2室1厅 | 84.48平米 | 东 西 | 精装,中楼层(共6层)  1995年建板楼  -,
新都花园 南北通透 中心小学片 黄金楼层,单价42703元/平米,450,| 2室2厅 | 105.38平米 | 南 北 | 精装,低楼层(共10层)  2002年建板楼  -,
盈江里 2室1厅 188万,单价27290元/平米,188,| 2室1厅 | 68.89平米 | 南 北 | 其他,中楼层(共6层)  1985年建板楼  -,
怀仁里 五马路学片 稀缺两室 大户型,单价22510元/平米,240,| 2室2厅 | 106.62平米 | 南 北 | 简装,高楼层(共7层)  1995年建板楼  -,
美丽心殿 私产南北通透 视野辽阔 精装修,单价30015元/平米,410,| 3室1厅 | 136.6平米 | 南 北 | 精装,低楼层(共20层)  2000年建板楼  -,
俊城浅水湾 3室2厅 298万,单价24427元/平米,298,| 3室2厅 | 122平米 | 南 北 | 其他,高楼层(共11层)  2004年建板楼  -,
科海里   交通方便   紧邻地铁   视野开阔,单价18230元/平米,105,| 1室1厅 | 57.6平米 | 南 | 简装,高楼层(共6层)  1985年建板楼  -,
学湖里 私产可贷款 黄金一楼 交通便利,单价35556元/平米,128,| 1室1厅 | 36平米 | 南 | 其他,低楼层(共6层)  1988年建板楼  -,
光湖里  私产房 南北通透  采光好,单价23519元/平米,127,| 2室1厅 | 54平米 | 南 北 | 其他,中楼层(共7层)  1986年建板楼  -,
锋泛国际 2室1厅 300万,单价28572元/平米,300,| 2室1厅 | 105平米 | 南 北 | 简装,高楼层(共18层)  2006年建板楼  -,
精装两室 总价单价低 地铁上盖 电梯房 改善首选,单价15944元/平米,183,| 2室1厅 | 114.78平米 | 南 北 | 其他,低楼层(共18层)  2005年建板楼  -,
奥城一期 精装修 大两居 低楼层 靠近商业街  养老首选,单价44611元/平米,500,| 2室1厅 | 112.08平米 | 南 | 其他,低楼层(共27层)  2005年建板楼  -,
居华里 仅此一套 双阳全明户型  通透 学区房,单价32826元/平米,235,| 2室1厅 | 71.59平米 | 南 北 | 其他,中楼层(共6层)  1997年建板楼  -,
凤园南里 企业产 通透偏单 紧邻地铁,单价20000元/平米,80,| 2室1厅 | 40平米 | 东 西 | 其他,高楼层(共7层)  1986年建板楼  -,
