name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
翠湖山庄 实用三房 环境优美 配套成熟,单价32405元/平米,335,| 3室2厅 | 103.38平米 | 北 | 简装,中楼层(共31层)  1999年建塔楼  -,
华景新城 陶然庭苑 精装修 稀缺两房,单价37180元/平米,290,| 2室2厅 | 78平米 | 北 | 精装,中楼层(共35层)  2007年建塔楼  -,
天誉花园  华阳学位 交通便利 配套好,单价43182元/平米,475,| 3室2厅 | 110平米 | 北 | 简装,高楼层(共31层)  1998年建塔楼  -,
羊城花园 实用两房 户型方正 采光好,单价23907元/平米,153,| 2室1厅 | 64平米 | 北 | 简装,低楼层(共6层)  2000年建塔楼  -,
舒适简约单间 时尚有品味 保养干净,单价56431元/平米,197,| 1室0厅 | 34.91平米 | 北 | 精装,高楼层(共30层)  2005年建塔楼  -,
南天广场稀缺四房推荐 高层南向 光线十足,单价30000元/平米,489,| 4室2厅 | 163平米 | 北 | 简装,中楼层(共33层)  1997年建塔楼  -,
汇景新城 维伦特莱 顶层稀有复式,单价52778元/平米,1900,| 4室2厅 | 360平米 | 南 | 其他,高楼层(共10层)  2011年建塔楼  -,
汇景新城 世家 复式精装 南北通透,单价70622元/平米,2500,| 5室2厅 | 354平米 | 南 | 精装,中楼层(共16层)  2011年建塔楼  -,
棠德花园 北电梯两房 采光好,单价21972元/平米,156,| 3室2厅 | 71平米 | 北 | 其他,高楼层(共29层)  1997年建塔楼  -,
富力天朗明居 小复式 大空间,单价38286元/平米,268,| 3室2厅 | 70平米 | 西 | 精装,高楼层(共18层)  2001年建塔楼  -,
经典三房 地铁盘+BRT+学区房,单价33810元/平米,355,| 3室2厅 | 105平米 | 南 | 简装,中楼层(共18层)  2001年建塔楼  -,
稀缺东南朝向 低价放盘 省级学位 拎包卖,单价40244元/平米,495,| 3室2厅 | 123平米 | 东南 | 精装,中楼层(共28层)  2004年建塔楼  -,
骏景花园 高层精品三房,单价34906元/平米,370,| 3室2厅 | 106平米 | 北 | 精装,高楼层(共20层)  2000年建板楼  -,
华港花园南街 复式五房 南北通透 采光一,单价36040元/平米,728,| 6室2厅 | 202平米 | 南 | 简装,高楼层(共9层)  2004年建塔楼  -,
名门大厦 黄金地段 三房方正实用 双地铁,单价31405元/平米,380,| 3室2厅 | 121平米 | 东北 | 简装,中楼层(共33层)  1997年建塔楼  -,
链家 富力新村 超实用小两房  南北对流,单价17895元/平米,68,| 2室1厅 | 38平米 | 南 | 简装,低楼层(共9层)  1994年建塔楼  -,
华阳本校学位房 稀缺东南靓向 双省重点,单价41231元/平米,268,| 2室1厅 | 65平米 | 东南 | 简装,低楼层(共8层)  1999年建塔楼  -,
天河北芳草园 南向稀缺两房,单价54082元/平米,530,| 2室2厅 | 98平米 | 南 | 其他,低楼层(共30层)  2004年建塔楼  -,
荟雅苑 复式单位 保养好 带学位,单价48392元/平米,1113,| 5室2厅 | 230平米 | 北 | 其他,高楼层(共31层)  2000年建塔楼  -,
天河北 中怡城市花园 小户型 精装两房,单价48572元/平米,340,| 2室1厅 | 70平米 | 西南 | 简装,低楼层(共30层)  2002年建塔楼  -,
骏景花园 户型方正 高层采光好,单价32460元/平米,396,| 4室2厅 | 122平米 | 南 | 精装,低楼层(共12层)  2000年建塔楼  -,
华港豪情湾 精致三房 学位户口未占用,单价41263元/平米,425,| 3室2厅 | 103平米 | 西北 | 精装,低楼层(共30层)  2004年建塔楼  -,
侨源山庄 精修三房 双露台,单价28125元/平米,315,| 3室2厅 | 112平米 | 西南 | 精装,低楼层(共20层)  1998年建塔楼  -,
精装安静两房 通风采光好 周边配套完善,单价31461元/平米,280,| 2室2厅 | 89平米 | 西南 | 精装,低楼层(共28层)  1995年建塔楼  -,
中怡城市花园 精装两房改一房 自住装修,单价55073元/平米,380,| 1室1厅 | 69平米 | 东 | 简装,中楼层(共32层)  2002年建塔楼  -,
盈彩美居 精装大两房 看花园 稀缺 实用,单价28125元/平米,225,| 2室2厅 | 80平米 | 南 | 其他,高楼层(共12层)  2003年建塔楼  -,
天河广场 南向两房 新装修,单价19754元/平米,160,| 2室1厅 | 81平米 | 南 | 简装,高楼层(共23层)  1996年建塔楼  -,
温馨舒适 配套齐全 学位房 投资首选,单价57143元/平米,160,| 1室0厅 | 28平米 | 东 | 精装,高楼层(共32层)  2005年建塔楼  -,
银汇华庭 小三房 南北对流 两个私家花园,单价56522元/平米,520,| 3室1厅 | 92平米 | 南 | 精装,低楼层(共32层)  2009年建塔楼  -,
美林湖畔花园 复式三房 实用面积114平,单价42106元/平米,320,| 3室2厅 | 76平米 | 东南 | 精装,高楼层(共11层)  2005年建塔楼  -,
康乐大厦 小两房 带电梯 可落户 学区房,单价15262元/平米,105,| 2室2厅 | 68.8平米 | 西南 | 简装,高楼层(共9层)  2003年建塔楼  -,
天河广场 黄金地段 三房,单价17000元/平米,170,| 3室2厅 | 100平米 | 北 | 简装,高楼层(共32层)  1996年建塔楼  -,
骏景花园南苑楼王南北通透 急售,单价26061元/平米,430,| 4室2厅 | 165平米 | 南 | 简装,低楼层(共19层)  2000年建塔楼  -,
骏景花园 北苑豪装复式放卖,单价31366元/平米,850,| 6室2厅 | 271平米 | 南 | 简装,高楼层(共12层)  2000年建塔楼  -,
美好居 地铁口精致两房 南向单位,单价25782元/平米,165,| 2室1厅 | 64平米 | 南 | 其他,高楼层(共19层)  1998年建塔楼  -,
楼王位置 稀缺三房 安静看花园,单价25715元/平米,270,| 3室2厅 | 105平米 | 北 | 精装,低楼层(共19层)  2002年建塔楼  -,
天河广场 位置安静 精致两房 采光好,单价18919元/平米,140,| 2室1厅 | 74平米 | 南 | 简装,高楼层(共28层)  1996年建塔楼  -,
骏景四房 高层采光足 安静舒适,单价32000元/平米,489.6,| 4室2厅 | 153平米 | 北 | 精装,高楼层(共13层)  2000年建塔楼  -,
天河东 嘉宝华庭3房 精装修 省级学位,单价36753元/平米,430,| 3室2厅 | 117平米 | 西 | 精装,高楼层(共29层)  2001年建塔楼  -,
天誉花园 4室1厅 600万,单价32086元/平米,600,| 4室1厅 | 187平米 | 东 | 简装,低楼层(共30层)  2000年建塔楼  -,
骏景花园南苑骏霖轩 4室2厅 500万,单价35461元/平米,500,| 4室2厅 | 141平米 | 南 | 简装,中楼层(共20层)  2000年建塔楼  -,
骏景花园  方方正正三房,单价28847元/平米,300,| 3室2厅 | 104平米 | 北 | 简装,中楼层(共12层)  1999年建塔楼  -,
【满堂红链家】雅怡阁 精致两房,单价18574元/平米,138,| 2室1厅 | 74.3平米 | 东 | 其他,中楼层(共23层)  2000年建塔楼  -,
安静望花园 通透明亮 居家首选,单价39888元/平米,355,| 2室1厅 | 89平米 | 东北 | 简装,高楼层(共30层)  2000年建塔楼  -,
中兴花园 实用小两房 户型方正 采光通风,单价22818元/平米,115,| 2室1厅 | 50.4平米 | 西 | 简装,中楼层(共12层)  1999年建塔楼  -,
实用温馨单位 配套完善,单价28000元/平米,210,| 2室1厅 | 75平米 | 东 | 精装,中楼层(共13层)  1998年建塔楼  -,
汇景新城 维伦特莱 复式大四房诚心出售,单价62938元/平米,1800,| 5室2厅 | 286平米 | 南 | 精装,低楼层(共11层)  2011年建塔楼  -,
美好居 地铁口宽敞两房 高层安静单位,单价25000元/平米,160,| 2室1厅 | 64平米 | 东 | 其他,高楼层(共19层)  1998年建塔楼  -,
东晖花园在售少有西南向大面积三房,单价40323元/平米,500,| 3室2厅 | 124平米 | 西南 | 精装,高楼层(共9层)  1999年建塔楼  -,
骏景花园 复式楼  价格可谈,单价29148元/平米,650,| 6室3厅 | 223平米 | 南 | 简装,高楼层(共12层)  2000年建塔楼  -,
雅怡居 二房一厅 小区地段优 配套齐全,单价18462元/平米,120,| 2室2厅 | 65平米 | 南 | 简装,高楼层(共9层)  2000年建塔楼  -,
马赛国际公寓 户型方正 交通方便 配套齐,单价32206元/平米,255,| 2室1厅 | 79.18平米 | 东 | 简装,高楼层(共33层)  2006年建塔楼  -,
翠湖山庄 大三房 高层楼王单位 视野开阔,单价32331元/平米,430,| 3室2厅 | 133平米 | 东北 | 精装,高楼层(共31层)  2010年建塔楼  -,
加拿大花园 实用一居室可改两房 安静舒适,单价31410元/平米,160,| 1室1厅 | 50.94平米 | 南 | 简装,低楼层(共25层)  1995年建塔楼  -,
天朗明居 业主自住 装修保养好,单价35625元/平米,228,| 2室2厅 | 64平米 | 东 | 简装,低楼层(共22层)  2001年建塔楼  -,
天力居 地铁口旁 小区成熟 配套齐全,单价23810元/平米,150,| 2室1厅 | 63平米 | 北 | 精装,高楼层(共16层)  1998年建塔楼  -,
精装安静两房 通风采光好 周边完善,单价23530元/平米,160,| 2室2厅 | 68平米 | 东北 | 精装,低楼层(共28层)  1995年建塔楼  -,
侨林苑二期 厅出阳台 南向采光通风一流,单价55129元/平米,430,| 2室2厅 | 78平米 | 南 | 其他,高楼层(共22层)  2003年建塔楼  -,
华景新城二期 装修保养好 自带华景学位,单价29509元/平米,180,| 2室2厅 | 61平米 | 北 | 精装,高楼层(共9层)  2009年建塔楼  -,
精装2房 温馨舒适配套成熟性价比高,单价26000元/平米,195,| 2室2厅 | 75平米 | 西南 | 简装,低楼层(共28层)  1995年建塔楼  -,
翠湖山庄 精装修保养好 格局方正 采光好,单价27670元/平米,285,| 3室2厅 | 103平米 | 西北 | 简装,中楼层(共28层)  1999年建塔楼  -,
天雅居 小三房 交通方便,单价17554元/平米,165,| 3室2厅 | 94平米 | 东 | 简装,中楼层(共13层)  1999年建塔楼  -,
华门阁温馨三房 居家精装修,单价37635元/平米,350,| 3室2厅 | 93平米 | 东南 | 精装,中楼层(共9层)  2009年建塔楼  -,
天河广场 南向格局好 免装修即可入住,单价22500元/平米,153,| 2室1厅 | 68平米 | 南 | 简装,中楼层(共28层)  1996年建塔楼  -,
荟雅苑 温馨三房 实用率高,单价40179元/平米,450,| 3室1厅 | 112平米 | 东北 | 精装,高楼层(共31层)  2000年建塔楼  -,
南国花园 稀缺复式五房 户型实用,单价41045元/平米,1380,| 6室3厅 | 336.22平米 | 东南 | 精装,高楼层(共27层)  2002年建塔楼  -,
伊顿18 精装三房 厅出阳台 花园小区,单价50000元/平米,650,| 3室2厅 | 130平米 | 北 | 精装,高楼层(共38层)  2004年建塔楼  -,
【满堂红链家】天雅居 大两房 交通方便,单价17022元/平米,160,| 2室2厅 | 94平米 | 东 | 精装,中楼层(共13层)  1999年建塔楼  -,
天河广场 装修保养很好,单价20000元/平米,216,| 3室2厅 | 108平米 | 西南 | 简装,中楼层(共32层)  1996年建塔楼  -,
骏景花园 三房两厅 带重点学位,单价37705元/平米,460,| 3室2厅 | 122平米 | 南 | 精装,高楼层(共11层)  2000年建塔楼  -,
春江花园 小区环境优美 周边配套齐全,单价22728元/平米,100,| 1室1厅 | 44平米 | 西 | 简装,低楼层(共18层)  2000年建塔楼  -,
修改房评 小区唯一两房东向单位 方正实用,单价40450元/平米,360,| 2室2厅 | 89平米 | 东北 | 精装,高楼层(共10层)  1999年建塔楼  -,
棠德花园 温馨两房 光线通风好,单价19355元/平米,120,| 2室1厅 | 62平米 | 东南 | 其他,高楼层(共9层)  1997年建塔楼  -,
天河北 馨怡花苑 精装大三房 住家首选,单价25363元/平米,350,| 3室2厅 | 138平米 | 东 | 简装,中楼层(共9层)  1996年建塔楼  -,
南国花园 豪华装修 高层 南北通透,单价50000元/平米,1275,| 4室2厅 | 255平米 | 东 | 精装,高楼层(共28层)  2002年建塔楼  -,
领峰园 豪华二房一厅 高档配置,单价61298元/平米,500,| 2室1厅 | 81.57平米 | 南 | 精装,低楼层(共42层)  2009年建塔楼  -,
侨怡苑 入读名校 小区安静,单价36747元/平米,305,| 2室1厅 | 83平米 | 南 | 简装,高楼层(共9层)  1992年建塔楼  -,
苹果城 精装小三房 高层视野开阔,单价27084元/平米,195,| 3室1厅 | 72平米 | 北 | 精装,中楼层(共24层)  2005年建塔楼  -,
天河员村 翠湖山庄 大户型 花园式洋房,单价30000元/平米,900,| 6室2厅 | 300平米 | 西南 | 精装,高楼层(共15层)  1999年建塔楼  -,
骏景花园 业主精装修 证过五年唯一,单价26179元/平米,500,| 4室2厅 | 191平米 | 北 | 简装,高楼层(共12层)  2000年建塔楼  -,
暨南花园 电梯三房 西北靓向,单价38136元/平米,450,| 3室2厅 | 118平米 | 西北 | 简装,高楼层(共28层)  1997年建塔楼  -,
加拿大花园 南北通透 实用两房 安静不吵,单价28500元/平米,228,| 2室2厅 | 80平米 | 西南 | 简装,低楼层(共25层)  1995年建塔楼  -,
华景新城三期 精装大两房 可改三房,单价25000元/平米,230,| 2室2厅 | 92平米 | 东北 | 精装,高楼层(共9层)  2009年建塔楼  -,
帝景山庄 花园别墅 环境优美 鸟语花香,单价36560元/平米,1360,| 5室3厅 | 372平米 | 南 | 精装,低楼层(共1层)    -,
贤人阁 大两房 户型方正,单价33863元/平米,320,| 2室2厅 | 94.5平米 | 南 | 其他,中楼层(共22层)  1997年建塔楼  -,
天河东 嘉宝华庭 方正三房 位置安静,单价44643元/平米,500,| 3室2厅 | 112平米 | 北 | 简装,中楼层(共29层)  2001年建塔楼  -,
誉峰 珠江新城高端小区 无遮挡公园景观,单价46939元/平米,1380,| 5室2厅 | 294平米 | 东南 | 精装,低楼层(共43层)  2007年建板楼  -,
华师大学宿舍 精致电梯三房房 装修保养好,单价51686元/平米,460,| 3室2厅 | 89平米 | 南 | 简装,高楼层(共6层)  2000年建塔楼  -,
翠湖山庄 实用三房 环境优美 配套成熟,单价28641元/平米,295,| 3室2厅 | 103平米 | 西北 | 精装,低楼层(共31层)  1999年建塔楼  -,
华景新城 陶然庭苑 精装两房 稀缺两房,单价37180元/平米,290,| 2室2厅 | 78平米 | 北 | 精装,低楼层(共35层)  2007年建塔楼  -,
太阳广场 复式南向豪宅 交通便利,单价30623元/平米,640,| 4室2厅 | 209平米 | 南 | 精装,高楼层(共18层)  1997年建塔楼  -,
耀星华庭 实用单间 带省学位 投资首选,单价60000元/平米,150,| 1室0厅 | 25平米 | 北 | 其他,低楼层(共31层)  2003年建塔楼  -,
棠得花园 精装修 两房 过五年不唯一,单价17425元/平米,115,| 2室1厅 | 66平米 | 西 | 其他,中楼层(共10层)  1997年建塔楼  -,
耀星华庭 总价低带华阳学位小户型,单价63600元/平米,159,| 1室1厅 | 25平米 | 东 | 其他,低楼层(共31层)  2003年建塔楼  -,
富力花园 总价低 落户投资首选 刚需一房,单价13878元/平米,68,| 2室1厅 | 49平米 | 西南 | 精装,中楼层(共6层)  1999年建塔楼  -,
天河北穗园小区实用三房 通风采光一流,单价36000元/平米,396,| 3室2厅 | 110平米 | 西北 | 简装,高楼层(共28层)  2000年建塔楼  -,
理想青年荟 2室2厅 380万,单价57576元/平米,380,| 2室2厅 | 66平米 | 南 | 简装,低楼层(共21层)  2007年建塔楼  -,
骏景花园 复式四房 精装修 带学位,单价25852元/平米,698,| 8室2厅 | 270平米 | 北 | 简装,高楼层(共13层)  2000年建塔楼  -,
【满堂红链家】学位房，南北四房，视野超好,单价19030元/平米,255,| 4室2厅 | 134平米 | 北 | 精装,高楼层(共6层)  2000年建塔楼  -,
尚德大厦 酒店式豪华大单间 可改两房,单价35000元/平米,245,| 1室1厅 | 70平米 | 西 | 简装,中楼层(共23层)  2003年建塔楼  -,
美好居 稀缺三房 带主套 地铁上盖,单价25000元/平米,275,| 3室2厅 | 110平米 | 东 | 简装,高楼层(共19层)  1998年建塔楼  -,
侨林苑 三期一房 地铁上盖,单价57774元/平米,275,| 1室1厅 | 47.6平米 | 北 | 简装,高楼层(共31层)  2003年建塔楼  -,
小区中心位置 采光充足实用两房,单价27252元/平米,230,| 2室1厅 | 84.4平米 | 西 | 其他,中楼层(共19层)  2002年建塔楼  -,
新达城国际公寓 商住两用 住家投资首选,单价30000元/平米,120,| 1室0厅 | 40平米 | 东 | 精装,低楼层(共30层)  2000年建塔楼  -,
南向大两房 楼层高 光线好,单价30247元/平米,245,| 2室1厅 | 81平米 | 东南 | 其他,高楼层(共12层)  2002年建塔楼  -,
汇景新城 超靓三房 南北对流 近商业街,单价49711元/平米,860,| 3室2厅 | 173平米 | 南 | 精装,中楼层(共9层)  2011年建塔楼  -,
MBA  南向两房 带管道煤气  装修好,单价29058元/平米,188,| 2室1厅 | 64.7平米 | 南 | 简装,中楼层(共31层)  2007年建塔楼  -,
骏景花园 豪华复式 视野开阔,单价27679元/平米,620,| 5室2厅 | 224平米 | 东 | 简装,高楼层(共12层)  2000年建塔楼  -,
金建苑 独栋电梯小高层 稀缺房源,单价22118元/平米,188,| 3室1厅 | 85平米 | 北 | 简装,高楼层(共10层)  1995年建塔楼  -,
棠德花园 实用两房 业主换房出售,单价18334元/平米,99,| 2室1厅 | 54平米 | 东南 | 其他,高楼层(共9层)  1997年建塔楼  -,
MBA国际公寓 高层精装修 婚房投资首选,单价25000元/平米,135,| 1室1厅 | 54平米 | 西 | 简装,中楼层(共31层)  2007年建塔楼  -,
天河区最具性价比小区白领首选,单价25758元/平米,85,| 1室0厅 | 33平米 | 暂无数据 | 简装,高楼层(共19层)  2000年建塔楼  -,
美林湖畔花园 近地铁配套完善 复式楼,单价40845元/平米,420,| 4室2厅 | 102.83平米 | 西 | 精装,高楼层(共6层)  2005年建塔楼  -,
六运小区，中轴线，双地铁上盖，带学位,单价32666元/平米,155,| 1室1厅 | 47.45平米 | 西南 | 其他,高楼层(共8层)  1993年建塔楼  -,
通风干爽 户型方正 婚房首选 省一级学位,单价29979元/平米,400,| 3室2厅 | 133.43平米 | 东南 | 简装,中楼层(共15层)  1999年建塔楼  -,
天誉花园 两房改三房 高层视野好,单价39909元/平米,435,| 3室2厅 | 109平米 | 北 | 其他,高楼层(共31层)  1998年建塔楼  -,
