name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
锦绣生态园春满园 大三房 送私人露台,单价12322元/平米,138,| 3室2厅 | 112平米 | 东北 | 精装,高楼层(共6层)  2001年建塔楼  -,
丽江花园 星海洲 三房两厅 精装,单价16832元/平米,170,| 3室2厅 | 101平米 | 东南 | 精装,低楼层(共25层)  2008年建塔楼  -,
凯跃大厦，超好的地段，全明户型，得房率高,单价15910元/平米,70,| 2室1厅 | 44平米 | 南 | 其他,高楼层(共7层)  1995年建塔楼  -,
富丽家园富泽居 实用三房2厅,单价18000元/平米,135,| 3室2厅 | 75平米 | 北 | 其他,高楼层(共6层)  1995年建塔楼  -,
翠屏苑 南向三房出售,单价13529元/平米,120,| 3室2厅 | 88.7平米 | 南 | 简装,高楼层(共6层)  2001年建塔楼  -,
祈福新村 晓峰园电梯高层 南向单位,单价15239元/平米,160,| 3室2厅 | 105平米 | 北 | 简装,高楼层(共35层)  1995年建塔楼  -,
丽江花园左岸全线江景豪华型装修大三房,单价23077元/平米,300,| 3室1厅 | 130平米 | 东南 | 简装,低楼层(共18层)  2008年建塔楼  -,
祈福新村月明轩 半山精致两房保养新环境好,单价16667元/平米,105,| 2室2厅 | 63平米 | 北 | 其他,中楼层(共6层)  1995年建塔楼  -,
南国奥园 带车位 带豪华装修 可拎包入住,单价22917元/平米,550,| 4室2厅 | 240平米 | 南 | 精装,高楼层(共28层)  2006年建塔楼  -,
生态园 大三房,单价13044元/平米,120,| 3室2厅 | 92平米 | 北 | 精装,高楼层(共6层)  2001年建塔楼  -,
祈福翠怡居 1楼带花园 三房两卫 过5年,单价15218元/平米,140,| 3室2厅 | 92平米 | 北 | 精装,低楼层(共5层)  1995年建塔楼  -,
祈福新村湖景居 南向单位 保养新净,单价12879元/平米,102,| 3室2厅 | 79.2平米 | 南 | 其他,中楼层(共4层)  1995年建塔楼  -,
雅逸庭西南向大两房 装修保养新,单价20527元/平米,195,| 2室2厅 | 95平米 | 西南 | 简装,低楼层(共11层)  2010年建塔楼  -,
富丽家园 精致小三房 南北通透 降价急售,单价10733元/平米,82,| 3室1厅 | 76.4平米 | 南 | 精装,高楼层(共7层)  1998年建塔楼  -,
祈福新村湖景居 三房套房 南向单边位置,单价13040元/平米,133,| 3室2厅 | 102平米 | 南 | 精装,中楼层(共4层)  1995年建塔楼  -,
灏湖居独立别墅 毛坯单位 过五年不唯一,单价43397元/平米,1380,| 5室2厅 | 318平米 | 南 | 毛坯,低楼层(共1层)  2010年建  -,
祈福新村海晴居 精致3方 诚意出售,单价16667元/平米,155,| 3室2厅 | 93平米 | 北 | 精装,中楼层(共6层)  1995年建塔楼  -,
锦绣银湾 豪华别墅 高性价比户型 免重税,单价29802元/平米,450,| 4室2厅 | 151平米 | 南 | 精装,低楼层(共1层)  2007年建  -,
锦绣生态园 黄金楼层 3房出售,单价15152元/平米,150,| 3室2厅 | 99平米 | 东北 | 简装,中楼层(共6层)  2001年建塔楼  -,
祈福新村湖景居 南向两房单位 婚房首选,单价14333元/平米,88,| 2室2厅 | 61.4平米 | 南 | 简装,中楼层(共4层)  1995年建塔楼  -,
祈福新村C区 实用大两房带大露台 精装修,单价12163元/平米,90,| 2室2厅 | 74平米 | 北 | 简装,高楼层(共4层)  1995年建塔楼  -,
星河湾二期 平层小三房 南北对流 性价高,单价23233元/平米,230,| 3室2厅 | 99平米 | 南 | 简装,低楼层(共9层)  2001年建塔楼  -,
新月明珠 地铁上盖 成熟热门小区,单价21572元/平米,280,| 4室2厅 | 129.8平米 | 南 | 其他,中楼层(共23层)  2007年建塔楼  -,
桥福园 地铁学位房 证过2年 南向精装修,单价14384元/平米,105,| 2室2厅 | 73平米 | 南 | 简装,中楼层(共6层)  2000年建塔楼  -,
丽江花园华林居方正3房 西南向 光线充足,单价19039元/平米,198,| 3室1厅 | 104平米 | 西南 | 精装,高楼层(共6层)  2008年建塔楼  -,
锦绣生态园乐满园 精装修保养好 望花园,单价12953元/平米,136,| 3室2厅 | 105平米 | 北 | 精装,低楼层(共6层)  2001年建塔楼  -,
广州碧桂园 精致设计 户型方正 带大花园,单价20455元/平米,405,| 4室2厅 | 198平米 | 东南 | 简装,低楼层(共6层)  1998年建塔楼  -,
锦绣香江 顶楼复式单位 西南向 保养很好,单价20492元/平米,375,| 5室2厅 | 183平米 | 西南 | 精装,高楼层(共9层)  2004年建塔楼  -,
锦绣生态园水云居 南向4房,单价16918元/平米,225,| 4室2厅 | 133平米 | 南 | 其他,高楼层(共11层)  2001年建塔楼  -,
锦绣生态园 大三房,单价12617元/平米,135,| 3室2厅 | 107平米 | 北 | 简装,中楼层(共6层)  2001年建塔楼  -,
自在城市花园 南向两房 拎包入住,单价15585元/平米,120,| 2室1厅 | 77平米 | 东南 | 简装,低楼层(共11层)  2004年建塔楼  -,
丽江花园 丽茹楼 豪华装修 户型方正,单价14394元/平米,95,| 2室2厅 | 66平米 | 西南 | 简装,低楼层(共9层)  2008年建塔楼  -,
丽江花园康城居 低密度花园小区 宽敞4房,单价17242元/平米,300,| 4室2厅 | 174平米 | 东南 | 简装,高楼层(共9层)  1999年建塔楼  -,
海龙湾画水轩望江三房出售,单价25363元/平米,350,| 3室1厅 | 138平米 | 东南 | 其他,高楼层(共9层)  2004年建塔楼  -,
祈福新村 活力花园4房放卖 过五年保养好,单价19737元/平米,300,| 4室2厅 | 152平米 | 北 | 简装,低楼层(共21层)  1995年建塔楼  -,
自在明苑 舒适大二房,单价15169元/平米,135,| 2室2厅 | 89平米 | 北 | 精装,中楼层(共10层)  2004年建塔楼  -,
丽江花园 新装带露台 温馨两房 送家电,单价14993元/平米,100,| 2室2厅 | 66.7平米 | 西北 | 简装,低楼层(共9层)  2008年建塔楼  -,
漾翠苑 89平 小三房,单价20225元/平米,180,| 3室2厅 | 89平米 | 西北 | 简装,中楼层(共7层)  2001年建塔楼  -,
绿怡花园 实用户型 看房方便,单价20102元/平米,398,| 4室2厅 | 198平米 | 北 | 简装,低楼层(共1层)  1995年建  -,
链家满堂红 奥林匹克西街 精致两房正南向,单价22472元/平米,200,| 2室2厅 | 89平米 | 南 | 其他,高楼层(共12层)  2002年建塔楼  -,
漾翠苑 90平 两房,单价20556元/平米,185,| 2室2厅 | 90平米 | 西 | 简装,中楼层(共7层)  2001年建塔楼  -,
地铁附近盖 五分钟 视野开阔 光线好,单价16053元/平米,122,| 2室2厅 | 76平米 | 西 | 精装,中楼层(共8层)  1997年建塔楼  -,
丽江花园棕榈滩 带车库别墅 安静成熟小区,单价29000元/平米,580,| 5室2厅 | 200平米 | 东南 | 简装,低楼层(共1层)  2008年建  -,
南国奥园 洛区刚需三房 地铁上盖 学区房,单价21187元/平米,250,| 3室2厅 | 118平米 | 南 | 简装,中楼层(共5层)  2006年建塔楼  -,
迎风阁 保养新净 证过5年唯一物业,单价19027元/平米,215,| 3室2厅 | 113平米 | 东北 | 精装,低楼层(共32层)  2005年建塔楼  -,
丽江花园丽彦楼 2室2厅 98万,单价14849元/平米,98,| 2室2厅 | 66平米 | 西南 | 简装,高楼层(共9层)  2008年建塔楼  -,
康城居 方正四房 地铁沿线 看楼提前约,单价15334元/平米,184,| 4室2厅 | 120平米 | 东北 | 简装,低楼层(共9层)  1999年建塔楼  -,
祈福新村 山泉居 温馨小两房 过五唯一,单价15874元/平米,100,| 2室1厅 | 63平米 | 北 | 简装,低楼层(共6层)  2004年建板楼  -,
康怡居  3房2厅  实用户型,单价15000元/平米,120,| 3室2厅 | 80平米 | 北 | 简装,高楼层(共6层)  1995年建塔楼  -,
锦绣生态园乐满园 精装修保养好,单价14085元/平米,100,| 2室2厅 | 71平米 | 南 | 其他,高楼层(共6层)  2001年建塔楼  -,
侨基花园 电梯高层3房 港式设计,单价10603元/平米,88,| 3室1厅 | 83平米 | 北 | 精装,高楼层(共32层)  1998年建塔楼  -,
锦绣生态园菁华轩 74平2室,单价14865元/平米,110,| 2室2厅 | 74平米 | 东北 | 精装,低楼层(共6层)  2001年建塔楼  -,
海龙湾 精致三房 过五唯一,单价18096元/平米,190,| 3室2厅 | 105平米 | 东南 | 精装,低楼层(共11层)  2004年建塔楼  -,
倚翠苑复式5房,单价15910元/平米,280,| 5室2厅 | 176平米 | 北 | 简装,高楼层(共11层)  2001年建塔楼  -,
黄金楼层~空气好~房子好,单价17143元/平米,120,| 2室1厅 | 70平米 | 北 | 精装,中楼层(共6层)  1999年建塔楼  -,
华景新城 92方实用三房,单价13914元/平米,128,| 3室2厅 | 92平米 | 南 | 其他,中楼层(共7层)  1999年建塔楼  -,
锦绣香江 实用大两房 南向 格局方正,单价26445元/平米,238,| 2室2厅 | 90平米 | 南 | 精装,低楼层(共18层)  2004年建塔楼  -,
华南碧桂园 拥翠街 少有三房放卖,单价19388元/平米,190,| 3室2厅 | 98平米 | 东北 | 简装,低楼层(共18层)  2001年建塔楼  -,
福泰园 全新精装修 南北对流 采光一流,单价13816元/平米,105,| 2室1厅 | 76平米 | 南 | 其他,中楼层(共8层)  1995年建塔楼  -,
香港业主一手过五年、少住保养新,单价13158元/平米,75,| 2室2厅 | 57平米 | 南 | 精装,低楼层(共4层)  1995年建塔楼  -,
丽江花园 丽字楼 装修好 光线好,单价15341元/平米,135,| 3室2厅 | 88平米 | 东北 | 精装,高楼层(共9层)  2008年建塔楼  -,
珠殿苑 户型方正实用两房 采光好,单价11268元/平米,80,| 2室1厅 | 71平米 | 南 | 其他,低楼层(共9层)  1996年建塔楼  -,
华南碧桂园 翠山蓝天 新装修一楼带花园,单价17450元/平米,260,| 3室2厅 | 149平米 | 南 | 精装,低楼层(共8层)  2001年建塔楼  -,
新月明珠花园 地铁上盖 高层方正四房,单价21706元/平米,280,| 4室2厅 | 129平米 | 东 | 其他,高楼层(共23层)  2007年建塔楼  -,
北丽园 精装修 三房 临地铁 拎包入住,单价13085元/平米,140,| 3室1厅 | 107平米 | 南 | 简装,高楼层(共7层)  1995年建塔楼  -,
丽字楼东南向三房,单价14607元/平米,130,| 3室2厅 | 89平米 | 东南 | 简装,高楼层(共9层)  2008年建塔楼  -,
富丽家园精装实用三房 南北对流,单价12366元/平米,115,| 3室1厅 | 93平米 | 南 | 精装,高楼层(共7层)  1995年建塔楼  -,
富豪山庄 盛翠华庭 单边三房3阳台,单价16134元/平米,220,| 3室2厅 | 136.36平米 | 北 | 其他,低楼层(共17层)  塔楼  -,
锦绣生态园 3房出售  保养好  中间楼,单价15439元/平米,176,| 3室2厅 | 114平米 | 南 | 其他,中楼层(共6层)  2001年建塔楼  -,
南蒲海滨花园海虹居，南北对流，交通便利,单价17143元/平米,240,| 4室2厅 | 140平米 | 南 | 其他,高楼层(共5层)  2002年建塔楼  -,
江南新村 三房精装修  急卖,单价10541元/平米,78,| 3室1厅 | 74平米 | 南 | 其他,高楼层(共7层)  1998年建塔楼  -,
锦绣生态园趣园 94方三房 南向中间楼层,单价16026元/平米,150,| 3室2厅 | 93.6平米 | 南 | 精装,中楼层(共6层)  2001年建塔楼  -,
自在城市花园雅苑刚需三房 证过五,单价17088元/平米,176,| 3室2厅 | 103平米 | 南 | 简装,中楼层(共10层)  2004年建塔楼  -,
广州雅居乐花园 温馨三房 望花园 保养新,单价24500元/平米,245,| 3室2厅 | 100平米 | 南 | 其他,中楼层(共9层)  2010年建塔楼  -,
过五年唯一 免重税 带车位,单价20173元/平米,280,| 3室2厅 | 138.8平米 | 西北 | 其他,高楼层(共9层)  2010年建塔楼  -,
广州奥林匹克花园豪装三房正南向采光超好,单价22223元/平米,220,| 3室2厅 | 99平米 | 南 | 精装,低楼层(共6层)  2002年建塔楼  -,
洛涛居北区过五年唯一住房送花园艺,单价30556元/平米,220,| 2室1厅 | 72平米 | 南 | 其他,低楼层(共6层)  1999年建塔楼  -,
南奥花园 地铁上盖 环境幽雅,单价18645元/平米,220,| 3室2厅 | 118平米 | 东南 | 精装,高楼层(共6层)  2006年建塔楼  -,
朗陶居 精致三房 带独立天台 过五唯一,单价12245元/平米,120,| 3室2厅 | 98平米 | 东 | 简装,高楼层(共7层)  2001年建塔楼  -,
锦绣生态园倚翠苑 95方3房,单价12948元/平米,123,| 3室2厅 | 95平米 | 东 | 其他,高楼层(共6层)  2001年建塔楼  -,
自在城市花园 精装三房 拎包入住,单价17143元/平米,132,| 2室2厅 | 77平米 | 东南 | 简装,高楼层(共10层)  2004年建塔楼  -,
丽江花园 星海洲 东南向三房 装修保养好,单价16364元/平米,180,| 3室2厅 | 110平米 | 东南 | 简装,低楼层(共25层)  2008年建塔楼  -,
雅苑 南向三房 配套齐全 拎包入住,单价17088元/平米,176,| 3室2厅 | 103平米 | 南 | 简装,低楼层(共10层)  2004年建塔楼  -,
祈福新村 康怡居 南向2房 保养干净,单价16691元/平米,115,| 2室2厅 | 68.9平米 | 南 | 其他,低楼层(共6层)  1995年建塔楼  -,
华南碧桂园 漾翠苑 60方精装小两房,单价20834元/平米,125,| 2室2厅 | 60平米 | 西北 | 其他,中楼层(共7层)  2001年建塔楼  -,
祈福新村山泉居 精致刚需两房 首付低,单价16667元/平米,105,| 2室2厅 | 63平米 | 北 | 其他,低楼层(共6层)  2004年建板楼  -,
祈福新村翠湖居E区南向稀有单位 豪华装修,单价22878元/平米,318,| 4室2厅 | 139平米 | 南 | 精装,低楼层(共6层)  1995年建塔楼  -,
朗陶居 顶楼复式 带天台花园,单价12394元/平米,145,| 4室2厅 | 117平米 | 南 | 其他,高楼层(共6层)  2001年建塔楼  -,
祈福新村月明轩 精美两房 位置佳 首付低,单价17188元/平米,110,| 2室2厅 | 64平米 | 北 | 精装,低楼层(共6层)  1995年建塔楼  -,
趣园南街 稀有独特三房 南向笋盘,单价11608元/平米,130,| 3室2厅 | 112平米 | 南 | 毛坯,中楼层(共6层)  2001年建塔楼  -,
诺德名都 舒适大三房 清爽干净 配套完善,单价20000元/平米,200,| 3室2厅 | 100平米 | 东南 | 毛坯,高楼层(共30层)  2004年建塔楼  -,
祈福新村 温馨大两房，新婚安居首选,单价17772元/平米,140,| 2室2厅 | 78.78平米 | 南 | 其他,低楼层(共6层)  2004年建板楼  -,
丽江花园 德字楼 温馨两房中层采光一流,单价17165元/平米,115,| 2室2厅 | 67平米 | 东 | 简装,中楼层(共16层)  2008年建塔楼  -,
丽水湾 电梯黄金楼层 格局方正,单价18500元/平米,148,| 3室2厅 | 80平米 | 北 | 简装,低楼层(共11层)  1995年建塔楼  -,
洛湖居 豪华装修三房 天台带花园,单价15029元/平米,130,| 3室2厅 | 86.5平米 | 北 | 简装,高楼层(共7层)  1999年建塔楼  -,
锦绣生态园（倚翠苑） 南向园景单位,单价12963元/平米,140,| 3室2厅 | 108平米 | 南 | 简装,高楼层(共6层)  2001年建塔楼  -,
锦绣生态园春满园 实用三房出售,单价13450元/平米,108,| 3室1厅 | 80.3平米 | 北 | 其他,高楼层(共6层)  2001年建塔楼  -,
南国奥园 一楼带花园 双地铁上盖 学位房,单价25000元/平米,450,| 6室2厅 | 180平米 | 北 | 简装,低楼层(共6层)  2006年建塔楼  -,
洛湖居 精致装修 实用南向三房,单价19737元/平米,150,| 3室2厅 | 76平米 | 南 | 简装,低楼层(共7层)  1999年建塔楼  -,
北丽园地铁上盖 学位房 舒适户型,单价10953元/平米,115,| 3室1厅 | 105平米 | 南 | 简装,中楼层(共7层)  1995年建塔楼  -,
祈福新村青怡居 小三房家私家电齐出租,单价13530元/平米,115,| 3室2厅 | 85平米 | 北 | 精装,中楼层(共5层)  1995年建塔楼  -,
华荟明苑 精装3房 望江单位 稀缺房源,单价23729元/平米,280,| 3室2厅 | 118平米 | 北 | 其他,低楼层(共3层)  2002年建塔楼  -,
生态园黄金楼层放卖,单价12848元/平米,185,| 4室2厅 | 144平米 | 南 | 简装,低楼层(共6层)  2001年建塔楼  -,
丽江花园丽字楼 实用三房 电梯中层,单价13637元/平米,120,| 3室2厅 | 88平米 | 西南 | 简装,中楼层(共9层)  2008年建塔楼  -,
桥福园 地铁上盖 电梯三房,单价12170元/平米,129,| 3室2厅 | 106平米 | 北 | 简装,低楼层(共16层)  2000年建塔楼  -,
丽江花园华林居 方正3房 光线充足,单价19770元/平米,240,| 3室2厅 | 121.4平米 | 南 | 简装,中楼层(共5层)  2008年建塔楼  -,
丽江花园左岸 望江电梯高层 方正三房,单价25794元/平米,325,| 3室2厅 | 126平米 | 东 | 精装,高楼层(共16层)  2008年建塔楼  -,
金城花园 精装复式 带学位 过五年,单价11185元/平米,170,| 5室2厅 | 152平米 | 暂无数据 | 简装,高楼层(共8层)  2000年建塔楼  -,
锦绣趣园 南向3房,单价14350元/平米,138,| 3室2厅 | 96.17平米 | 南 | 精装,中楼层(共6层)  2001年建塔楼  -,
桥福园 3房2厅 居家装修 即买即赚,单价11950元/平米,141,| 3室2厅 | 118平米 | 南 | 精装,高楼层(共7层)  2000年建塔楼  -,
南国奥园 刚需三房 双地铁上盖 学位房,单价19328元/平米,230,| 3室2厅 | 119平米 | 南 | 简装,中楼层(共5层)  2006年建塔楼  -,
桥福园 近地铁 学位房 温馨三房,单价14607元/平米,130,| 3室2厅 | 89平米 | 西北 | 精装,高楼层(共16层)  2000年建塔楼  -,
洛湖居小三房 低楼层格局方正 周边配套好,单价16936元/平米,105,| 3室1厅 | 62平米 | 北 | 简装,低楼层(共7层)  1999年建塔楼  -,
金城花园 格局方正 精装修 少税,单价12963元/平米,105,| 3室2厅 | 81平米 | 北 | 其他,高楼层(共12层)  2000年建塔楼  -,
锦绣趣园 小两房72方,单价13928元/平米,100,| 2室2厅 | 71.8平米 | 东北 | 简装,中楼层(共6层)  2001年建塔楼  -,
祈福新村 倚湖湾 望园区高层观景房,单价18368元/平米,180,| 3室2厅 | 98平米 | 北 | 精装,中楼层(共33层)  1995年建塔楼  -,
星河湾荟心园西单边位一线江景八角型主人房,单价28948元/平米,550,| 4室2厅 | 190平米 | 南 | 精装,中楼层(共9层)  2001年建塔楼  -,
雅悦庭 东南向 方正大两房 通风采光好,单价22989元/平米,200,| 2室2厅 | 87平米 | 东 | 精装,中楼层(共11层)  2010年建塔楼  -,
富庭华园 精装2房 南北对流 家私电器齐,单价18105元/平米,128,| 2室1厅 | 70.7平米 | 南 | 其他,中楼层(共7层)  2002年建塔楼  -,
丽江花园华林居 装修保养好 方正四房,单价19265元/平米,220,| 4室2厅 | 114.2平米 | 东北 | 其他,中楼层(共5层)  2008年建塔楼  -,
一尺山居高层三房 过五年唯一住房,单价25500元/平米,255,| 3室2厅 | 100平米 | 东南 | 精装,高楼层(共23层)  2010年建塔楼  -,
金海岸花园观海 毛坯三房 南向望林景,单价18750元/平米,195,| 3室2厅 | 104平米 | 东南 | 简装,低楼层(共16层)  2002年建塔楼  -,
丽江花园 康城居高层 装修保养好,单价15417元/平米,148,| 3室2厅 | 96平米 | 西北 | 简装,高楼层(共9层)  1999年建塔楼  -,
南国奥林匹克花园 雅区复式 双地铁有钥匙,单价16460元/平米,265,| 5室2厅 | 161平米 | 东北 | 简装,高楼层(共5层)  2006年建塔楼  -,
朗陶居 精致3房 望公园园景,单价13889元/平米,125,| 3室2厅 | 90平米 | 北 | 其他,低楼层(共7层)  2001年建塔楼  -,
锦绣生态园春满园出售3房,单价12565元/平米,115,| 3室2厅 | 91.53平米 | 北 | 简装,中楼层(共6层)  2001年建塔楼  -,
丽江花园 黄金楼层 地铁上盖 格局合理,单价14729元/平米,95,| 2室2厅 | 64.5平米 | 东北 | 其他,中楼层(共9层)  2008年建塔楼  -,
丽江花园丽字楼 少有一字厅 过五年 高层,单价14445元/平米,130,| 3室2厅 | 90平米 | 西北 | 简装,高楼层(共9层)  2008年建塔楼  -,
丽江花园 华林居 精品三房 高楼层,单价18812元/平米,190,| 3室1厅 | 101平米 | 西北 | 精装,高楼层(共8层)  1996年建塔楼  -,
祈福新村C区 温馨大两房,单价11819元/平米,78,| 2室2厅 | 66平米 | 北 | 其他,低楼层(共3层)  1995年建塔楼  -,
长江数码花园 南向2房,单价12581元/平米,78,| 2室2厅 | 62平米 | 南 | 简装,高楼层(共6层)  2000年建塔楼  -,
锦绣生态园 格局方正 阳光充足,单价16667元/平米,115,| 2室2厅 | 69平米 | 西 | 简装,低楼层(共6层)  2001年建塔楼  -,
南国奥园 高层观景电梯房 学区房 地铁房,单价20349元/平米,175,| 2室2厅 | 86平米 | 北 | 简装,高楼层(共17层)  2006年建塔楼  -,
丽江花园 康城居两房 装修新,单价17143元/平米,120,| 2室2厅 | 70平米 | 西北 | 精装,高楼层(共9层)  1999年建塔楼  -,
祈福新村海晴居，南向三房，厅出阳台,单价18812元/平米,190,| 3室2厅 | 101平米 | 南 | 精装,中楼层(共6层)  1995年建塔楼  -,
温暖又温馨，星河湾真的给你不一样,单价23256元/平米,300,| 3室2厅 | 129平米 | 北 | 精装,中楼层(共9层)  2001年建塔楼  -,
自在城市花园雅苑三房售 东南向 望园景,单价14214元/平米,140,| 3室2厅 | 98.5平米 | 西南 | 简装,高楼层(共10层)  2004年建塔楼  -,
锦绣生态园 电梯高楼层 毛坯4房 东南向,单价17294元/平米,230,| 4室2厅 | 133平米 | 南 | 毛坯,中楼层(共16层)  2001年建塔楼  -,
番禺 市桥南 御院 一楼带大花园,单价20000元/平米,280,| 4室2厅 | 140平米 | 南 | 其他,低楼层(共17层)  2005年建塔楼  -,
雅居乐花园 雅逸庭 三房带主套 保养新净,单价20643元/平米,270,| 3室2厅 | 130.8平米 | 西 | 精装,中楼层(共11层)  2010年建塔楼  -,
锦绣生态园 南向3房,单价14118元/平米,168,| 3室2厅 | 119平米 | 南 | 精装,低楼层(共6层)  2001年建塔楼  -,
祈福新村别墅 南向中间位 精装过五年,单价15900元/平米,380,| 7室2厅 | 239平米 | 南 | 其他,低楼层(共1层)  1995年建  -,
星河湾荟心园 豪装4房 户型方正 采光好,单价24469元/平米,460,| 4室2厅 | 188平米 | 南 | 简装,低楼层(共9层)  2001年建塔楼  -,
锦绣生态园倚翠苑 电梯楼超值单边位,单价14000元/平米,166.6,| 3室2厅 | 119平米 | 北 | 简装,低楼层(共11层)  2001年建塔楼  -,
锦绣趣园两房改3房简装修,单价15000元/平米,111,| 3室2厅 | 74平米 | 北 | 简装,高楼层(共6层)  2001年建塔楼  -,
锦绣生态园 大三房 南向户型,单价14815元/平米,160,| 3室2厅 | 108平米 | 南 | 毛坯,低楼层(共6层)  2001年建塔楼  -,
趣园南街 靓楼层 格局好 温馨三房,单价13863元/平米,141.4,| 3室2厅 | 102平米 | 东北 | 其他,中楼层(共6层)  2001年建塔楼  -,
复式南向园景完美4房,单价10363元/平米,220,| 4室2厅 | 212.3平米 | 南 | 毛坯,高楼层(共6层)  2001年建塔楼  -,
富庭东园 精致3房 望花园 少税费低首付,单价16982元/平米,180,| 3室2厅 | 106平米 | 东 | 简装,高楼层(共7层)  2002年建塔楼  -,
华南碧桂园 六米阳光 超大空中花园平台,单价19418元/平米,400,| 4室2厅 | 206平米 | 南 | 简装,低楼层(共18层)  2001年建塔楼  -,
祈福新村倚湖湾 新颖四房 南北对流,单价16667元/平米,200,| 4室2厅 | 120平米 | 北 | 其他,中楼层(共5层)  1995年建塔楼  -,
海滨花园 业主出国急卖 精装修送家电,单价17425元/平米,115,| 2室2厅 | 66平米 | 南 | 其他,中楼层(共8层)  1998年建塔楼  -,
市桥南 绿庭雅苑 中装修 低价出售,单价12190元/平米,108,| 3室2厅 | 88.6平米 | 北 | 简装,高楼层(共7层)  2005年建塔楼  -,
丽江花园 德字楼 豪华三房 户型方正,单价18447元/平米,190,| 3室2厅 | 103平米 | 东南 | 精装,低楼层(共16层)  2008年建塔楼  -,
长大公司 新精装修 温馨两房,单价14551元/平米,110,| 2室2厅 | 75.6平米 | 南 | 简装,中楼层(共9层)  1998年建塔楼  -,
吉祥上街精装三房 全新未住 三面采光,单价13889元/平米,100,| 3室2厅 | 72平米 | 南 | 简装,中楼层(共7层)  塔楼  -,
祈福新村 蝶舞轩 稀缺南向4房 采光一流,单价14630元/平米,158,| 4室2厅 | 108平米 | 南 | 简装,高楼层(共6层)  1995年建塔楼  -,
南奥一楼带花园 免费车位 诚心出售,单价24075元/平米,260,| 3室2厅 | 108平米 | 南 | 精装,低楼层(共5层)  2006年建塔楼  -,
丽江花园 德字楼 电梯高层 精装两房,单价18383元/平米,125,| 2室2厅 | 68平米 | 西南 | 精装,高楼层(共20层)  1997年建塔楼  -,
星河湾星座园奢华中高层,单价24391元/平米,500,| 4室2厅 | 205平米 | 南 | 精装,中楼层(共16层)  2001年建塔楼  -,
雅典花园福宁苑 实用3房71平方 西南向,单价12958元/平米,92,| 3室2厅 | 71平米 | 西南 | 简装,中楼层(共12层)  1993年建塔楼  -,
