name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
卫生厅大院 大院管理 黄金楼层可改小三房,单价28338元/平米,190,| 2室2厅 | 67.05平米 | 东 | 精装,中楼层(共8层)  1985年建塔楼  -,
格局方正，非常实用，东南向三房,单价25822元/平米,220,| 3室2厅 | 85.2平米 | 东南 | 其他,高楼层(共7层)  塔楼  -,
大德路 高楼层 南北通透 拎包入住,单价24710元/平米,170,| 2室1厅 | 68.8平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
麓苑路小区 有学位 证过2年,单价25975元/平米,200,| 3室2厅 | 77平米 | 东北 | 简装,高楼层(共7层)  塔楼  -,
华乐路 靓两房 交通便利,单价29259元/平米,185,| 1室1厅 | 63.23平米 | 西北 | 其他,中楼层(共9层)  1990年建塔楼  -,
狮带岗小区 精致三房 随时看房,单价24445元/平米,220,| 3室1厅 | 90平米 | 东 | 其他,高楼层(共6层)  塔楼  -,
朝天路学位 67两房户型方正实用 光线好,单价29105元/平米,195,| 2室1厅 | 67平米 | 南 | 其他,高楼层(共6层)  塔楼  -,
高档社区 安静大四房 双地铁东风东学位,单价69329元/平米,1500,| 4室2厅 | 216.36平米 | 南 | 其他,中楼层(共29层)  2009年建塔楼  -,
太和岗带超大天台花园两房 装修温馨舒适,单价49123元/平米,280,| 2室1厅 | 57平米 | 南 | 其他,中楼层(共9层)  1995年建塔楼  -,
东兴大厦 四房 北向望风景,单价30070元/平米,430,| 4室2厅 | 143平米 | 北 | 其他,中楼层(共25层)  1990年建塔楼  -,
嘉富广场 配套完善 交通方便 环境优美,单价33334元/平米,720,| 5室2厅 | 216平米 | 南 | 简装,高楼层(共32层)  1999年建塔楼  -,
金迪大厦 精致两房 诚意出售,单价37932元/平米,220,| 2室1厅 | 58平米 | 西南 | 其他,中楼层(共28层)  2002年建塔楼  -,
交通方便 出行便利 环境优美,单价26667元/平米,168,| 2室1厅 | 63平米 | 东南 | 精装,中楼层(共7层)  2000年建塔楼  -,
水荫路 精装大三房 毗邻水荫路小学,单价24000元/平米,276,| 3室1厅 | 115平米 | 东 | 精装,高楼层(共9层)  塔楼  -,
红顶E区 省级学位 南北对流 旱有放盘,单价32531元/平米,270,| 3室2厅 | 83平米 | 南 | 其他,高楼层(共9层)  1986年建塔楼  -,
德兴苑 南向高层 望江单位,单价27967元/平米,330,| 4室2厅 | 118平米 | 西南 | 简装,高楼层(共24层)  1998年建塔楼  -,
福莱花园 豪华电梯两房 拎包入住 入读名,单价30527元/平米,290,| 2室2厅 | 95平米 | 西北 | 精装,低楼层(共30层)  1997年建塔楼  -,
越秀上品轩 真正地铁上盖 豪装舒适三房,单价49276元/平米,680,| 3室2厅 | 138平米 | 东南 | 简装,高楼层(共31层)  2010年建塔楼  -,
东风西路 低层实用两房 南北朝向,单价25099元/平米,128,| 2室1厅 | 51平米 | 南 | 简装,中楼层(共9层)  1987年建塔楼  -,
东风东路  自动化大厦  格局方正,单价36364元/平米,400,| 3室2厅 | 110平米 | 东北 | 简装,高楼层(共15层)  1995年建塔楼  -,
湖滨小区 环境优美 生活便利 温馨小两房,单价23235元/平米,128,| 2室1厅 | 55.09平米 | 东南 | 其他,低楼层(共6层)  1993年建塔楼  -,
东兴南路 地铁上盖 超大两房,单价25080元/平米,158,| 2室1厅 | 63平米 | 暂无数据 | 简装,高楼层(共9层)  1995年建塔楼  -,
楼王南向大户型  视野开阔 省级学位,单价62223元/平米,1400,| 5室2厅 | 225平米 | 南 | 精装,中楼层(共30层)  2008年建塔楼  -,
优质商品房,单价18104元/平米,105,| 2室1厅 | 58平米 | 东北 | 简装,中楼层(共9层)  1990年建塔楼  -,
羊和园 少有放盘 三房南向,单价50237元/平米,638,| 3室2厅 | 127平米 | 南 | 精装,高楼层(共29层)  塔楼  -,
德政中路　低层两房,单价25455元/平米,140,| 2室1厅 | 55平米 | 南 | 简装,中楼层(共9层)  塔楼  -,
丰景大厦 环境安静 精装修 带省级学位,单价45000元/平米,540,| 3室2厅 | 120平米 | 东南 | 其他,高楼层(共27层)  1998年建塔楼  -,
金麓山庄  南向两房可改三房 省一级学位,单价23087元/平米,187,| 2室2厅 | 81平米 | 南 | 简装,中楼层(共9层)  1997年建塔楼  -,
中山二路 东南靓向 核心地段 生活便利,单价35000元/平米,560,| 3室2厅 | 160平米 | 暂无数据 | 简装,低楼层(共25层)  塔楼  -,
竹丝岗大马路 楼梯三房 闹中取静 双地铁,单价26437元/平米,230,| 3室2厅 | 87平米 | 暂无数据 | 其他,高楼层(共9层)  1990年建塔楼  -,
东湖豪苑中层三房 过五不唯一,单价50000元/平米,520,| 3室2厅 | 104平米 | 东北 | 其他,中楼层(共28层)  塔楼  -,
实用率超高 户型方正 省级名校,单价26944元/平米,260,| 3室2厅 | 96.5平米 | 南 | 简装,高楼层(共9层)  1995年建塔楼  -,
青菜东街 自住投资相宜 实用一房,单价24546元/平米,108,| 1室1厅 | 44平米 | 南 | 其他,中楼层(共7层)  1990年建塔楼  -,
德兴苑 高层电梯一房 总价低 地铁口,单价26191元/平米,110,| 1室1厅 | 42平米 | 北 | 简装,中楼层(共24层)  1998年建塔楼  -,
五羊K区 精致三房两厅 过五唯一,单价28975元/平米,226,| 3室2厅 | 78平米 | 东南 | 简装,高楼层(共9层)  1986年建塔楼  -,
间隔方正 温馨舒适 带省一级小学学位,单价29167元/平米,210,| 2室1厅 | 72平米 | 北 | 简装,中楼层(共8层)  1986年建塔楼  -,
嘉骏苑 稀缺电梯复式 可遇不可求,单价46117元/平米,950,| 5室2厅 | 206平米 | 东 | 精装,高楼层(共32层)  2001年建塔楼  -,
电视台大院 实用两房 大院管理 环境优美,单价27273元/平米,180,| 2室2厅 | 66平米 | 南 | 精装,低楼层(共25层)  1991年建塔楼  -,
庙前西街  署前学位  住家首选,单价41809元/平米,245,| 2室1厅 | 58.6平米 | 西南 | 简装,中楼层(共9层)  塔楼  -,
东湖新村 低层两房一厅 小区管理,单价28806元/平米,193,| 2室1厅 | 67平米 | 东 | 其他,中楼层(共6层)  1986年建塔楼  -,
水荫路34号大院 低层精装三房 南北向,单价33378元/平米,280,| 3室2厅 | 83.89平米 | 南 | 简装,低楼层(共9层)  1989年建塔楼  -,
小北路 蟹岗道 电梯三房 超高使用率,单价40073元/平米,400,| 3室2厅 | 99.82平米 | 东北 | 简装,低楼层(共20层)  塔楼  -,
实用舒适单位 配套完善,单价27356元/平米,160,| 2室2厅 | 58.49平米 | 南 | 其他,低楼层(共6层)  1990年建塔楼  -,
商住中心 户型方正 黄金楼层 地铁上盖,单价28258元/平米,180,| 4室0厅 | 63.7平米 | 西 | 精装,低楼层(共9层)  2000年建塔楼  -,
仙湖街大院 实用两房 南北向 低层,单价23881元/平米,160,| 2室1厅 | 67平米 | 南 | 其他,中楼层(共8层)  1990年建塔楼  -,
梓元东小区 南北通透 温馨两房,单价12464元/平米,86,| 2室1厅 | 69平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
大南路大院三房两厅 光线好,单价16026元/平米,125,| 3室2厅 | 78平米 | 东北 | 简装,高楼层(共9层)  塔楼  -,
广东国际大厦   西南向两房  商住两用,单价22728元/平米,200,| 2室1厅 | 88平米 | 西南 | 精装,低楼层(共35层)  1990年建塔楼  -,
淘金路淘金坑黄金楼层独家3房华侨学位,单价31948元/平米,282,| 3室2厅 | 88.27平米 | 南 | 简装,中楼层(共8层)  塔楼  -,
花果山庄 温馨两居室 阳台望花园 学位房,单价22500元/平米,180,| 2室1厅 | 80平米 | 东 | 简装,高楼层(共9层)  2000年建塔楼  -,
拥翠小区 框架两房 房改唯一 名校学位房,单价29566元/平米,136,| 2室1厅 | 46平米 | 东 | 简装,高楼层(共7层)  2000年建塔楼  -,
东山紫园 安静三房 通风采光好,单价52500元/平米,630,| 3室2厅 | 120平米 | 北 | 精装,低楼层(共17层)  2005年建塔楼  -,
电梯楼 证满2年,单价29959元/平米,179,| 2室1厅 | 59.75平米 | 西南 | 其他,中楼层(共24层)  1992年建塔楼  -,
水荫路 新装修三房 拎包入住 安静位置,单价28131元/平米,248,| 3室2厅 | 88.16平米 | 东北 | 精装,高楼层(共9层)  塔楼  -,
仓前大厦电梯楼急放,单价26693元/平米,97,| 1室1厅 | 36.34平米 | 东北 | 其他,高楼层(共18层)  1996年建塔楼  -,
华侨新村 安静三房 豪华装修,单价35938元/平米,230,| 3室2厅 | 64平米 | 西北 | 其他,高楼层(共10层)  2000年建塔楼  -,
德政中路 精致装修 农讲所地铁,单价25132元/平米,148,| 2室1厅 | 58.89平米 | 南 | 简装,中楼层(共9层)  塔楼  -,
德政中路 精致装修 农讲所地铁,单价23718元/平米,160,| 3室1厅 | 67.46平米 | 西南 | 简装,中楼层(共9层)  塔楼  -,
淘金家园 电梯低层三房 望园景,单价48361元/平米,590,| 3室2厅 | 122平米 | 东南 | 精装,中楼层(共30层)  2004年建塔楼  -,
东风西路 高层三房 通风采光,单价16735元/平米,135,| 3室2厅 | 80.67平米 | 南 | 其他,高楼层(共8层)  塔楼  -,
新悦楼 两房,单价22296元/平米,136,| 2室1厅 | 61平米 | 北 | 其他,高楼层(共9层)  1999年建塔楼  -,
广怡大厦 电梯三房带主套 正南向,单价50000元/平米,680,| 3室2厅 | 136平米 | 南 | 简装,中楼层(共30层)  1998年建塔楼  -,
东川长庚门 实用三房 近地铁 配套完善,单价28847元/平米,150,| 2室1厅 | 52平米 | 南 | 其他,低楼层(共9层)  1990年建塔楼  -,
水荫直街 中层小三房 交通方便,单价25424元/平米,150,| 3室1厅 | 59平米 | 东南 | 简装,中楼层(共8层)  1990年建塔楼  -,
青菜东街，证满五年，建六级学位,单价22617元/平米,135,| 2室1厅 | 59.69平米 | 东北 | 其他,高楼层(共9层)  1990年建塔楼  -,
好世界公寓 带有学位 小面积小投资,单价38889元/平米,140,| 1室0厅 | 36平米 | 北 | 简装,中楼层(共20层)  2006年建塔楼  -,
一德路德兴苑 中层电梯两房 北向厅出阳台,单价27849元/平米,220,| 2室1厅 | 79平米 | 北 | 其他,中楼层(共24层)  1998年建塔楼  -,
东南向 实用两房 住家装修 间隔方正,单价27420元/平米,170,| 2室1厅 | 62平米 | 东南 | 精装,高楼层(共7层)  2000年建塔楼  -,
新河浦路 安静三房 入读培正 证过2年,单价30865元/平米,250,| 3室2厅 | 81平米 | 南 | 精装,高楼层(共9层)  1995年建塔楼  -,
拥翠小区一房有学位可入户,单价29311元/平米,85,| 1室1厅 | 29平米 | 南 | 简装,低楼层(共7层)  2000年建塔楼  -,
嘉和苑 3期大三房 望流花湖公园,单价33000元/平米,471.9,| 3室2厅 | 143平米 | 北 | 简装,中楼层(共22层)  2003年建塔楼  -,
德安大厦 精致三房一厅 环境清净格局方正,单价43878元/平米,430,| 2室1厅 | 98平米 | 暂无数据 | 其他,高楼层(共23层)  2004年建塔楼  -,
麓湖阁 电梯三房 带学位 户型方正,单价34906元/平米,370,| 3室1厅 | 106平米 | 东北 | 其他,中楼层(共28层)  1995年建塔楼  -,
房建大厦 三面单边 新装三房 够五唯一,单价28814元/平米,340,| 3室2厅 | 118平米 | 西南 | 其他,中楼层(共25层)  1996年建塔楼  -,
璟泰大厦 精装一房 视野开阔,单价39474元/平米,300,| 1室1厅 | 76平米 | 东 | 简装,低楼层(共33层)  2003年建塔楼  -,
爱家园 大三房厅出阳台 环境好 楼龄新,单价37500元/平米,435,| 3室1厅 | 116平米 | 东北 | 其他,中楼层(共19层)  2000年建塔楼  -,
共和怡苑 电梯三房省级铁一学位 大院管理,单价44803元/平米,375,| 3室2厅 | 83.7平米 | 南 | 精装,低楼层(共9层)  1996年建塔楼  -,
永福楼 一楼带超大花园 超实用三房,单价23506元/平米,228,| 3室2厅 | 97平米 | 暂无数据 | 简装,低楼层(共10层)  1993年建塔楼  -,
德兴苑 正规两房 地铁上盖,单价31869元/平米,290,| 3室1厅 | 91平米 | 西北 | 其他,中楼层(共24层)  1998年建塔楼  -,
福莱花园 精装三房 东南向安静,单价30000元/平米,285,| 3室2厅 | 95平米 | 西北 | 简装,低楼层(共30层)  1997年建塔楼  -,
惠福西路 花园洋房,单价30108元/平米,280,| 3室3厅 | 93平米 | 东 | 其他,低楼层(共1层)  塔楼  -,
东兴小区 园林小区 间隔方正 装修漂亮,单价29311元/平米,170,| 2室1厅 | 58平米 | 南 | 简装,高楼层(共9层)  1995年建塔楼  -,
天胜村小区 黄金楼层 证过5年 学位未占,单价32461元/平米,280,| 2室2厅 | 86.26平米 | 南 | 其他,中楼层(共9层)  1970年建塔楼  -,
淘金北路 电梯5房2厅 带学位,单价35000元/平米,385,| 5室2厅 | 110平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
嘉和苑  笋盘 适用大三房 采光好,单价33334元/平米,360,| 3室1厅 | 108平米 | 东 | 简装,中楼层(共18层)  1998年建塔楼  -,
较剪巷 稀缺一室 可遇不可求,单价24243元/平米,80,| 2室1厅 | 33平米 | 南 | 其他,低楼层(共7层)  塔楼  -,
体委大院 温馨一房 交通便利 有学位,单价38334元/平米,115,| 1室1厅 | 30平米 | 南 | 其他,中楼层(共8层)  1993年建塔楼  -,
大沙头 东山华庭 电梯四房 少有放售,单价46198元/平米,650,| 4室2厅 | 140.7平米 | 北 | 简装,高楼层(共32层)  2007年建塔楼  -,
东华西路 旺中带静  交通方便,单价29375元/平米,282,| 3室2厅 | 96平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
锦城花园 四房两厅 户型方正 环境优美,单价53460元/平米,850,| 3室2厅 | 159平米 | 东南 | 精装,高楼层(共33层)  1999年建塔楼  -,
周围配套成熟，交通便利。,单价41362元/平米,790,| 4室2厅 | 191平米 | 北 | 简装,高楼层(共33层)  1999年建塔楼  -,
太和岗22号大院 中层一房 采光好,单价26087元/平米,120,| 1室0厅 | 46平米 | 东南 | 简装,中楼层(共7层)  1988年建塔楼  -,
丽景台 精装修 东北向望广铁一中,单价37500元/平米,270,| 2室2厅 | 72平米 | 东北 | 其他,低楼层(共34层)  1999年建塔楼  -,
好世界公寓一房一厅附带学位投资自住首选,单价42667元/平米,256,| 1室1厅 | 60平米 | 南 | 精装,中楼层(共20层)  2006年建塔楼  -,
君汇世家 精品大户型 少有放盘 名校学位,单价77721元/平米,1500,| 4室2厅 | 193平米 | 南 | 毛坯,高楼层(共30层)  2008年建塔楼  -,
深华大厦 地铁上盖 精致2房,单价30000元/平米,240,| 2室1厅 | 80平米 | 西 | 其他,高楼层(共26层)  1993年建塔楼  -,
淘金华庭 大三房 笋盘放卖,单价45048元/平米,473,| 3室1厅 | 105平米 | 南 | 简装,中楼层(共32层)  2002年建塔楼  -,
璟泰大厦  精装一房  安静舒适,单价42254元/平米,300,| 1室1厅 | 71平米 | 西 | 精装,中楼层(共33层)  2003年建塔楼  -,
花果山社区 省级学位 婚房首选 二胎必备,单价16603元/平米,130,| 2室1厅 | 78.3平米 | 南 | 精装,高楼层(共9层)  1989年建塔楼  -,
五羊新城 粤康阁 西南两房 地铁上盖,单价33077元/平米,258,| 2室1厅 | 78平米 | 西南 | 精装,高楼层(共26层)  1993年建塔楼  -,
汉苑 临江豪宅 高端大气 尊贵人生的首选,单价49505元/平米,1000,| 4室1厅 | 202平米 | 南 | 简装,高楼层(共39层)  塔楼  -,
全新欧洲风格精装两房,单价30148元/平米,205,| 2室1厅 | 68平米 | 东南 | 其他,中楼层(共6层)  1986年建塔楼  -,
拥翠小区西三街 2室1厅 150万,单价24078元/平米,150,| 2室1厅 | 62.3平米 | 东南 | 简装,中楼层(共7层)  2000年建塔楼  -,
淘金雅苑 近华侨新村 华侨学位,单价37427元/平米,320,| 2室1厅 | 85.5平米 | 东 | 其他,中楼层(共31层)  2000年建塔楼  -,
嘉和苑 二期舒适两房 厨房带大阳台,单价34559元/平米,235,| 2室1厅 | 68平米 | 西北 | 简装,低楼层(共21层)  1999年建塔楼  -,
东川大厦 名校学位 电梯两房,单价45000元/平米,243,| 2室1厅 | 54平米 | 西北 | 毛坯,高楼层(共15层)  2003年建塔楼  -,
精致两房一厅 送花园满五年 (出售)修改,单价36154元/平米,235,| 2室1厅 | 65平米 | 西 | 其他,低楼层(共9层)  1995年建塔楼  -,
水荫路 安静一楼 可做铺面 三房,单价32004元/平米,296,| 3室2厅 | 92.49平米 | 南 | 其他,低楼层(共8层)  1990年建塔楼  -,
温馨两房 支持公积金 市级学位 投资推荐,单价23334元/平米,140,| 2室1厅 | 60平米 | 西北 | 其他,低楼层(共9层)  塔楼  -,
东山双地铁物业 重点学位 南北对流,单价35644元/平米,360,| 3室2厅 | 101平米 | 南 | 其他,中楼层(共7层)  塔楼  -,
东川大厦 一房一厅 东川学位 环境安静,单价33024元/平米,142,| 1室1厅 | 43平米 | 西南 | 毛坯,高楼层(共8层)  2003年建塔楼  -,
安静位置 南北对流 户型方正,单价31599元/平米,150,| 1室1厅 | 47.47平米 | 南 | 简装,中楼层(共5层)  塔楼  -,
方正两房 通风非常好，安静舒适,单价39474元/平米,300,| 2室1厅 | 76平米 | 东 | 其他,高楼层(共33层)  2003年建塔楼  -,
拥翠小区 使用大单间 环境优美,单价31000元/平米,62,| 1室0厅 | 20平米 | 东南 | 简装,高楼层(共7层)  2000年建塔楼  -,
拥翠小区 中层两房 方正实用,单价28944元/平米,160,| 2室1厅 | 55.28平米 | 南 | 其他,中楼层(共7层)  2000年建塔楼  -,
建设大马路 南向单间出售,单价27084元/平米,65,| 1室0厅 | 24平米 | 南 | 简装,高楼层(共7层)  2000年建塔楼  -,
农林上路 环境幽静 省级东风东小学 中层,单价36125元/平米,425,| 3室1厅 | 117.65平米 | 南 | 简装,中楼层(共6层)  塔楼  -,
东川大厦 学位首选 精致实用 环境安静,单价46875元/平米,150,| 1室0厅 | 32平米 | 东 | 其他,中楼层(共15层)  2003年建塔楼  -,
海珠中路 东南两房 低层4楼 通风采光好,单价20994元/平米,153,| 2室1厅 | 72.88平米 | 东南 | 其他,中楼层(共9层)  1985年建塔楼  -,
福今东 小3房 中层采光好,单价42254元/平米,300,| 3室1厅 | 71平米 | 南 | 其他,中楼层(共7层)  塔楼  -,
东风西路小区 间隔方正 配套齐全,单价43525元/平米,410,| 3室2厅 | 94.2平米 | 西南 | 简装,高楼层(共9层)  塔楼  -,
保利中环广场 南区三房 少有放盘,单价60285元/平米,580,| 3室1厅 | 96.21平米 | 东北 | 精装,低楼层(共36层)  2009年建塔楼  -,
德安大厦 少有放盘 高层东向 两房户型,单价43151元/平米,298,| 2室1厅 | 69.06平米 | 东 | 简装,高楼层(共23层)  2004年建塔楼  -,
下塘西路 低层2楼 方正大三房 带平台,单价18975元/平米,148,| 3室1厅 | 78平米 | 东 | 其他,低楼层(共9层)  塔楼  -,
舒适小区新装两房 间隔方正,单价13135元/平米,88,| 2室1厅 | 67平米 | 南 | 精装,高楼层(共7层)  1994年建塔楼  -,
建设四马路  框架大三房  全明屋,单价23914元/平米,220,| 3室1厅 | 92平米 | 东北 | 简装,高楼层(共9层)  1985年建塔楼  -,
淘金华庭南向 华侨学位,单价40719元/平米,680,| 4室2厅 | 167平米 | 南 | 其他,高楼层(共32层)  2002年建塔楼  -,
国投电梯房改房 间隔方正 全明屋,单价39760元/平米,330,| 2室2厅 | 83平米 | 东南 | 其他,中楼层(共25层)  1990年建塔楼  -,
金山阁 两房两厅 地铁房 陪读居家优选,单价38236元/平米,325,| 2室2厅 | 85平米 | 东北 | 简装,低楼层(共28层)  2000年建塔楼  -,
水荫直街 低层新装三房 安静舒适,单价40544元/平米,480,| 3室1厅 | 118.39平米 | 东北 | 精装,低楼层(共12层)  塔楼  -,
富力东堤湾 大三房 园林小区 铁一学位,单价56452元/平米,700,| 3室2厅 | 124平米 | 东北 | 精装,低楼层(共31层)  2004年建塔楼  -,
黄华路中约外街 实用小两房一厅 超大窗户,单价30137元/平米,110,| 2室1厅 | 36.5平米 | 南 | 简装,中楼层(共9层)  1990年建塔楼  -,
环市东路 中层方正大三房 便利之王,单价35000元/平米,308,| 3室2厅 | 88平米 | 南 | 毛坯,中楼层(共8层)  塔楼  -,
地质大院 安静两房 南北对流 大院管理,单价36044元/平米,266,| 2室1厅 | 73.8平米 | 南 | 精装,高楼层(共9层)  1998年建塔楼  -,
东风东路 水均南 四房出售 南向单位,单价34587元/平米,460,| 4室2厅 | 133平米 | 东南 | 简装,高楼层(共8层)  1990年建塔楼  -,
五羊小区A区 过五年 方正两房,单价38388元/平米,238,| 2室1厅 | 62平米 | 东北 | 简装,高楼层(共8层)  塔楼  -,
正规三房两厅 南北对流 住家首选,单价26400元/平米,198,| 3室2厅 | 75平米 | 东 | 其他,中楼层(共8层)  塔楼  -,
豪贤路 低层三楼 精装两房,单价30770元/平米,160,| 2室2厅 | 52平米 | 东 | 其他,低楼层(共9层)  1995年建塔楼  -,
北站路 华秀苑 中层两房,单价17600元/平米,88,| 2室1厅 | 50平米 | 北 | 其他,中楼层(共9层)  1997年建塔楼  -,
陶街两房出售,单价25000元/平米,162.5,| 2室2厅 | 65平米 | 南 | 其他,中楼层(共8层)  塔楼  -,
天河路 正规一房一厅 水荫路学位,单价25947元/平米,85,| 1室1厅 | 32.76平米 | 东南 | 简装,高楼层(共6层)  塔楼  -,
东山名校培正学位！电梯两房小有放盘！,单价61291元/平米,380,| 2室1厅 | 62平米 | 东北 | 其他,中楼层(共11层)  塔楼  -,
物资集团电梯房改房 间隔方正 附带平台花,单价38555元/平米,320,| 3室2厅 | 83平米 | 北 | 其他,低楼层(共25层)  1990年建塔楼  -,
海运小区 稀有三房 望花园 省级学位,单价34000元/平米,255,| 2室1厅 | 75平米 | 西南 | 简装,低楼层(共23层)  1996年建塔楼  -,
第一津街高层细积单位出售,单价16161元/平米,75,| 2室1厅 | 46.41平米 | 东南 | 其他,高楼层(共9层)  塔楼  -,
东山独栋小私房 公园旁边 培正学位,单价41112元/平米,370,| 2室2厅 | 90平米 | 暂无数据 | 其他,低楼层(共3层)  1990年建塔楼  -,
一德路 南北对流 实用四房,单价16667元/平米,120,| 4室1厅 | 72平米 | 南 | 其他,高楼层(共7层)  塔楼  -,
环市中路 两房一厅 业主诚心出售,单价15385元/平米,100,| 2室1厅 | 65平米 | 南 | 简装,高楼层(共9层)  1988年建塔楼  -,
建设六马路 青菜岗 实用两房,单价29412元/平米,150,| 2室1厅 | 51平米 | 南 | 其他,高楼层(共7层)  1990年建塔楼  -,
建设五马路35号大院 三房两厅 带花园,单价46535元/平米,470,| 3室2厅 | 101平米 | 南 | 其他,低楼层(共9层)  1988年建塔楼  -,
省级学位 地铁上盖 东南朝向,单价48819元/平米,620,| 3室2厅 | 127平米 | 南 | 其他,中楼层(共7层)  塔楼  -,
东湖新村 低层东南靓向 证过5年,单价29851元/平米,200,| 2室2厅 | 67平米 | 东南 | 其他,低楼层(共6层)  1986年建塔楼  -,
豪华精致装修，全屋温馨舒适,单价33558元/平米,100,| 2室1厅 | 29.8平米 | 暂无数据 | 其他,高楼层(共8层)  1990年建塔楼  -,
大沙头湖滨苑 实用两房 全新装修,单价28689元/平米,175,| 2室2厅 | 61平米 | 南 | 简装,高楼层(共8层)  1993年建塔楼  -,
金迪大厦实用单位,单价27537元/平米,380,| 3室1厅 | 138平米 | 南 | 其他,中楼层(共28层)  2002年建塔楼  -,
东兴小区 标准两房 格局方正 中间楼层,单价27206元/平米,185,| 2室1厅 | 68平米 | 东南 | 精装,中楼层(共9层)  1995年建塔楼  -,
东华南路 电梯三房 培正学位,单价33334元/平米,300,| 3室1厅 | 90平米 | 南 | 简装,中楼层(共25层)  1996年建塔楼  -,
小北路 朱紫寮 环境优美 适宜居住,单价30189元/平米,320,| 4室2厅 | 106平米 | 东南 | 其他,高楼层(共9层)  塔楼  -,
水荫路 精装大三房 毗邻水荫路小学,单价23894元/平米,270,| 4室1厅 | 113平米 | 东 | 其他,中楼层(共9层)  塔楼  -,
海珠中路 高层一房一厅,单价20834元/平米,100,| 1室1厅 | 48平米 | 北 | 其他,高楼层(共9层)  塔楼  -,
泰富中心高层电梯楼放卖,单价25000元/平米,232.5,| 3室1厅 | 93平米 | 东南 | 其他,高楼层(共39层)  1997年建塔楼  -,
东湖新村 标准小三房 通风采光一流,单价26154元/平米,170,| 3室1厅 | 65平米 | 东 | 其他,高楼层(共8层)  1986年建塔楼  -,
凯旋会 高档小区 豪华装修 一线望江,单价51667元/平米,1550,| 5室2厅 | 300平米 | 南 | 精装,低楼层(共52层)  2004年建塔楼  -,
实用三房带双阳台 框架,单价24699元/平米,205,| 3室1厅 | 83平米 | 西 | 其他,低楼层(共9层)  塔楼  -,
