name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
自住靓房 经典跃式 东南 安静朝向,单价55325元/平米,426,| 2室2厅 | 77平米 | 南 | 简装,中楼层(共18层)  2001年建板塔结合  -,
福田中心区，一楼带花园无遮挡、带省级学校，满五唯一,单价50889元/平米,458,| 3室2厅 | 90平米 | 南 | 精装,低楼层(共8层)  1996年建板楼  -,
华强南城市杰座 户型好 正规两居室 视野好,单价58089元/平米,395,| 2室1厅 | 68平米 | 西北 | 精装,中楼层(共24层)  2004年建板塔结合  -,
城市主场稀缺两房，双地铁口学区房。,单价65080元/平米,410,| 2室1厅 | 63平米 | 东北 | 精装,低楼层(共33层)  2005年建塔楼  -,
大客厅，带固定车位，学位未用过，地铁口物业。,单价58334元/平米,700,| 3室2厅 | 120平米 | 东北 | 精装,低楼层(共24层)  2002年建板塔结合  -,
地铁口物业、满五年红本、高层海景采光好,单价61112元/平米,440,| 2室2厅 | 72平米 | 南 | 精装,高楼层(共33层)  2008年建板塔结合  -,
楼层佳 景秀中小学 安静 满5年 唯一,单价55422元/平米,460,| 2室2厅 | 83平米 | 东 | 简装,中楼层(共28层)  1999年建板塔结合  -,
赛格苑两房，户型方正，满两年，红本在手。,单价46324元/平米,315,| 2室2厅 | 68平米 | 南 北 | 简装,中楼层(共6层)  1987年建板塔结合  -,
中银花园 高楼层东南向电梯三房 红本满五唯一 税少,单价54344元/平米,538,| 3室2厅 | 99平米 | 东南 | 精装,高楼层(共31层)  1997年建塔楼  -,
户型方正格局好，精装修保养好,单价52660元/平米,495,| 3室2厅 | 94平米 | 北 | 精装,中楼层(共27层)  1997年建塔楼  -,
中心公园旁  华富村满五唯一 绝佳2房急售  南北通透,单价56747元/平米,450,| 3室2厅 | 79.3平米 | 南 北 | 简装,中楼层(共8层)  1988年建板塔结合  -,
满五唯一 带学位 学位户口都没用过 业主诚心出售,单价57614元/平米,280,| 1室1厅 | 48.6平米 | 北 | 精装,高楼层(共27层)  2007年建板塔结合  -,
进地铁精装三房，户型方正，朝中心公园,单价45784元/平米,380,| 3室1厅 | 83平米 | 东北 | 精装,低楼层(共24层)  1995年建塔楼  -,
高端宜居小区 美莲+莲花北学位 坐落中心公园,单价73796元/平米,490,| 2室1厅 | 66.4平米 | 西南 | 简装,中楼层(共16层)  2002年建板塔结合  -,
福田 皇岗 地铁房 户型方正  学区房,单价57972元/平米,400,| 2室2厅 | 69平米 | 南 | 精装,高楼层(共32层)  2000年建板塔结合  -,
合正逸园。厅出阳台朝北小区看游泳池标准3房。,单价57304元/平米,510,| 3室2厅 | 89平米 | 北 | 精装,中楼层(共11层)  2003年建板塔结合  -,
厅出阳台户型方正 视野好 通风效果好,单价61404元/平米,350,| 2室2厅 | 57平米 | 东北 | 精装,高楼层(共32层)  2003年建板塔结合  -,
房子满5年业主唯一住房 学区房,单价131387元/平米,1800,| 4室2厅 | 137平米 | 南 北 | 精装,中楼层(共17层)  2005年建板塔结合  -,
稀缺户型、方正、户型好、低于市价、新装修、看房方便,单价45000元/平米,540,| 3室2厅 | 120平米 | 东北 | 精装,低楼层(共29层)  2001年建板塔结合  -,
红本在手满五唯一双卧朝南，学位没有用过,单价47728元/平米,315,| 2室2厅 | 66平米 | 东南 | 精装,中楼层(共18层)  1995年建板塔结合  -,
园岭小学红岭初中双名校学位，红本在手满5年唯一住房,单价75000元/平米,600,| 3室2厅 | 80平米 | 南 北 | 简装,高楼层(共7层)  1998年建板塔结合  -,
红本在手，精装修，朝向好，看房方便。,单价100704元/平米,930,| 3室2厅 | 92.35平米 | 南 | 精装,中楼层(共30层)  1991年建板塔结合  -,
公园边大四房采光好单价低税费少，鸿浩阁,单价65493元/平米,930,| 4室2厅 | 142平米 | 西南 | 简装,中楼层(共17层)  2001年建板塔结合  -,
绿景蓝湾半岛高层海景阳光房,单价69880元/平米,580,| 2室2厅 | 83平米 | 西南 | 精装,中楼层(共33层)  2003年建塔楼  -,
经典精致双南户型两房，地位象征黄金楼层，有钥匙看房,单价67742元/平米,420,| 2室1厅 | 62平米 | 南 | 精装,中楼层(共7层)  1996年建板塔结合  -,
中心区两房 红本在手 税费只要10万 总价低,单价82143元/平米,690,| 2室2厅 | 84平米 | 西北 | 简装,低楼层(共32层)  2004年建塔楼  -,
优质单身公寓 可改一房一厅 地铁口物业 红本满五,单价52565元/平米,205,| 1室0厅 | 39平米 | 南 | 精装,低楼层(共32层)  2007年建塔楼  -,
大社区大阳台 安静自住两房,单价56754元/平米,437,| 2室2厅 | 77平米 | 北 | 简装,中楼层(共27层)  2002年建塔楼  -,
观景朝南大三居！精装拎包入住,单价58081元/平米,575,| 3室2厅 | 99平米 | 东南 | 精装,高楼层(共31层)  2000年建板塔结合  -,
赛格绿茵阁经典向两房厅出阳台 居家首选,单价54412元/平米,370,| 2室2厅 | 68平米 | 南 | 精装,低楼层(共18层)  1999年建板塔结合  -,
水木澜山居 精装三房两卫 满五年唯一,单价68540元/平米,610,| 3室2厅 | 89平米 | 东北 | 精装,高楼层(共31层)  2008年建板塔结合  -,
总价较低 楼层高看水库 诚心出售 税费少 买到即赚到,单价60556元/平米,545,| 3室2厅 | 90平米 | 东北 | 精装,中楼层(共31层)  2000年建板塔结合  -,
京基御景华城精装两房，高楼层，成交在即，随时看房,单价57600元/平米,360,| 2室1厅 | 62.5平米 | 西南 | 精装,中楼层(共34层)  2005年建板塔结合  -,
金地香蜜山 精装修 不限购 学区房 小区环境好,单价92820元/平米,1250,| 3室2厅 | 134.67平米 | 南 | 精装,低楼层(共18层)  2005年建板塔结合  -,
业主自住房 精装修 满五唯一 可改两房,单价55834元/平米,268,| 1室1厅 | 48平米 | 北 | 其他,低楼层(共27层)  1998年建板塔结合  -,
满5年，唯一住宅，红本在手，南北通透格局,单价63572元/平米,890,| 3室2厅 | 140平米 | 南 | 精装,中楼层(共32层)  2003年建板塔结合  -,
翠堤湾精装4房   单价低  笋盘出售,单价64886元/平米,850,| 4室2厅 | 131平米 | 东南 | 其他,低楼层(共31层)  2000年建板塔结合  -,
天然居经典户型 南向看小区 两年新装修,单价84198元/平米,820,| 3室2厅 | 97.39平米 | 南 | 精装,低楼层(共33层)  2001年建板塔结合  -,
翠海花园 实用五房 带学位名额,单价97409元/平米,1500,| 4室2厅 | 153.99平米 | 南 北 | 精装,低楼层(共14层)  2000年建板楼  -,
庆福园一房一厅朝南采光好，精装修,单价52703元/平米,195,| 1室1厅 | 37平米 | 南 | 简装,低楼层(共33层)  2007年建板塔结合  -,
正南向精装修实用大2房 楼王户型 大社区,单价56494元/平米,435,| 2室2厅 | 77平米 | 南 | 精装,中楼层(共17层)  2000年建塔楼  -,
京隆苑 新出炉 正南朝向大三房 户型方正 送30平漏台,单价66951元/平米,1100,| 3室1厅 | 164.3平米 | 南 | 精装,低楼层(共11层)  1996年建板塔结合  -,
航天2房 东南朝向 看荔枝公园 带荔园小学+红岭 诚心,单价77143元/平米,540,| 2室2厅 | 70平米 | 东南 | 简装,中楼层(共29层)  1999年建板塔结合  -,
新洲近地铁口正规方正两房  国都高尔夫全景红本满五,单价55385元/平米,360,| 2室2厅 | 65平米 | 东北 | 简装,中楼层(共29层)  2005年建板塔结合  -,
梅林一村 五区方厅 南向大三房 近地铁口,单价62756元/平米,615,| 3室2厅 | 98平米 | 南 | 简装,中楼层(共18层)  1999年建板塔结合  -,
韵动家园高层全高尔夫景观大两房！满五年唯一,单价54055元/平米,450,| 2室2厅 | 83.25平米 | 东北 | 精装,高楼层(共29层)  2005年建塔楼  -,
华强南 广业大厦 少有标准大三房 急售,单价59794元/平米,580,| 4室2厅 | 97平米 | 东北 | 精装,高楼层(共33层)  2003年建塔楼  -,
南北通正规四房 红本在手满五年 精装修,单价56133元/平米,595,| 4室2厅 | 106平米 | 东南 | 精装,中楼层(共28层)  1996年建板塔结合  -,
深圳福田中心区，单价四万大两房,单价39760元/平米,330,| 2室2厅 | 83平米 | 东南 | 简装,中楼层(共20层)  1997年建板塔结合  -,
城市主场南北通透大赠送，端头位置前后无遮挡。,单价60667元/平米,273,| 1室0厅 | 45平米 | 东南 | 简装,低楼层(共33层)  2005年建塔楼  -,
