name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
万科金域蓝湾 近地铁 中高楼层,单价25000元/平米,260,| 3室2厅 | 104平米 | 西南 | 其他,中楼层(共25层)  2008年建塔楼  -,
云山锦绣家园 南北对流 格局好 景观房,单价27648元/平米,235,| 3室2厅 | 85平米 | 南 | 精装,高楼层(共12层)  2002年建塔楼  -,
三元里大道 公安宿舍 精装南向三居,单价13329元/平米,105,| 3室2厅 | 78.78平米 | 南 | 简装,中楼层(共9层)  塔楼  -,
万方园 超大两房 奢侈享受,单价20000元/平米,115,| 2室1厅 | 57.5平米 | 东 | 简装,中楼层(共18层)  1999年建塔楼  -,
春庭花园　超笋的中层四居室　各付各税,单价11025元/平米,153.31,| 4室2厅 | 139.06平米 | 北 | 其他,低楼层(共9层)  2008年建塔楼  -,
金兰花园 电梯两房 小区管理 带省级学位,单价20635元/平米,130,| 2室1厅 | 63平米 | 西北 | 其他,中楼层(共8层)  1998年建塔楼  -,
机场路 万方园 近飞翔公园地铁站 精致,单价18462元/平米,120,| 2室2厅 | 65平米 | 东 | 简装,中楼层(共18层)  1999年建塔楼  -,
时代花园 南向三房 户型方正,单价26507元/平米,220,| 3室2厅 | 83平米 | 南 | 精装,高楼层(共15层)  1999年建塔楼  -,
金迪城市花园 两套房子打通的,单价15781元/平米,70.758,| 1室1厅 | 44.84平米 | 南 | 简装,低楼层(共15层)  1995年建塔楼  -,
景泰新村 三房一厅 交通方便 配套完善,单价17764元/平米,135,| 3室1厅 | 76平米 | 南 | 简装,中楼层(共9层)  2008年建塔楼  -,
云苑新村 低层两房 够五年 带学位,单价16786元/平米,94,| 2室1厅 | 56平米 | 南 | 其他,低楼层(共9层)  1999年建塔楼  -,
康雅花园 中层两房 户型方正实用,单价16184元/平米,95,| 2室1厅 | 58.7平米 | 西 | 其他,高楼层(共9层)  1999年建塔楼  -,
机场路 枫溪苑 中层两房 间隔方正实用,单价14983元/平米,98,| 2室1厅 | 65.41平米 | 东 | 其他,中楼层(共9层)  塔楼  -,
景泰新村 格局方正 过五唯一 南北对流,单价15653元/平米,108,| 2室1厅 | 69平米 | 南 | 精装,高楼层(共9层)  2008年建塔楼  -,
机场路万方园 电梯高层两房 近地铁口,单价16875元/平米,108,| 2室1厅 | 64平米 | 西北 | 简装,高楼层(共18层)  1999年建塔楼  -,
富力阳光美居 2房2厅 南向望花园,单价18000元/平米,135,| 2室2厅 | 75平米 | 南 | 简装,低楼层(共15层)  2001年建塔楼  -,
白云高尔夫西区 厅出阳小三房 方正实用,单价17284元/平米,140,| 3室2厅 | 81平米 | 东北 | 其他,低楼层(共11层)  1999年建塔楼  -,
祥景花园 诚心出售，房型方正通透，采光极,单价17397元/平米,120,| 3室2厅 | 68.98平米 | 南 | 简装,中楼层(共9层)  2000年建塔楼  -,
合益小区 实用两房 全明户型 间隔方正,单价11061元/平米,73,| 2室1厅 | 66平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
雍翠园 电梯高层 居家首选 精致三房,单价18304元/平米,205,| 3室1厅 | 112平米 | 西南 | 其他,中楼层(共15层)  2000年建塔楼  -,
云景花园 中层实用三房 装修可以,单价25000元/平米,252.5,| 3室2厅 | 101平米 | 东北 | 简装,中楼层(共6层)  2002年建塔楼  -,
景泰新村 证过两年 省级学位房,单价17102元/平米,118,| 2室1厅 | 69平米 | 南 | 简装,中楼层(共9层)  2008年建塔楼  -,
飞翔公园地铁站 金迪城市花园 南向两房,单价16120元/平米,108,| 2室1厅 | 67平米 | 东南 | 简装,中楼层(共15层)  1995年建塔楼  -,
景泰新村 大一房一厅 低楼层 采光好,单价15000元/平米,120,| 3室1厅 | 80平米 | 西 | 简装,低楼层(共8层)  2008年建塔楼  -,
百事佳新村 中等装修两房 省级学位,单价15000元/平米,108,| 2室2厅 | 72平米 | 南 | 简装,高楼层(共7层)  2006年建塔楼  -,
黄石花园 三房一厅 黄金八楼,单价16843元/平米,160,| 3室2厅 | 95平米 | 东 | 简装,中楼层(共14层)  1997年建塔楼  -,
黄石路 富力阳光美居 精装修3房 环境好,单价18687元/平米,185,| 3室2厅 | 99平米 | 南 | 精装,中楼层(共6层)  2001年建塔楼  -,
紫荆花园 笋盘再现 南向一房 随时看房,单价16000元/平米,72,| 1室1厅 | 45平米 | 暂无数据 | 其他,低楼层(共11层)  2000年建塔楼  -,
机场路 康雅花园 精装两房 双阳台,单价13167元/平米,98,| 2室2厅 | 74.43平米 | 西南 | 其他,高楼层(共9层)  1999年建塔楼  -,
广园西路 两居室 鞋城商圈 交通方便,单价10677元/平米,60,| 2室1厅 | 56.2平米 | 西 | 简装,高楼层(共7层)  塔楼  -,
南湖颐和高尔夫庄园 私家花园 带私家泳池,单价79202元/平米,2500,| 6室3厅 | 315.65平米 | 南 | 精装,低楼层(共1层)  塔楼  -,
黄石花园 两房一厅 正南向 格局一流,单价13000元/平米,65,| 2室1厅 | 50平米 | 南 | 简装,高楼层(共8层)  1997年建塔楼  -,
)保利紫薇花园 精致两房 厅出阳台,单价20130元/平米,180,| 2室2厅 | 89.42平米 | 东北 | 其他,中楼层(共21层)  2006年建塔楼  -,
汇侨新城 电梯两房 总价低,单价15080元/平米,95,| 2室1厅 | 63平米 | 西 | 其他,低楼层(共17层)  2000年建塔楼  -,
阳光美居 底层两房 装修保养好 望花园,单价18572元/平米,130,| 2室2厅 | 70平米 | 北 | 精装,低楼层(共15层)  2001年建塔楼  -,
云东花园 实用两房 厅大房大 带车位出售,单价20485元/平米,165,| 2室1厅 | 80.55平米 | 西北 | 简装,低楼层(共9层)  1998年建塔楼  -,
新市花园 新装修 格局方正 采光好,单价11393元/平米,90,| 2室1厅 | 79平米 | 暂无数据 | 其他,高楼层(共9层)  1994年建塔楼  -,
景泰新村 精致两房 高层靓向 大院管理,单价13803元/平米,98,| 2室1厅 | 71平米 | 北 | 简装,高楼层(共9层)  2008年建塔楼  -,
机场路 万方园 投资收租王 精装修送家私,单价22973元/平米,85,| 1室1厅 | 37平米 | 南 | 精装,低楼层(共18层)  1999年建塔楼  -,
电梯高层 全明屋三房 房出阳台,单价17476元/平米,180,| 2室2厅 | 103平米 | 东北 | 精装,高楼层(共18层)  1999年建塔楼  -,
景泰新村 实用三房 采光通风 入读名校,单价11628元/平米,100,| 3室1厅 | 86平米 | 北 | 简装,高楼层(共8层)  2008年建塔楼  -,
司法学校 实用三房 户型稀缺 格局方正,单价12887元/平米,125,| 3室2厅 | 97平米 | 东 | 其他,低楼层(共9层)  塔楼  -,
恒大御景半岛  高层望江 毫无遮挡,单价18000元/平米,253.8,| 3室2厅 | 141平米 | 东 | 其他,中楼层(共31层)  2007年建塔楼  -,
恒大御景半岛  高层望江 毫无遮挡,单价18000元/平米,320.4,| 3室2厅 | 178平米 | 东 | 其他,中楼层(共31层)  2007年建塔楼  -,
白兰花园 电梯三房 采光通透,单价25264元/平米,240,| 3室1厅 | 95平米 | 西南 | 其他,高楼层(共9层)  1998年建塔楼  -,
万方园 白云新城地铁口 电梯两房 全明屋,单价18649元/平米,138,| 2室1厅 | 74平米 | 北 | 精装,中楼层(共18层)  1999年建塔楼  -,
三元里大道 合益小区 安静舒适两居,单价12677元/平米,90,| 2室1厅 | 71平米 | 暂无数据 | 简装,高楼层(共9层)  1995年建塔楼  -,
时代玫瑰园 实用三房 南北通透,单价21843元/平米,249,| 3室2厅 | 114平米 | 北 | 其他,中楼层(共18层)  2004年建塔楼  -,
白云高尔夫花园东区 近地铁 复式五房,单价22773元/平米,460,| 5室0厅 | 202平米 | 东 | 简装,高楼层(共12层)  2002年建塔楼  -,
景泰新村 精装两房 底层靓向,单价16120元/平米,108,| 2室1厅 | 67平米 | 南 | 简装,低楼层(共8层)  2008年建塔楼  -,
新市 海德花园 电梯高层 实用两房,单价19532元/平米,125,| 2室1厅 | 64平米 | 东 | 其他,高楼层(共11层)  塔楼  -,
紫荆花园 实用新净三房 居家一流,单价18422元/平米,140,| 3室1厅 | 76平米 | 暂无数据 | 其他,高楼层(共10层)  2000年建塔楼  -,
时代玫瑰园二期 户型方正 采光好,单价25397元/平米,320,| 3室2厅 | 126平米 | 南 | 其他,高楼层(共18层)  2004年建塔楼  -,
同德花园 新装修2房 业主自住 满5唯一,单价13099元/平米,93,| 2室1厅 | 71平米 | 东北 | 简装,高楼层(共8层)  1998年建塔楼  -,
精装三房两厅 116平 双阳台 南北对流,单价18535元/平米,215,| 3室2厅 | 116平米 | 东北 | 精装,中楼层(共15层)  2004年建塔楼  -,
远景路 万方园 大两房 近地铁,单价17985元/平米,116,| 2室2厅 | 64.5平米 | 北 | 精装,低楼层(共18层)  1999年建塔楼  -,
侨爱苑 港式风格两居 安静严密小区,单价17302元/平米,109,| 2室1厅 | 63平米 | 东 | 其他,高楼层(共9层)  1995年建塔楼  -,
地铁物业 星汇晴轩 电梯高层 旺中带静,单价22029元/平米,152,| 2室1厅 | 69平米 | 暂无数据 | 简装,高楼层(共11层)  2005年建塔楼  -,
新市花园 舒适实用三房 精装修,单价13415元/平米,110,| 3室1厅 | 82平米 | 暂无数据 | 其他,高楼层(共9层)  1994年建塔楼  -,
云山锦绣 带私家平台花园 有钥匙随时看房,单价26725元/平米,310,| 3室1厅 | 116平米 | 东 | 精装,低楼层(共12层)  2002年建塔楼  -,
机场路 腾龙阁 大户型 三代同堂 旺中静,单价16973元/平米,185,| 3室2厅 | 109平米 | 东 | 精装,低楼层(共14层)  1999年建塔楼  -,
云东花园 精装两房 带省级学位 有钥匙,单价17935元/平米,165,| 2室1厅 | 92平米 | 西北 | 精装,中楼层(共9层)  1998年建塔楼  -,
景泰精装两房 格局方正 婚房首选,单价15429元/平米,108,| 2室1厅 | 70平米 | 东南 | 其他,高楼层(共8层)  2008年建塔楼  -,
云东花园 温馨两房 东南靓向 入读名校,单价17535元/平米,128,| 2室2厅 | 73平米 | 东北 | 精装,高楼层(共9层)  1998年建塔楼  -,
富力阳光美居 三室两厅 望花园,单价19000元/平米,190,| 3室2厅 | 100平米 | 西北 | 简装,低楼层(共15层)  2001年建塔楼  -,
雍翠园 温馨两房 证过五年,单价15482元/平米,135,| 2室1厅 | 87.2平米 | 北 | 其他,低楼层(共14层)  2000年建塔楼  -,
富力阳光美居 2房2厅双阳台,单价17809元/平米,130,| 2室2厅 | 73平米 | 东北 | 简装,低楼层(共6层)  2001年建塔楼  -,
成丰大厦 精装2房 中楼层 电梯房,单价12250元/平米,98,| 2室1厅 | 80平米 | 东 | 简装,中楼层(共13层)  1999年建塔楼  -,
稀缺两房 南北对流 低首付 税费少,单价15625元/平米,75,| 2室1厅 | 48平米 | 北 | 其他,高楼层(共9层)  2000年建塔楼  -,
黄石花园 格局方正实用 装修保养好,单价13287元/平米,95,| 2室1厅 | 71.5平米 | 北 | 简装,中楼层(共7层)  1997年建塔楼  -,
机场路 康盈阁 商住两用,单价15854元/平米,130,| 1室1厅 | 82平米 | 西 | 简装,中楼层(共6层)  1995年建塔楼  -,
星汇晴轩 厅出阳台 正南向 实用电梯三房,单价23596元/平米,210,| 3室2厅 | 89平米 | 南 | 其他,中楼层(共11层)  2005年建塔楼  -,
时代玫瑰园 保养好 高层 望花园 近地铁,单价24032元/平米,310,| 4室2厅 | 129平米 | 南 | 其他,高楼层(共13层)  2001年建塔楼  -,
景泰新村 精致大两房 全明屋 位置安静,单价19737元/平米,150,| 3室1厅 | 76平米 | 西 | 精装,中楼层(共8层)  2008年建塔楼  -,
新兴白云花园 户型超好的南向两居室,单价15935元/平米,98,| 2室1厅 | 61.5平米 | 南 | 其他,高楼层(共9层)  1999年建塔楼  -,
间隔方正 装修新正 实用面积高,单价11628元/平米,100,| 3室2厅 | 86平米 | 西 | 其他,中楼层(共17层)  1997年建塔楼  -,
新广从路 春庭花园 温馨实用两房,单价13949元/平米,65,| 2室2厅 | 46.6平米 | 南 | 其他,中楼层(共9层)  2008年建塔楼  -,
时代花园 望花园 精装三房,单价26786元/平米,300,| 2室2厅 | 112平米 | 北 | 精装,高楼层(共15层)  1999年建塔楼  -,
金碧雅苑 安静精装修实用两居室,单价21324元/平米,145,| 2室2厅 | 68平米 | 东 | 其他,低楼层(共18层)  2004年建塔楼  -,
机场路时代花园 稀缺两房 双阳台,单价25353元/平米,180,| 2室2厅 | 71平米 | 北 | 精装,高楼层(共15层)  1999年建塔楼  -,
云苑新村 格局方正 送天台花园,单价13244元/平米,98,| 2室1厅 | 74平米 | 南 | 简装,高楼层(共9层)  1999年建塔楼  -,
泽德花园大型封闭小区  一手业主免重税,单价12265元/平米,65,| 2室1厅 | 53平米 | 暂无数据 | 其他,高楼层(共9层)  1998年建塔楼  -,
云山居 精装两居室 业主自住 保养特好,单价18657元/平米,125,| 2室2厅 | 67平米 | 北 | 其他,低楼层(共15层)  2000年建塔楼  -,
电台宿舍 大院管理 实用两房,单价18687元/平米,128,| 2室1厅 | 68.5平米 | 东 | 其他,中楼层(共9层)  1996年建塔楼  -,
汇侨新城 成熟小区 住家装修温馨2房,单价13334元/平米,100,| 2室1厅 | 75平米 | 西南 | 简装,高楼层(共9层)  2000年建塔楼  -,
方正两房 通风非常好，南北通透,单价16512元/平米,142,| 2室2厅 | 86平米 | 北 | 简装,高楼层(共12层)  2009年建塔楼  -,
蓝天丽境 西南向全明户型,单价15429元/平米,120,| 2室1厅 | 77.78平米 | 西南 | 简装,低楼层(共18层)  2000年建塔楼  -,
云山居 白云山脚下 精致三房二厅带主套,单价18933元/平米,195,| 3室2厅 | 103平米 | 西 | 其他,高楼层(共6层)  2000年建塔楼  -,
景泰新村 实用大三房 东南北单边 好房,单价15868元/平米,149,| 3室1厅 | 93.9平米 | 东南 | 简装,高楼层(共8层)  2008年建塔楼  -,
【满堂红链家】精装3房 南向 保养好,单价26042元/平米,250,| 3室2厅 | 96平米 | 南 | 精装,低楼层(共11层)  2002年建塔楼  -,
祥景花园 中间楼层 南向小户型,单价16154元/平米,63,| 1室0厅 | 39平米 | 南 | 简装,中楼层(共9层)  1999年建塔楼  -,
满堂红链家 万方园小区 花园空气清新,单价21000元/平米,176.4,| 2室2厅 | 84平米 | 北 | 简装,高楼层(共18层)  1999年建塔楼  -,
地段好 电梯高层 正规户型 东南向,单价19149元/平米,270,| 4室2厅 | 141平米 | 东南 | 简装,高楼层(共11层)  1995年建塔楼  -,
机场路时代花园 精致三房 间隔好,单价25984元/平米,218,| 3室1厅 | 83.9平米 | 北 | 精装,低楼层(共15层)  1999年建塔楼  -,
云景名都 地铁物业 精装三房 朝南采光好,单价29253元/平米,270,| 3室2厅 | 92.3平米 | 南 | 其他,低楼层(共21层)  2002年建塔楼  -,
景泰新村 中层靓向 入读名校 远离马路,单价16667元/平米,95,| 2室1厅 | 57平米 | 南 | 其他,中楼层(共8层)  2008年建塔楼  -,
保利白云山庄 南向两房 景观漂亮,单价25329元/平米,210,| 2室2厅 | 82.91平米 | 南 | 简装,高楼层(共6层)  2001年建塔楼  -,
恒大御景半岛 全新未住 南北对流,单价13438元/平米,215,| 3室2厅 | 160平米 | 北 | 精装,低楼层(共31层)  2007年建塔楼  -,
锦满楼 方正实用2居 够五唯一 朝向超靓,单价11053元/平米,63,| 2室1厅 | 57平米 | 北 | 其他,高楼层(共9层)  1997年建塔楼  -,
时代花园 四房两厅 豪华装修 采光极好修,单价28000元/平米,232.4,| 3室2厅 | 83平米 | 北 | 精装,低楼层(共15层)  1999年建塔楼  -,
祥景雍翠园 两房两厅 格局方正 保养好,单价17822元/平米,180,| 2室2厅 | 101平米 | 西北 | 其他,中楼层(共15层)  2000年建塔楼  -,
紫荆花园 电梯楼 品质小区 居家安踏,单价17392元/平米,160,| 3室1厅 | 92平米 | 西北 | 精装,低楼层(共11层)  2000年建塔楼  -,
祥景花园 一房一厅 可改两房 双阳台,单价13637元/平米,60,| 1室1厅 | 44平米 | 北 | 简装,高楼层(共9层)  1999年建塔楼  -,
间隔方正 采光通风 交通便利,单价13989元/平米,82,| 2室1厅 | 58.62平米 | 西北 | 精装,高楼层(共8层)  2008年建塔楼  -,
祥景花园 黄金楼层两房 厅出阳台朝南,单价16084元/平米,96.5,| 2室2厅 | 60平米 | 南 | 简装,中楼层(共9层)  2000年建塔楼  -,
景泰直街 成熟小区 人气旺 交通便利,单价18158元/平米,138,| 2室1厅 | 76平米 | 西南 | 简装,低楼层(共12层)  2008年建塔楼  -,
祥景花园 实用大三房 格局方正,单价17347元/平米,170,| 3室2厅 | 98平米 | 西 | 精装,低楼层(共15层)  2000年建塔楼  -,
黄石花园 电梯中层 南向两房,单价14750元/平米,118,| 2室1厅 | 80平米 | 南 | 简装,中楼层(共14层)  1997年建塔楼  -,
元邦航空家园 高层南向大两房 采光好,单价17500元/平米,140,| 2室2厅 | 80平米 | 南 | 简装,中楼层(共15层)  2004年建塔楼  -,
黄石花园 小户型 户型方正实用,单价13000元/平米,78,| 2室1厅 | 60平米 | 东 | 简装,中楼层(共8层)  1997年建塔楼  -,
黄石花园 电梯三房,单价14773元/平米,130,| 2室2厅 | 88平米 | 东 | 简装,低楼层(共14层)  1997年建塔楼  -,
白云畔山花园 实用两房 带一个露台,单价24412元/平米,83,| 2室2厅 | 34平米 | 东北 | 简装,低楼层(共11层)  2003年建塔楼  -,
祥景花园 北向一房 装修保养好 黄金楼层,单价14783元/平米,68,| 1室1厅 | 46平米 | 北 | 简装,低楼层(共9层)  1999年建塔楼  -,
黄石花园 南向两房 方正户型,单价12059元/平米,82,| 2室2厅 | 68平米 | 南 | 其他,高楼层(共8层)  1997年建塔楼  -,
景泰新村 实用两房 精装两房 低价笋盘,单价14493元/平米,100,| 2室1厅 | 69平米 | 北 | 精装,高楼层(共8层)  2008年建塔楼  -,
祥景花园 两房一厅 黄金楼层 装修保养好,单价15000元/平米,93,| 2室2厅 | 62平米 | 北 | 简装,中楼层(共9层)  1999年建塔楼  -,
景泰新村 高层小两房 入读广园小学,单价16102元/平米,95,| 3室1厅 | 59平米 | 南 | 简装,高楼层(共9层)  2008年建塔楼  -,
黄石花园 附送露台 户型方正实用,单价13077元/平米,85,| 2室1厅 | 65平米 | 北 | 简装,中楼层(共8层)  1997年建塔楼  -,
祥景花园 实用两房 价格实惠 黄金楼层,单价15218元/平米,70,| 2室1厅 | 46平米 | 北 | 简装,中楼层(共9层)  1999年建塔楼  -,
