name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
玉雅居，两房，近仙桐公园空气好,单价48953元/平米,285,| 2室2厅 | 58.22平米 | 东南 北 | 其他,低楼层(共10层)  1998年建板塔结合  -,
君逸华府 朝南三房 视野无遮挡 满五年唯一红本在手,单价68042元/平米,660,| 3室2厅 | 97平米 | 南 | 精装,高楼层(共32层)  2001年建板楼  -,
龙园山庄 满五唯一 大三房 南北通透,单价33753元/平米,360,| 3室2厅 | 106.66平米 | 南 | 简装,高楼层(共8层)  1997年建板塔结合  -,
曦龙山庄 大四居 满五年 半山小区 别墅级享受 黄贝岭,单价60015元/平米,809,| 4室2厅 | 134.8平米 | 东 | 其他,高楼层(共9层)  2001年建板塔结合  -,
凤凰印象满五唯一 螺岭学位房双阳台 高楼层 诚心出售,单价70029元/平米,500,| 2室1厅 | 71.4平米 | 南 | 精装,中楼层(共31层)  2011年建板塔结合  -,
金色年华优质两房 满五年唯一  朝南,单价62904元/平米,390,| 2室2厅 | 62平米 | 南 | 简装,中楼层(共27层)  2005年建板塔结合  -,
桐景花园优质学区四房两厅宽窗靓景节省税费,单价56993元/平米,745,| 4室2厅 | 130.72平米 | 北 | 精装,高楼层(共24层)  2002年建板塔结合  -,
深勘小区黄贝地铁站螺岭小学多层南北通超实用红本满五,单价50633元/平米,400,| 3室1厅 | 79平米 | 南 | 简装,高楼层(共8层)  板塔结合  -,
罗湖绿映居 刚需电梯两房 满5唯一 临近地铁 安静居家,单价49183元/平米,340,| 2室1厅 | 69.13平米 | 南 | 简装,中楼层(共10层)  2003年建板塔结合  -,
福德花园 螺岭学位没用 地铁口物业 采光好 双阳台,单价43750元/平米,420,| 3室1厅 | 96平米 | 南 | 简装,低楼层(共32层)  1998年建板塔结合  -,
深圳中学学位房200米到洪湖公园房主信任我,单价48648元/平米,498,| 3室1厅 | 102.37平米 | 东北 | 精装,高楼层(共26层)  1992年建塔楼  -,
银座精装一房 正南向 看山景 地铁口物业 无增值税,单价45000元/平米,198,| 1室1厅 | 44平米 | 南 | 精装,中楼层(共30层)  1992年建板塔结合  -,
今日家园 赠送40平米大三房 带学位 送阳台景观假山！,单价64287元/平米,470,| 3室1厅 | 73.11平米 | 东南 | 简装,中楼层(共25层)  1999年建板塔结合  -,
深中锦田双学位房，非常稀缺的跃层5房，一年顶多两套,单价80379元/平米,900,| 5室2厅 | 111.97平米 | 北 | 精装,中楼层(共26层)  2003年建板塔结合  -,
东门168 精装南向 学位未用 正规一房一厅,单价61249元/平米,260,| 1室1厅 | 42.45平米 | 东南 | 精装,低楼层(共29层)  2004年建板塔结合  -,
新港鸿花园精装4房，三代同堂好选择，满五年装修好,单价45205元/平米,650,| 4室2厅 | 143.79平米 | 西北 | 精装,中楼层(共28层)  1998年建板塔结合  -,
双御雅轩 住家三房 厅朝南出阳台 赠送多 车位充足,单价70787元/平米,630,| 3室2厅 | 89平米 | 南 | 精装,高楼层(共26层)  2008年建塔楼  -,
骏庭名园 满五唯一税费少 红本在手 实用面积160平急售,单价51701元/平米,760,| 5室2厅 | 147平米 | 西北 | 精装,高楼层(共29层)  1999年建板塔结合  -,
松泉山庄 钻石户型 满五年 红本在手 黄金楼层,单价45071元/平米,320,| 2室2厅 | 71平米 | 东南 | 精装,中楼层(共7层)  1998年建板塔结合  -,
松泉山庄成熟社区南北通透三房厅出阳台,单价43821元/平米,390,| 3室2厅 | 89平米 | 南 北 | 简装,高楼层(共7层)  1998年建板塔结合  -,
广东省银行大厦，三居室，采光好 靠近口岸,单价33172元/平米,260,| 3室1厅 | 78.38平米 | 东南 | 简装,低楼层(共25层)  1991年建塔楼  -,
雍翠华府 精装修 户型方正 采光佳,单价49194元/平米,305,| 2室1厅 | 62平米 | 西北 | 其他,中楼层(共32层)  2004年建板塔结合  -,
满五年唯一 朝南看翠竹山 看房方便 一手业主,单价71075元/平米,860,| 3室2厅 | 121平米 | 南 | 简装,中楼层(共32层)  2009年建板塔结合  -,
联城美园 一房一厅 户型方正 采光充足 双阳台。,单价53286元/平米,180,| 1室1厅 | 33.78平米 | 西 | 简装,中楼层(共35层)  2006年建  -,
松园南小区  绝佳楼层 大花园社区 待拆迁物业,单价48000元/平米,360,| 3室2厅 | 75平米 | 南 | 简装,低楼层(共7层)  1987年建板塔结合  -,
名泰轩 满五年 超笋两居室 户型方正 黄贝岭,单价46453元/平米,275,| 2室2厅 | 59.2平米 | 北 | 其他,高楼层(共11层)  2001年建板塔结合  -,
金色年华家园 2室1厅 450万,单价65694元/平米,450,| 2室1厅 | 68.5平米 | 南 | 其他,高楼层(共27层)  2005年建板塔结合  -,
湖滨新村，双碧波学位，满五唯一 ，红本在手。,单价34783元/平米,400,| 4室2厅 | 115平米 | 东南 | 简装,低楼层(共6层)  1982年建板塔结合  -,
大澎花园 豪装一房一厅 免增值税 临近地铁口 学区房,单价41250元/平米,165,| 1室1厅 | 40平米 | 西 | 精装,高楼层(共8层)  1996年建板塔结合  -,
金鼎大厦  精装南向两居室 满五年 户型方正,单价48292元/平米,308,| 2室2厅 | 63.78平米 | 西南 | 精装,低楼层(共28层)  2003年建板塔结合  -,
聚龙大厦 经典两居 厅出阳台 重点学区 配套齐全,单价53847元/平米,350,| 2室1厅 | 65平米 | 南 | 简装,高楼层(共32层)  板塔结合  -,
新港鸿楼梯三居室 中间楼层 南北向 满五年 红本在手,单价57426元/平米,580,| 3室2厅 | 101平米 | 南 | 简装,低楼层(共6层)  1998年建板塔结合  -,
布心山湖居 精装朝南两房 满五唯一税费低,单价51563元/平米,330,| 2室1厅 | 64平米 | 南 | 精装,高楼层(共10层)  2002年建板塔结合  -,
金城华庭 满五唯一 红本在手学位未用看房方便有钥匙,单价67837元/平米,348,| 2室1厅 | 51.3平米 | 北 | 精装,中楼层(共24层)  2003年建板塔结合  -,
龙园山庄，两房一厅，中高楼层，满五年，无欠款，诚售,单价36957元/平米,255,| 2室1厅 | 69平米 | 东南 | 其他,中楼层(共8层)  1997年建板塔结合  -,
聚龙大厦两房，税费少，红本在手过户快，重点学位。,单价50770元/平米,330,| 2室1厅 | 65平米 | 西南 | 精装,中楼层(共31层)  板塔结合  -,
阳光新干线家园 精装一房 无增值税 花园小区 交通便利,单价51250元/平米,205,| 1室1厅 | 40平米 | 东北 | 精装,高楼层(共33层)  2005年建塔楼  -,
太阳新城三居室，红本在手满两年，中高楼层小区赞,单价49463元/平米,460,| 3室2厅 | 93平米 | 北 | 精装,中楼层(共24层)  2002年建塔楼  -,
经典家园 精装大三房 户型方正视野采光好,单价56693元/平米,720,| 3室1厅 | 127平米 | 东北 | 精装,高楼层(共28层)  2002年建板塔结合  -,
百仕达花园二期 精装两房 高档小区 朝南,单价61453元/平米,550,| 2室2厅 | 89.5平米 | 北 | 简装,高楼层(共17层)  1999年建板塔结合  -,
风格名苑 朝东安静 精装拎包可入住 一手业主总费用低,单价55209元/平米,265,| 1室1厅 | 48平米 | 东北 | 精装,中楼层(共30层)  2006年建板塔结合  -,
金城华庭一房 满五唯一 螺岭学位 红本,单价65808元/平米,235,| 1室1厅 | 35.71平米 | 西 | 简装,低楼层(共24层)  2003年建板塔结合  -,
雍翠华府高层观山看景俯瞰泳池厅出阳台,单价50794元/平米,320,| 2室2厅 | 63平米 | 北 | 精装,高楼层(共33层)  2004年建板塔结合  -,
百仕达8号 朝正南 3+1房 看翠竹山景 视野宽阔,单价63415元/平米,780,| 3室2厅 | 123平米 | 东南 | 精装,高楼层(共32层)  1997年建板塔结合  -,
罗湖畔山宁静山湖居，朝东南3房2厅，明厨明卫.,单价51391元/平米,460,| 3室2厅 | 89.51平米 | 东南 | 简装,中楼层(共10层)  2002年建板塔结合  -,
满两年 朝南户型 两卧室落地飘窗,单价50000元/平米,260,| 2室1厅 | 52平米 | 南 | 简装,中楼层(共35层)  2003年建板塔结合  -,
缤纷时代家园精装两房，免增值税拎包入住！带学位,单价61617元/平米,375,| 2室1厅 | 60.86平米 | 北 | 精装,中楼层(共33层)  2003年建板塔结合  -,
名骏豪庭两房两厅 阳光南向 证满五年 安静舒适,单价47620元/平米,330,| 2室2厅 | 69.3平米 | 南 | 其他,低楼层(共18层)  2003年建板塔结合  -,
精装大二房 西南朝向 住家兼投资合适 急卖,单价49793元/平米,288,| 2室2厅 | 57.84平米 | 西南 | 精装,中楼层(共23层)  2001年建塔楼  -,
翠竹苑满五年两房急售 带翠竹小学学位 急售,单价53600元/平米,268,| 2室1厅 | 50平米 | 东南 | 简装,中楼层(共20层)  1983年建塔楼  -,
龙园山庄 一楼复式 四房 带花园,单价49584元/平米,595,| 4室1厅 | 120平米 | 南 | 精装,低楼层(共8层)  1997年建板塔结合  -,
鹏兴花园五期 南向 三房 采光很好,单价57271元/平米,460,| 3室2厅 | 80.32平米 | 南 | 精装,中楼层(共18层)  2001年建板塔结合  -,
龙凤雅居 南向二房 满五年 红本,单价44355元/平米,275,| 2室2厅 | 62平米 | 南 | 简装,中楼层(共25层)  2006年建塔楼  -,
东门168满五唯一学位未用一房,单价58901元/平米,180,| 1室0厅 | 30.56平米 | 南 | 简装,中楼层(共29层)  2004年建板塔结合  -,
满五唯一！红本无税！业主诚意！自住精装修！看房方便,单价62500元/平米,475,| 2室1厅 | 76平米 | 南 | 精装,中楼层(共7层)    -,
和平广场 居家两房 双地铁口物业 罗湖中心价格洼地！,单价51588元/平米,325,| 2室1厅 | 63平米 | 西 | 简装,低楼层(共34层)  2000年建板塔结合  -,
地铁口物业 精装三房 南北通 红本在手满五,单价57304元/平米,570,| 3室2厅 | 99.47平米 | 南 北 | 精装,低楼层(共18层)  1999年建板塔结合  -,
布心2房户型，朝南中间楼层，市场价,单价57353元/平米,390,| 2室2厅 | 68平米 | 东 | 精装,中楼层(共35层)  2004年建板塔结合  -,
名骏豪庭 两房两厅 实用方正 阳台观园林中心广场,单价54637元/平米,380,| 2室1厅 | 69.55平米 | 北 | 简装,低楼层(共18层)  2003年建板塔结合  -,
湖景视野好满五唯一诚心卖,看房方便，业主不反价,单价50000元/平米,370,| 3室1厅 | 74平米 | 北 | 简装,高楼层(共27层)  2004年建板塔结合  -,
鹏兴花园二期，实用南向两房出售，红本在手，满五唯一,单价56926元/平米,360,| 2室2厅 | 63.24平米 | 南 | 简装,低楼层(共16层)  板塔结合  -,
龙园100平三房 满5唯一  一手业主,单价39000元/平米,390,| 3室2厅 | 100平米 | 南 | 精装,高楼层(共30层)  2000年建板塔结合  -,
东门繁华地段大3房，精装修，楼下就是地铁口。,单价47547元/平米,465,| 3室1厅 | 97.8平米 | 西南 | 精装,低楼层(共29层)  板塔结合  -,
新上单价3万9 29平单身公寓300米水贝地铁税费不到2万,单价39656元/平米,115,| 1室0厅 | 29平米 | 西南 | 精装,低楼层(共33层)  2002年建塔楼  -,
名骏豪庭满五年唯一，正规一居，带罗外学区,单价49597元/平米,215,| 1室1厅 | 43.35平米 | 北 | 精装,低楼层(共18层)  2003年建板塔结合  -,
天地大厦精装三房满五唯一税费少,单价41721元/平米,388,| 3室1厅 | 93平米 | 西 | 精装,高楼层(共23层)  1992年建塔楼  -,
都市名园 精装4房 满五唯一 采光好 户型好,单价56667元/平米,680,| 4室2厅 | 120平米 | 东南 | 精装,中楼层(共32层)  1990年建板塔结合  -,
鹏兴花园二期，精装修，少有户型放盘,单价57259元/平米,710,| 4室2厅 | 124平米 | 南 北 | 精装,低楼层(共10层)  板塔结合  -,
畔山花园大四房，满五唯一，厅出阳台，带学位,单价43702元/平米,510,| 4室2厅 | 116.7平米 | 南 | 精装,高楼层(共8层)  1998年建板塔结合  -,
嘉宝田三期两房 精装修 总价低诚意出售,单价57576元/平米,380,| 2室1厅 | 66平米 | 西 | 精装,低楼层(共26层)  2002年建塔楼  -,
青橙时代公寓 两房一厅 满五唯一,单价58950元/平米,220,| 2室1厅 | 37.32平米 | 南 | 简装,低楼层(共8层)  2006年建板塔结合  -,
豪装大四房 南北通透 超大气 满五年红本,单价65477元/平米,1100,| 4室2厅 | 168平米 | 东 | 精装,中楼层(共5层)  1999年建板塔结合  -,
鸿翔花园 3房改4房 精装看花园 看房方便 业主急售,单价70878元/平米,808,| 4室2厅 | 114平米 | 北 | 精装,低楼层(共33层)  2006年建板塔结合  -,
今日家园 正南向一房 端头户型 满五年,单价60484元/平米,375,| 1室2厅 | 62平米 | 西南 | 精装,高楼层(共25层)  1999年建板塔结合  -,
新时速嘉园 正规大三房 户型方正 满五唯一 红本在手,单价52174元/平米,480,| 3室2厅 | 92平米 | 南 北 | 精装,中楼层(共8层)  2003年建板塔结合  -,
居家三房 豪宅品质 全明格局 红本免税,单价47561元/平米,390,| 3室1厅 | 82平米 | 西北 | 精装,低楼层(共34层)  2002年建板塔结合  -,
仙湖枫景家园 73平两居室 精装业主自住 东南向采光好,单价52424元/平米,385,| 2室2厅 | 73.44平米 | 南 | 精装,低楼层(共21层)  2004年建塔楼  -,
松泉公寓正规两房  高层无遮挡采光充足 满五唯一,单价43507元/平米,335,| 2室2厅 | 77平米 | 东南 | 简装,高楼层(共9层)  1988年建板塔结合  -,
金祥都市花园，三房两厅，中间楼层，低总价，税费少,单价39437元/平米,280,| 3室2厅 | 71平米 | 东南 | 其他,中楼层(共8层)  1998年建板塔结合  -,
庐峰翠苑，两房两厅，满五年，装修好，环境舒适,单价67789元/平米,540,| 2室2厅 | 79.66平米 | 西南 | 精装,低楼层(共17层)  1999年建板塔结合  -,
雍翠华府市场热点成交户型飘窗阳台户型经典,单价54839元/平米,340,| 2室1厅 | 62平米 | 北 | 简装,中楼层(共33层)  2004年建板塔结合  -,
龙园山庄 2室2厅 285万,单价43182元/平米,285,| 2室2厅 | 66平米 | 北 | 精装,中楼层(共25层)  2006年建塔楼  -,
国际名园 精美单房 无增值税 黄金地段 诚心出售,单价44584元/平米,107,| 1室0厅 | 24平米 | 北 | 精装,中楼层(共31层)  2004年建板塔结合  -,
丰湖花园，朝南一房一厅，满两年，精装修,单价48391元/平米,200,| 1室1厅 | 41.33平米 | 南 | 精装,中楼层(共26层)  2009年建板塔结合  -,
碧岭华庭 小户型两房 精装修 满五红本 看山景,单价50000元/平米,330,| 2室2厅 | 66平米 | 北 | 精装,低楼层(共34层)  2002年建塔楼  -,
金色年华家园四房，满五唯一，采光好，实用面积115平,单价72424元/平米,650,| 2室2厅 | 89.75平米 | 南 | 简装,高楼层(共26层)  2005年建板塔结合  -,
靠山物业，精装四房，一手业主，税费很少,单价62500元/平米,850,| 4室2厅 | 136平米 | 南 | 精装,高楼层(共34层)  2002年建板塔结合  -,
金湖花园A区 南北通透 大三房 满五唯一,单价44800元/平米,560,| 3室2厅 | 125平米 | 南 | 精装,低楼层(共3层)  1994年建板塔结合  -,
联城美园 高层精装 厅出阳台 正南向 看山景 红本无税,单价56250元/平米,450,| 3室1厅 | 80平米 | 南 | 简装,中楼层(共35层)  2006年建  -,
万象城 海丰苑大厦 精装房三居 急出售,单价33298元/平米,215,| 3室2厅 | 64.57平米 | 南 | 简装,低楼层(共28层)  板塔结合  -,
和平广场大两房精装修,单价50794元/平米,320,| 2室1厅 | 63平米 | 西北 | 精装,高楼层(共34层)  2000年建板塔结合  -,
丰湖花园 南北通透好房 免税精装修,单价43795元/平米,500,| 3室2厅 | 114.17平米 | 南 北 | 简装,高楼层(共26层)  2009年建板塔结合  -,
金园花园 精装一房一厅 红本免税 全明格局学位房,单价53031元/平米,175,| 1室1厅 | 33平米 | 西 | 精装,中楼层(共15层)  2000年建板塔结合  -,
满五唯一，红本在手，采光好 业主诚心出售,单价37500元/平米,300,| 2室1厅 | 80平米 | 西南 | 精装,中楼层(共30层)  2000年建板塔结合  -,
地铁3号线  精装小2房 带双学位,单价55682元/平米,245,| 2室1厅 | 44平米 | 东 | 简装,中楼层(共35层)  2004年建板塔结合  -,
鸿翔花园大两房 高层景观好 满五唯一,单价76077元/平米,650,| 2室2厅 | 85.44平米 | 西南 | 精装,高楼层(共32层)  2006年建板塔结合  -,
嘉宝田花园 一期两套打通，大四房可分开卖,单价58824元/平米,400,| 2室2厅 | 68平米 | 西南 | 其他,中楼层(共16层)  2002年建板塔结合  -,
满五年 翠园中学  百仕达高端物业！！,单价63266元/平米,620,| 3室2厅 | 98平米 | 南 | 精装,中楼层(共32层)  2001年建塔楼  -,
金城华庭精装修两房 楼层采光好 视野开阔,单价65625元/平米,420,| 2室1厅 | 64平米 | 南 | 精装,中楼层(共24层)  2003年建板塔结合  -,
急售好房，视野开阔景观好，随时可看小三房,单价52632元/平米,400,| 3室1厅 | 76平米 | 东北 | 简装,中楼层(共34层)  2000年建板塔结合  -,
特急出售房源 国贸 关口附近优质房 铂金时代 精装一居,单价48056元/平米,173,| 1室1厅 | 36平米 | 南 | 精装,中楼层(共31层)  2008年建板塔结合  -,
楼王位置，朝南户型，前无遮挡，不临街,单价62821元/平米,490,| 2室2厅 | 78平米 | 南 | 精装,低楼层(共32层)  2001年建塔楼  -,
庐峰翠苑 电梯高层 精装4房 满五年 唯一住宅 看房有锁,单价68289元/平米,758,| 4室2厅 | 111平米 | 东南 | 其他,高楼层(共17层)  1999年建板塔结合  -,
花园社区 深中旁 地铁1000米 满五年 业主诚售,单价58065元/平米,360,| 2室1厅 | 62平米 | 西南 | 精装,高楼层(共30层)  2005年建板塔结合  -,
聚龙大厦便宜2房，满五唯一，红本无税,单价50036元/平米,280,| 1室1厅 | 55.96平米 | 北 | 其他,低楼层(共31层)  板塔结合  -,
翠榕花园两房，户型方正，房本满五年，莲塘,单价45569元/平米,308,| 2室2厅 | 67.59平米 | 北 | 简装,中楼层(共7层)  1998年建板楼  -,
东南向方正两房 精装修带翠园学位 单价低,单价63292元/平米,500,| 2室2厅 | 79平米 | 东 | 精装,高楼层(共32层)  2001年建塔楼  -,
雍翠华府2房厅出阳台,全明格局,单价52942元/平米,360,| 2室1厅 | 68平米 | 南 | 简装,中楼层(共35层)  2003年建板塔结合  -,
桐景花园大两房 满五红本 户型方正 采光好厅出阳台,单价57693元/平米,450,| 2室2厅 | 78平米 | 东北 | 精装,低楼层(共28层)  2002年建板塔结合  -,
l罗湖国贸 金城大厦2房1厅1厨1卫  高层朝东南,单价37778元/平米,170,| 2室1厅 | 45平米 | 东南 | 简装,高楼层(共23层)  1984年建板塔结合  -,
罗湖东门阳光新干线家园70平米方正朝南两居,单价50000元/平米,350,| 2室1厅 | 70平米 | 西南 | 简装,低楼层(共33层)  2005年建塔楼  -,
国贸商圈 罗湖金岸大厦 精装二居 不限购不限贷,单价40258元/平米,250,| 2室1厅 | 62.1平米 | 南 | 精装,中楼层(共33层)  2003年建板塔结合  -,
雍翠华府经典3房2卫，看花园安静私密,单价50000元/平米,380,| 3室1厅 | 76平米 | 南 | 精装,高楼层(共32层)  2003年建板塔结合  -,
正朝南 看罗湖 视野非常好！！近地铁,单价55722元/平米,355,| 2室1厅 | 63.71平米 | 南 | 精装,中楼层(共11层)  2002年建板塔结合  -,
精装大三房 南北通透 临近地铁口（10月28号开通）,单价48909元/平米,560,| 3室2厅 | 114.5平米 | 南 | 其他,高楼层(共10层)  1994年建板塔结合  -,
嘉宝田花园大两房 东南朝向 精装修 买来拎包入住,单价65442元/平米,445,| 2室2厅 | 68平米 | 东南 | 精装,高楼层(共25层)  2002年建板塔结合  -,
合正锦湖魅力城 精装的三房，满两年 双学位,单价61791元/平米,555,| 3室1厅 | 89.82平米 | 东南 | 精装,低楼层(共31层)  2008年建板塔结合  -,
国际名园，一房一厅，边角单位,单价47586元/平米,205,| 1室1厅 | 43.08平米 | 西南 | 精装,高楼层(共31层)  2004年建板塔结合  -,
今日家园 稀缺满二端头户型 带翠园学位,单价48673元/平米,330,| 2室2厅 | 67.8平米 | 北 | 精装,中楼层(共25层)  1999年建板塔结合  -,
环岛丽园看水库，满五年，红本在手，螺岭，金城华庭旁,单价62877元/平米,438,| 2室2厅 | 69.66平米 | 东北 | 精装,中楼层(共33层)  2002年建板塔结合  -,
大塘垅小区 3室1厅 389万,单价51185元/平米,389,| 3室1厅 | 76平米 | 南 北 | 其他,中楼层(共7层)  1984年建板塔结合  -,
城市天地广场 精装修一房一厅 满五年唯一 红本在手,单价46851元/平米,238,| 1室1厅 | 50.8平米 | 南 | 精装,高楼层(共41层)  2005年建板塔结合  -,
梧桐山新居一期76平2房2厅，大社区，双学区物业！,单价51316元/平米,390,| 2室2厅 | 76平米 | 南 北 | 简装,中楼层(共7层)  2001年建板楼  -,
高实用率复式楼税费低双阳台满五唯一双学位,单价55814元/平米,1200,| 4室2厅 | 215平米 | 东南 | 精装,高楼层(共34层)  2003年建板塔结合  -,
合正锦园，南北双阳台大四房，房本满五年唯一住房,单价60847元/平米,920,| 4室2厅 | 151.2平米 | 南 北 | 精装,低楼层(共11层)  2005年建板塔结合  -,
海关宿舍二院 三居室 口岸附近,单价45455元/平米,400,| 3室1厅 | 88平米 | 南 北 | 精装,高楼层(共6层)  板塔结合  -,
金色年华家园两房，满五年，红本在手，钥匙,单价56604元/平米,300,| 2室1厅 | 53平米 | 东北 | 简装,低楼层(共25层)  2005年建板塔结合  -,
莲塘梧桐山新居 三房2卫 房本满五年 学位未用！！,单价60620元/平米,530,| 3室2厅 | 87.43平米 | 西南 | 精装,中楼层(共9层)  2002年建板塔结合  -,
三层复式光好，户型好、黄金地理位置,单价67693元/平米,880,| 4室2厅 | 130平米 | 东南 | 精装,低楼层(共38层)  2000年建板塔结合  -,
万科东方尊峪 高楼层 四房  满五年,单价66456元/平米,1050,| 3室2厅 | 158平米 | 南 | 其他,高楼层(共24层)  2006年建板塔结合  -,
万科彩园，高档小区，豪华装修,单价62500元/平米,1200,| 6室2厅 | 192平米 | 西南 | 精装,中楼层(共31层)  板塔结合  -,
庐江春天，标准两居，红本在手，业主诚售。,单价39623元/平米,210,| 2室1厅 | 53平米 | 北 | 简装,高楼层(共15层)  2003年建板塔结合  -,
金园花园 满五年唯一 全明格局 小区好 低层,单价56094元/平米,365,| 2室1厅 | 65.07平米 | 北 | 精装,低楼层(共15层)  2000年建板塔结合  -,
